osmid,ref,name,highway,oneway,reversed,length,bridge,maxspeed,est_width,geometry,lanes,access
"[894150488, 35577219, 136517981]",12,伊東修善寺線,primary,False,False,172.44799999999998,yes,40,5.5m〜13.0m,"LINESTRING (138.9475884 34.9799082, 138.9476191 34.9798843, 138.9476538 34.9798605, 138.9477015 34.979835, 138.9477267 34.9798219, 138.9486772 34.9793408, 138.9487134 34.9793232, 138.9491437 34.9791028, 138.9491876 34.9790806)",,
322829982,136;414,国道136号,trunk,False,True,38.127,,,,"LINESTRING (138.9475884 34.9799082, 138.9476298 34.9799304, 138.9476709 34.9799634, 138.9478631 34.9801642)",2,yes
333230219,136;414,国道136号,trunk,False,False,66.805,,,,"LINESTRING (138.9475884 34.9799082, 138.9475007 34.9799001, 138.9474124 34.9798977, 138.946857 34.9799282)",,yes
333230219,136;414,国道136号,trunk,False,True,10.767,,,,"LINESTRING (138.9455106 34.9800166, 138.9456287 34.9800202)",,yes
333230219,136;414,国道136号,trunk,False,False,81.705,,,,"LINESTRING (138.9455106 34.9800166, 138.9453715 34.9800024, 138.9452418 34.9799799, 138.9450783 34.9799061, 138.9447064 34.9797175)",,yes
353672963,,,residential,False,False,136.30100000000002,,,,"LINESTRING (138.9455106 34.9800166, 138.9454882 34.9800911, 138.9454841 34.9801144, 138.9454856 34.9801895, 138.945531 34.9802835, 138.9455648 34.9803492, 138.9455911 34.9803658, 138.9456398 34.9803729, 138.9457102 34.980383, 138.9458108 34.9803999, 138.9460577 34.9804413, 138.9461021 34.9804533, 138.9461527 34.9804669, 138.9462334 34.9805042, 138.9465543 34.9806552)",,
353672611,,,tertiary,True,False,45.044,,30,,"LINESTRING (138.9494067 34.9789528, 138.9494443 34.9789334, 138.9494803 34.9789002, 138.9495158 34.9788622, 138.9495484 34.9788052, 138.9496153 34.978685, 138.9496501 34.9786088)",,
894150488,12,伊東修善寺線,primary,False,False,41.32,,40,,"LINESTRING (138.9494067 34.9789528, 138.9494434 34.978898, 138.9494604 34.9788411, 138.949473 34.978768, 138.9494859 34.9786708, 138.9494957 34.9785923)",,
894150488,12,伊東修善寺線,primary,False,True,14.739,,40,,"LINESTRING (138.9494067 34.9789528, 138.9493292 34.9790083, 138.9492821 34.9790372)",,
1201941413,12,伊東修善寺線,primary,False,False,48.192,,40,,"LINESTRING (138.9494957 34.9785923, 138.9495536 34.9781615)",,
35861556,,,tertiary,False,False,14.256,,,,"LINESTRING (138.9494957 34.9785923, 138.9495724 34.9785941, 138.9496501 34.9786088)",,
894150488,12,伊東修善寺線,primary,False,True,41.32,,40,,"LINESTRING (138.9494957 34.9785923, 138.9494859 34.9786708, 138.949473 34.978768, 138.9494604 34.9788411, 138.9494434 34.978898, 138.9494067 34.9789528)",,
"[672126737, 353634555, 353634556]",349,修善寺天城湯ヶ島線,secondary,False,True,183.937,yes,40,,"LINESTRING (138.9516913 34.9747804, 138.9516633 34.9746393, 138.9515099 34.9739386, 138.9514588 34.9737648, 138.9513922 34.973612, 138.9513275 34.9734935, 138.9512732 34.9734142, 138.9511967 34.9733218, 138.951101 34.9732233)",,
1201941413,12,伊東修善寺線,primary,False,True,154.393,,40,,"LINESTRING (138.9516913 34.9747804, 138.9508175 34.9748731, 138.9505989 34.9749368, 138.9504163 34.9750097, 138.9502807 34.9750732, 138.9501334 34.9751669, 138.9501093 34.9751884)",,
35861554,,,unclassified,False,True,58.238,,30,,"LINESTRING (138.9512726 34.9779982, 138.9512808 34.9779603, 138.9513058 34.9779222, 138.9513641 34.9778622, 138.9516549 34.9775853)",,
136522334,,,unclassified,False,True,143.785,,30,3.0m〜5.5m,"LINESTRING (138.9512726 34.9779982, 138.9511506 34.9780075, 138.9510169 34.9780228, 138.9509096 34.9780105, 138.950722 34.9779608, 138.9504175 34.9778993, 138.9501729 34.9778452, 138.9498051 34.9777577, 138.9497403 34.977752)",,
894150488,12,伊東修善寺線,primary,False,True,9.87,,40,,"LINESTRING (138.9492821 34.9790372, 138.9491876 34.9790806)",,
136522702,,,tertiary,False,True,23.041,,40,,"LINESTRING (138.9492821 34.9790372, 138.9493401 34.9790962, 138.9493633 34.9791135, 138.9493954 34.9791311, 138.9494762 34.9791644)",,
