osmid,highway,oneway,reversed,length,lanes,bridge,geometry,ref,name,maxspeed,access,tunnel
127792728,unclassified,False,True,6.433,,,"LINESTRING (139.3211069 35.9459628, 139.321161 35.945925)",,,,,
"[32088106, 127792507, 127794067, 484005475]",tertiary,False,False,514.8870000000001,2,yes,"LINESTRING (139.3211069 35.9459628, 139.3205878 35.9455106, 139.3197388 35.9447778, 139.3181561 35.9433545, 139.317619 35.9428703, 139.3172363 35.9425543)",,,,,
405767273,residential,False,True,209.12099999999998,,,"LINESTRING (139.3172363 35.9425543, 139.3173625 35.9427376, 139.3182743 35.9435675, 139.3183449 35.9436329, 139.3183936 35.9436779, 139.3187345 35.9439857)",,,,,
405767274,residential,False,True,209.072,,,"LINESTRING (139.3172363 35.9425543, 139.3174732 35.9426477, 139.318189 35.943271, 139.3184748 35.9435268, 139.3188692 35.9438729)",,,,,
484005475,tertiary,False,False,56.434000000000005,2,,"LINESTRING (139.3172363 35.9425543, 139.3169487 35.9423566, 139.3167524 35.9422318)",,,,,
"[32088106, 484005475, 127794067, 127792507]",tertiary,False,True,514.887,2,yes,"LINESTRING (139.3172363 35.9425543, 139.317619 35.9428703, 139.3181561 35.9433545, 139.3197388 35.9447778, 139.3205878 35.9455106, 139.3211069 35.9459628)",,,,,
484005475,tertiary,False,False,34.045,2,,"LINESTRING (139.3167524 35.9422318, 139.316423 35.9420814)",,,,,
127793993,tertiary,False,False,74.81700000000001,,,"LINESTRING (139.3167524 35.9422318, 139.3169013 35.9419579, 139.3170735 35.9416113)",,,,,
484005475,tertiary,False,True,56.434000000000005,2,,"LINESTRING (139.3167524 35.9422318, 139.3169487 35.9423566, 139.3172363 35.9425543)",,,,,
484230476,tertiary,False,True,63.74100000000001,2,,"LINESTRING (139.3167524 35.9422318, 139.3166969 35.9423598, 139.3166541 35.9424572, 139.3166335 35.9425265, 139.3166177 35.9426046, 139.3166114 35.9426893, 139.3166147 35.9427882)",,,,,
783235845,primary,False,False,86.56,2,,"LINESTRING (139.3151717 35.9417833, 139.3147131 35.9424675)",30,飯能寄居線,,,
783235845,primary,False,True,97.048,2,,"LINESTRING (139.3151717 35.9417833, 139.3156689 35.9410089)",30,飯能寄居線,,,
484005475,tertiary,False,True,117.596,2,,"LINESTRING (139.3151717 35.9417833, 139.3156703 35.9418761, 139.3160221 35.9419615, 139.316423 35.9420814)",,,,,
783235845,primary,False,False,17.194,2,,"LINESTRING (139.3147131 35.9424675, 139.3146202 35.9426026)",30,飯能寄居線,,,
783235845,primary,False,True,86.56,2,,"LINESTRING (139.3147131 35.9424675, 139.3151717 35.9417833)",30,飯能寄居線,,,
368483351,tertiary,False,True,157.684,,,"LINESTRING (139.3147131 35.9424675, 139.3146671 35.9424379, 139.3146524 35.942414, 139.3146445 35.9423833, 139.3146475 35.9422594, 139.3146537 35.9420043, 139.3145894 35.9415606, 139.3145098 35.9411491, 139.3144908 35.9410807)",,,,,
783235845,primary,False,True,61.05,2,,"LINESTRING (139.3140727 35.9434449, 139.314391 35.9429601)",30,飯能寄居線,,,
771934658,residential,False,True,61.598,,,"LINESTRING (139.3140727 35.9434449, 139.3140127 35.943344, 139.3139188 35.9431925, 139.313839 35.9431176, 139.313681 35.9430003)",,,,,
783235845,primary,False,False,163.23899999999998,2,,"LINESTRING (139.3140727 35.9434449, 139.3139392 35.9436593, 139.3137918 35.9439398, 139.3136354 35.9442773, 139.313516 35.9445698, 139.313428 35.9448142)",30,飯能寄居線,,,
783234841,primary,False,False,87.72900000000001,2,,"LINESTRING (139.3143137 35.9451802, 139.3142832 35.9451755, 139.3140948 35.9451483, 139.3138844 35.9451179, 139.313585 35.9450746, 139.3133544 35.9450413)",39,川越坂戸毛呂山線,40,,
783234841,primary,False,True,12.927,2,,"LINESTRING (139.3143137 35.9451802, 139.3143616 35.9451875, 139.3144204 35.9451965, 139.3144548 35.9452018)",39,川越坂戸毛呂山線,40,,
783235843,primary,False,False,91.691,,,"LINESTRING (139.3133544 35.9450413, 139.3123515 35.9448973)",39,川越坂戸毛呂山線,40,,
783235845,primary,False,True,26.107,2,,"LINESTRING (139.3133544 35.9450413, 139.313428 35.9448142)",30,飯能寄居線,,,
783234841,primary,False,True,87.729,2,,"LINESTRING (139.3133544 35.9450413, 139.313585 35.9450746, 139.3138844 35.9451179, 139.3140948 35.9451483, 139.3142832 35.9451755, 139.3143137 35.9451802)",39,川越坂戸毛呂山線,40,,
783235842,primary,False,False,81.32900000000001,2,,"LINESTRING (139.3133544 35.9450413, 139.3132998 35.9452772, 139.3132471 35.9455148, 139.3132139 35.9456846, 139.3131994 35.9457618)",30,飯能寄居線,,,
771934657,residential,False,True,29.102,,,"LINESTRING (139.3109771 35.9445216, 139.3109735 35.9447833)",,,,,
783235843,primary,False,True,48.922,,,"LINESTRING (139.3109771 35.9445216, 139.3114743 35.9446992)",39,川越坂戸毛呂山線,40,,
127792139,residential,False,False,87.155,,,"LINESTRING (139.311169 35.93915, 139.3111962 35.9390194, 139.3112059 35.9388031, 139.3112066 35.9385949, 139.3112331 35.9385106, 139.3112879 35.9383781)",,,,,
127794072,unclassified,False,False,77.286,,,"LINESTRING (139.311169 35.93915, 139.3110791 35.9395129, 139.3110287 35.9396901, 139.3109403 35.939814)",,,,,
783235846,tertiary,False,True,188.03300000000002,2,,"LINESTRING (139.311169 35.93915, 139.311643 35.9392537, 139.3118617 35.9393015, 139.312406 35.9393873, 139.3132174 35.9394615)",,,,,
368483351,tertiary,False,False,157.69299999999998,,,"LINESTRING (139.3145173 35.9396692, 139.3144979 35.9398873, 139.3144641 35.9402197, 139.3144275 35.9404663, 139.3144317 35.9407226, 139.3144908 35.9410807)",,,,,
