osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,bridge,width
966145104,52,別府庄内線,primary,False,False,31.848,,"LINESTRING (131.4888059 33.2813924, 131.4888444 33.2811078)",,,
158827887,,,tertiary,False,False,256.012,2,"LINESTRING (131.4888059 33.2813924, 131.4887535 33.2817968, 131.4885095 33.2836814)",,,
216598764,52,別府庄内線,primary,False,True,176.558,,"LINESTRING (131.4888059 33.2813924, 131.488759 33.2815137, 131.4887125 33.2816161, 131.4886853 33.2816636, 131.4886511 33.2817075, 131.4886084 33.2817504, 131.4885633 33.2817912, 131.4885043 33.2818349, 131.4884516 33.2818692, 131.4883605 33.2819146, 131.4873588 33.2823052)",,,
91875320,,,residential,False,False,61.748,,"LINESTRING (131.4861763 33.2827663, 131.4862476 33.2822142)",,,
216598764,52,別府庄内線,primary,False,False,121.291,,"LINESTRING (131.4861763 33.2827663, 131.4873588 33.2823052)",,,
48845443,,,tertiary,False,True,7.216,2,"LINESTRING (131.4931369 33.2841296, 131.4931248 33.2841937)",40,,
553050399,,富士見通り,tertiary,True,False,224.813,2,"LINESTRING (131.4931369 33.2841296, 131.4907343 33.283898)",40,,
48845443,,,tertiary,False,False,431.044,2,"LINESTRING (131.4931369 33.2841296, 131.4934871 33.2815468, 131.4936591 33.2802778)",40,,
374914280,,,tertiary,False,False,224.484,4,"LINESTRING (131.4936591 33.2802778, 131.4960594 33.2804993)",40,,
48845443,,,tertiary,False,True,431.044,2,"LINESTRING (131.4936591 33.2802778, 131.4934871 33.2815468, 131.4931369 33.2841296)",40,,
48845443,,,tertiary,False,False,32.25,2,"LINESTRING (131.4930809 33.2844814, 131.4931248 33.2841937)",40,,
48845447,,,tertiary,False,False,279.251,2,"LINESTRING (131.4930809 33.2844814, 131.4930467 33.2845743, 131.4930325 33.2846135, 131.4930107 33.2846535, 131.4929852 33.2846875, 131.4929387 33.2847362, 131.4928485 33.284809, 131.4927724 33.2848552, 131.4926186 33.2849171, 131.4919593 33.2851391, 131.4908998 33.2855076, 131.4908012 33.2855486, 131.49066 33.2856158, 131.4905402 33.2856807)",40,,
"[209133152, 209132408]",,,tertiary,False,False,179.723,,"LINESTRING (131.4930809 33.2844814, 131.4929352 33.2858983, 131.492916 33.2860918)",40,,
216598784,,,unclassified,False,False,12.969,,"LINESTRING (131.4947864 33.2842886, 131.4946758 33.2843597)",,,
553050399,,富士見通り,tertiary,True,False,64.984,2,"LINESTRING (131.4947864 33.2842886, 131.4940919 33.2842217)",40,,
216598784,,,unclassified,False,True,91.981,,"LINESTRING (131.4947864 33.2842886, 131.4949159 33.2842373, 131.4951451 33.2841842, 131.4952711 33.2841393, 131.4954024 33.2840585, 131.4955946 33.2838569)",,,
91875296,,,unclassified,False,False,96.96,,"LINESTRING (131.4888444 33.2811078, 131.4878057 33.2810282)",,,
966145104,52,別府庄内線,primary,False,True,31.848,,"LINESTRING (131.4888444 33.2811078, 131.4888059 33.2813924)",,,
91875298,,,unclassified,False,False,72.391,,"LINESTRING (131.4958223 33.2824075, 131.4956828 33.283048)",,,
91875298,,,unclassified,False,True,68.811,,"LINESTRING (131.4958223 33.2824075, 131.4959045 33.2817925)",,,
158827868,,,unclassified,False,True,111.716,,"LINESTRING (131.4958223 33.2824075, 131.4946276 33.2822984)",,,
91875296,,,unclassified,False,True,70.951,,"LINESTRING (131.4870463 33.2809641, 131.4878057 33.2810282)",,,
91875305,,,unclassified,False,True,86.638,,"LINESTRING (131.4870463 33.2809641, 131.4871533 33.2801901)",,,
92197483,,,unclassified,False,False,58.907,,"LINESTRING (131.4870463 33.2809641, 131.4864166 33.2809047)",,,
91875298,,,unclassified,False,False,5.871,,"LINESTRING (131.4959083 33.2817398, 131.4959045 33.2817925)",,,
91875298,,,unclassified,False,True,71.182,,"LINESTRING (131.4959083 33.2817398, 131.4959543 33.2811008)",,,
158827867,,,unclassified,False,True,111.563,,"LINESTRING (131.4959083 33.2817398, 131.4947123 33.2816564)",,,
