osmid,lanes,highway,oneway,reversed,length,ref,name,geometry,maxspeed,bridge
88961373,2,tertiary,False,True,61.502,,,"LINESTRING (138.8242051 36.572206, 138.8237518 36.5726224)",,
183089225,2,trunk,False,True,269.882,145,日本ロマンチック街道,"LINESTRING (138.8242051 36.572206, 138.8219666 36.5705754)",,
88961373,2,tertiary,False,False,48.458999999999996,,,"LINESTRING (138.8242051 36.572206, 138.8242635 36.572157, 138.8243665 36.5720705, 138.8244003 36.5720275, 138.8244055 36.5719878, 138.8243823 36.5719412, 138.8242823 36.57187)",,
256046927,2,tertiary,False,True,45.287,,,"LINESTRING (138.8250096 36.5712065, 138.8253673 36.5709178)",,
"[184611720, 256046927]",2,"['unclassified', 'tertiary']",False,"[False, True]",297.64,,,"LINESTRING (138.8250096 36.5712065, 138.8245545 36.5715714, 138.8237514 36.5710224, 138.8235934 36.5709532, 138.8233317 36.570916, 138.823196 36.5708776, 138.8223935 36.5703393)",,
88961373,2,tertiary,False,False,61.502,,,"LINESTRING (138.8237518 36.5726224, 138.8242051 36.572206)",,
88961375,2,tertiary,False,True,186.173,,,"LINESTRING (138.8237518 36.5726224, 138.8223463 36.573859)",,
183089271,,unclassified,False,False,134.765,,,"LINESTRING (138.8237518 36.5726224, 138.822625 36.5718162)",,
183089420,2,primary,False,False,85.33399999999999,28,高崎東吾妻線,"LINESTRING (138.819354 36.5671159, 138.8196111 36.5673179, 138.8198706 36.5675194, 138.8200247 36.5676618)",40,
256046934,2,primary,False,True,59.178,28,高崎東吾妻線,"LINESTRING (138.8226828 36.569551, 138.8221423 36.5692431)",40,
183089410,,unclassified,False,True,90.519,,,"LINESTRING (138.8226828 36.569551, 138.8225806 36.5696929, 138.8225435 36.5697727, 138.8225154 36.5698897, 138.8224857 36.5700686, 138.8224697 36.5701274, 138.8223067 36.5702853)",,
"[40206947, 256046934]",2,primary,False,False,232.766,28,高崎東吾妻線,"LINESTRING (138.8226828 36.569551, 138.8232773 36.569909, 138.823378 36.5699698, 138.8242416 36.5704912, 138.8245109 36.5706294, 138.8246557 36.5706871, 138.8248164 36.5707443)",40,
88961411,2,tertiary,False,False,136.76,,,"LINESTRING (138.8255869 36.5746568, 138.8244597 36.5738242)",,
183089323,,unclassified,False,True,50.301,,,"LINESTRING (138.8255869 36.5746568, 138.8252121 36.5749945)",,
225932026,2,tertiary,False,False,57.813,,,"LINESTRING (138.8255869 36.5746568, 138.8260149 36.5742667)",,
88961411,2,tertiary,False,False,87.278,,,"LINESTRING (138.821716 36.5717867, 138.8215878 36.5716092, 138.8215578 36.5715326, 138.8215334 36.5714471, 138.8215162 36.5713334, 138.8215175 36.5712493, 138.8215365 36.5711482, 138.8215783 36.5710426)",,
88961411,2,tertiary,False,True,63.372,,,"LINESTRING (138.821716 36.5717867, 138.8218403 36.5719222, 138.8222142 36.5721889)",,
183089283,,unclassified,False,True,47.565,,,"LINESTRING (138.821716 36.5717867, 138.8214141 36.5719727, 138.8212963 36.57205)",,
183089328,,unclassified,False,False,60.479,,,"LINESTRING (138.8215783 36.5710426, 138.8210743 36.5706793)",,
183089328,,unclassified,False,True,127.03,,,"LINESTRING (138.8215783 36.5710426, 138.822625 36.5718162)",,
88961411,2,tertiary,False,False,62.549,,,"LINESTRING (138.8215783 36.5710426, 138.8217322 36.5708307, 138.8219666 36.5705754)",,
88961411,2,tertiary,False,True,87.27799999999999,,,"LINESTRING (138.8215783 36.5710426, 138.8215365 36.5711482, 138.8215175 36.5712493, 138.8215162 36.5713334, 138.8215334 36.5714471, 138.8215578 36.5715326, 138.8215878 36.5716092, 138.821716 36.5717867)",,
183089225,2,trunk,False,False,269.882,145,日本ロマンチック街道,"LINESTRING (138.8219666 36.5705754, 138.8242051 36.572206)",,
183089225,2,trunk,False,True,155.209,145,日本ロマンチック街道,"LINESTRING (138.8219666 36.5705754, 138.8206818 36.5696354)",,
88961411,2,tertiary,False,True,62.549,,,"LINESTRING (138.8219666 36.5705754, 138.8217322 36.5708307, 138.8215783 36.5710426)",,
183089410,,unclassified,False,False,44.342,,,"LINESTRING (138.8219666 36.5705754, 138.8220203 36.5705281, 138.8222522 36.5703236, 138.8223067 36.5702853)",,
184611720,,unclassified,False,False,9.805,,,"LINESTRING (138.8223067 36.5702853, 138.8223935 36.5703393)",,
183089410,,unclassified,False,False,90.519,,,"LINESTRING (138.8223067 36.5702853, 138.8224697 36.5701274, 138.8224857 36.5700686, 138.8225154 36.5698897, 138.8225435 36.5697727, 138.8225806 36.5696929, 138.8226828 36.569551)",,
183089410,,unclassified,False,True,44.342000000000006,,,"LINESTRING (138.8223067 36.5702853, 138.8222522 36.5703236, 138.8220203 36.5705281, 138.8219666 36.5705754)",,
601406600,,residential,False,True,159.026,,,"LINESTRING (138.8223067 36.5702853, 138.822035 36.5700944, 138.8218615 36.5699661, 138.8215892 36.5697718, 138.8212925 36.5695617, 138.8209671 36.5693433)",,
88961375,2,tertiary,False,False,186.173,,,"LINESTRING (138.8223463 36.573859, 138.8237518 36.5726224)",,
