osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,lanes,tunnel
129617114,unclassified,False,False,143.936,"LINESTRING (135.3146031 34.2517352, 135.314212 34.251904, 135.3134021 34.2522605, 135.313221 34.2523438)",,,,,
442654382,residential,False,True,21.592999999999996,"LINESTRING (135.3146031 34.2517352, 135.3146545 34.2517427, 135.3147428 34.2517386, 135.3148371 34.2517386)",,,,,
129616803,unclassified,False,True,42.114000000000004,"LINESTRING (135.3165946 34.2523918, 135.316475 34.2524316, 135.316405 34.2524496, 135.3161606 34.2525125)",,,,,
129616807,unclassified,False,True,49.141,"LINESTRING (135.3165946 34.2523918, 135.3166055 34.2520075, 135.3166078 34.25195)",,,,,
"[129616947, 129616047]",unclassified,False,"[False, True]",131.811,"LINESTRING (135.3165946 34.2523918, 135.316617 34.252671, 135.3166236 34.2527974, 135.3165999 34.2529244, 135.3165894 34.2530015, 135.316597 34.2531306, 135.3166117 34.2532322, 135.3166699 34.2533698, 135.3166694 34.2534131, 135.3166501 34.2535646)",,,,,
"[129616147, 129616108]",unclassified,False,False,72.647,"LINESTRING (135.3146901 34.2529875, 135.3147223 34.2531095, 135.314746 34.2533, 135.3148043 34.2535865, 135.314829 34.2536282)",,,,,
129616803,unclassified,False,False,59.847,"LINESTRING (135.3146901 34.2529875, 135.3148182 34.2529433, 135.3149641 34.2528857, 135.3152693 34.252743)",,,,,
129616984,unclassified,False,True,120.706,"LINESTRING (135.3146901 34.2529875, 135.31462 34.2528381, 135.3144327 34.252497, 135.3142607 34.2521569, 135.3142509 34.2521376, 135.3142449 34.252036, 135.3142208 34.25198)",,,,,
129617245,unclassified,False,False,107.21499999999999,"LINESTRING (135.3146901 34.2529875, 135.3143892 34.25309, 135.3141589 34.2531638, 135.3139049 34.2532424, 135.3136232 34.2533307, 135.313603 34.253337)",,,,,
807006558,unclassified,False,True,70.595,"LINESTRING (135.3112924 34.2531835, 135.3113918 34.2531895, 135.3120527 34.2531068)",,,,,
129616621,unclassified,False,True,41.475,"LINESTRING (135.313603 34.253337, 135.3137001 34.2535239, 135.3137928 34.2536752)",,,,,
129617245,unclassified,False,True,107.215,"LINESTRING (135.313603 34.253337, 135.3136232 34.2533307, 135.3139049 34.2532424, 135.3141589 34.2531638, 135.3143892 34.25309, 135.3146901 34.2529875)",,,,,
807006551,unclassified,False,True,66.03,"LINESTRING (135.313603 34.253337, 135.3131616 34.2534617, 135.3129265 34.2535366)",,,,,
129615536,secondary,False,False,168.76999999999998,"LINESTRING (135.3166501 34.2535646, 135.3161556 34.2536052, 135.3157984 34.2536383, 135.3156601 34.2536392, 135.315572 34.2536397, 135.3150832 34.2535999, 135.3148767 34.2536043, 135.314829 34.2536282)",134,小豆島岩出線,,,
"[129616947, 129616047]",unclassified,False,"[False, True]",131.811,"LINESTRING (135.3166501 34.2535646, 135.3166694 34.2534131, 135.3166699 34.2533698, 135.3166117 34.2532322, 135.316597 34.2531306, 135.3165894 34.2530015, 135.3165999 34.2529244, 135.3166236 34.2527974, 135.316617 34.252671, 135.3165946 34.2523918)",,,,,
129616628,unclassified,False,False,27.047,"LINESTRING (135.314829 34.2536282, 135.3145585 34.253724)",,,,,
129615536,secondary,False,True,168.76999999999998,"LINESTRING (135.314829 34.2536282, 135.3148767 34.2536043, 135.3150832 34.2535999, 135.315572 34.2536397, 135.3156601 34.2536392, 135.3157984 34.2536383, 135.3161556 34.2536052, 135.3166501 34.2535646)",134,小豆島岩出線,,,
