osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,tunnel
39336193,14,今別蟹田線,primary,False,False,85.065,"LINESTRING (140.4859775 41.1833189, 140.4861453 41.183276, 140.486346 41.1832071, 140.4866436 41.1830871, 140.4868786 41.1829711)",,,
39336515,280,国道280号,trunk,False,False,135.053,"LINESTRING (140.4859775 41.1833189, 140.4857456 41.183292, 140.4852583 41.1832345, 140.4849074 41.1831913, 140.4843815 41.1831397)",2,,
"[116709978, 116709973, 116709982]",280,国道280号,trunk,False,True,216.58999999999997,"LINESTRING (140.4859775 41.1833189, 140.486095 41.1834285, 140.4862017 41.1835138, 140.4863145 41.1836077, 140.4871044 41.1842592, 140.4872618 41.1843815, 140.4876392 41.1845447, 140.4878453 41.1846427)",2,yes,
39336193,14,今別蟹田線,primary,False,False,24.902,"LINESTRING (140.4868786 41.1829711, 140.486944 41.1829216, 140.4870557 41.1827924)",,,
39336193,14,今別蟹田線,primary,False,True,85.065,"LINESTRING (140.4868786 41.1829711, 140.4866436 41.1830871, 140.486346 41.1832071, 140.4861453 41.183276, 140.4859775 41.1833189)",,,
"[116709986, 116711107]",,,unclassified,False,True,223.017,"LINESTRING (140.4868786 41.1829711, 140.4867257 41.1828497, 140.4866548 41.1827863, 140.4864626 41.182748, 140.4861934 41.1827224, 140.4855605 41.1826843, 140.485008 41.1826372, 140.4845247 41.1825733, 140.4843446 41.1825621)",,,
39336193,14,今別蟹田線,primary,False,True,24.902,"LINESTRING (140.4870557 41.1827924, 140.486944 41.1829216, 140.4868786 41.1829711)",,,
116709988,,,unclassified,False,False,39.295,"LINESTRING (140.4870557 41.1827924, 140.4872398 41.1828488, 140.4873588 41.1829052, 140.4874588 41.1829679)",,,
39336515,280,国道280号,trunk,False,False,176.57900000000004,"LINESTRING (140.4843815 41.1831397, 140.4838747 41.1830989, 140.4833181 41.1830378, 140.4831675 41.1830235, 140.4830599 41.1829937, 140.4829602 41.1829519, 140.4826632 41.182754, 140.4824621 41.1826293)",2,,
39336515,280,国道280号,trunk,False,True,135.053,"LINESTRING (140.4843815 41.1831397, 140.4849074 41.1831913, 140.4852583 41.1832345, 140.4857456 41.183292, 140.4859775 41.1833189)",2,,
116711116,,,unclassified,False,True,64.301,"LINESTRING (140.4843815 41.1831397, 140.4843643 41.1828599, 140.4843446 41.1825621)",,,
39336515,280,国道280号,trunk,False,False,9.987,"LINESTRING (140.4824621 41.1826293, 140.4823488 41.1826011)",2,,
39336515,280,国道280号,trunk,False,True,176.579,"LINESTRING (140.4824621 41.1826293, 140.4826632 41.182754, 140.4829602 41.1829519, 140.4830599 41.1829937, 140.4831675 41.1830235, 140.4833181 41.1830378, 140.4838747 41.1830989, 140.4843815 41.1831397)",2,,
116711125,,,unclassified,False,False,160.63400000000001,"LINESTRING (140.4824621 41.1826293, 140.4827009 41.1825481, 140.4828805 41.1825098, 140.4831353 41.1824946, 140.4835513 41.1824924, 140.4837351 41.1825113, 140.4841277 41.1825521, 140.4843446 41.1825621)",,,
39336515,280,国道280号,trunk,False,True,44.678,"LINESTRING (140.4818175 41.1825617, 140.4823488 41.1826011)",2,,
116711101,,,unclassified,False,False,26.452,"LINESTRING (140.4818175 41.1825617, 140.4818982 41.1823317)",,,
39336515,280,国道280号,trunk,False,False,72.222,"LINESTRING (140.4818175 41.1825617, 140.4815089 41.1825216, 140.4813181 41.1824643, 140.4810203 41.1823341)",2,,
