osmid,lanes,highway,oneway,reversed,length,geometry,bridge,width,name,ref,tunnel
764037889,2,tertiary,False,False,73.835,"LINESTRING (137.2423753 35.807779, 137.2428771 35.8083037)",,,,,
26832768,,tertiary,False,True,435.37899999999996,"LINESTRING (137.2423753 35.807779, 137.242138 35.8080432, 137.2417272 35.8085818, 137.241412 35.8090063, 137.2411844 35.8092409, 137.2400026 35.8101356, 137.2398974 35.8102221, 137.2397462 35.8103179, 137.2396143 35.8103763, 137.2394326 35.8104905, 137.2392227 35.8106933)",,,,,
"[764037888, 114256332, 550665639]",2,tertiary,False,False,43.851,"LINESTRING (137.2423753 35.807779, 137.2424325 35.8077005, 137.2425622 35.8074979, 137.2426133 35.8074355)",yes,6,,,
"[764037889, 114258550, 114258047]",2,tertiary,False,"[False, True]",218.462,"LINESTRING (137.2423753 35.807779, 137.2422811 35.8077501, 137.2406507 35.8070082, 137.2402655 35.8068159)",yes,,,,
764037889,2,tertiary,False,True,73.835,"LINESTRING (137.2428771 35.8083037, 137.2423753 35.807779)",,,,,
100012158,1,unclassified,True,False,134.706,"LINESTRING (137.2428771 35.8083037, 137.243104 35.8084636, 137.2432189 35.8085379, 137.243308 35.8086015, 137.2434452 35.8086851, 137.243563 35.8087324, 137.2439415 35.8088647, 137.2441373 35.8089313)",,4,,,
114256801,,tertiary,False,False,189.30499999999995,"LINESTRING (137.2428771 35.8083037, 137.2425297 35.8085634, 137.2423396 35.8086951, 137.2421358 35.8088303, 137.242019 35.8089187, 137.241859 35.8090557, 137.2416738 35.8092155, 137.2416186 35.8092749, 137.2415955 35.8093247, 137.2415858 35.8093766, 137.2415838 35.809431, 137.2415951 35.8094625, 137.2416549 35.8095478)",,,,,
"[114264112, 764327798, 114268383]","['2', '3']",unclassified,False,False,29.424,"LINESTRING (137.2428771 35.8083037, 137.2428994 35.8082749, 137.2430623 35.8081261, 137.2430877 35.8081021)",yes,10,,,
100012146,,unclassified,False,False,113.75299999999997,"LINESTRING (137.2416549 35.8095478, 137.2418553 35.8094522, 137.2420958 35.8093416, 137.2421942 35.8092826, 137.2422795 35.8092277, 137.2423534 35.8091883, 137.2424173 35.8091463, 137.2425383 35.809099, 137.2426324 35.8090783, 137.24271 35.8090769, 137.2427507 35.8090814)",,,,,
114256801,,tertiary,False,False,184.964,"LINESTRING (137.2416549 35.8095478, 137.2403834 35.8102612, 137.2401399 35.81062)",,,,,
