osmid,oneway,lanes,highway,reversed,length,ref,name,width,geometry,bridge,tunnel
90557121,True,2,tertiary,False,9.444,,,,"LINESTRING (129.8791406 32.7505283, 129.8792383 32.7505068)",,
176596072,True,2,trunk,False,131.77100000000002,34;57;251,市役所通り,4,"LINESTRING (129.8791406 32.7505283, 129.8793692 32.7506374, 129.8797415 32.7508286, 129.8801699 32.7510625, 129.8803374 32.7511532)",,
173550494,False,1,unclassified,True,62.698,,,4,"LINESTRING (129.8773552 32.7498055, 129.8769841 32.7502751)",,
255538622,True,2,trunk,False,153.12,34;57;251,市役所通り,5,"LINESTRING (129.8773552 32.7498055, 129.8778009 32.7499825, 129.8781728 32.7501346, 129.8784909 32.7502679, 129.8788288 32.7504056)",,
90564515,False,2,tertiary,False,51.626,,,6,"LINESTRING (129.875722 32.7479423, 129.8762125 32.7477293)",,
90564515,False,2,tertiary,True,87.585,,,6,"LINESTRING (129.875722 32.7479423, 129.8749194 32.7483482)",,
255538622,True,2,trunk,False,84.826,34;57;251,市役所通り,5,"LINESTRING (129.875722 32.7479423, 129.8758355 32.7481164, 129.8761408 32.7486189)",,
255538627,False,,tertiary,True,13.715,,,,"LINESTRING (129.874457 32.7458397, 129.8745897 32.7457872)",,
255538627,False,,tertiary,False,59.816,,,,"LINESTRING (129.874457 32.7458397, 129.8743751 32.7458763, 129.8738922 32.7460921)",,
723791960,True,2,trunk,False,169.685,34;57;251,市役所通り,5,"LINESTRING (129.874457 32.7458397, 129.8745299 32.7459558, 129.8751589 32.7469969, 129.8752797 32.7471998)",,
415387189,False,,unclassified,False,37.23,,,,"LINESTRING (129.8778673 32.7462676, 129.8778186 32.7465999)",,
"[415269451, 166765567]",False,,residential,False,29.455,,,,"LINESTRING (129.8778673 32.7462676, 129.8779564 32.7460828, 129.8779859 32.7460222)",yes,
174854218,False,,unclassified,False,66.824,,,,"LINESTRING (129.8803481 32.7462148, 129.8808504 32.7466422)",,
176596073,False,,unclassified,False,49.486,,,,"LINESTRING (129.8803481 32.7462148, 129.8799656 32.7459073)",,
415269450,False,,unclassified,True,91.607,,,,"LINESTRING (129.8803481 32.7462148, 129.8795866 32.7466836, 129.8795577 32.7467014)",,
90557120,False,2,tertiary,False,49.337,,,5,"LINESTRING (129.8738755 32.7520233, 129.8742116 32.7523653)",,
90557124,False,2,tertiary,True,74.539,,,5,"LINESTRING (129.8738755 32.7520233, 129.8733538 32.7515165)",,
90963926,True,1,unclassified,False,134.865,,,2.5,"LINESTRING (129.8738755 32.7520233, 129.8742235 32.7518182, 129.8745755 32.7516418, 129.8751384 32.7514498)",,
375591929,False,2,tertiary,False,92.435,,,5,"LINESTRING (129.8738755 32.7520233, 129.8735619 32.7522575, 129.8731773 32.7526102)",,
166765370,False,1,unclassified,True,43.133,,,4,"LINESTRING (129.8731773 32.7526102, 129.8728434 32.7523426)",,
375591929,False,2,tertiary,False,49.61,,,5,"LINESTRING (129.8731773 32.7526102, 129.8728418 32.7529558)",,
