osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,tunnel,width
23678874,2,352;404,国道352号,trunk,False,False,78.281,"LINESTRING (138.8488667 37.4448019, 138.8494344 37.4442611)",,,
24010632,,,,tertiary,False,False,73.952,"LINESTRING (138.8488667 37.4448019, 138.8484643 37.4451334, 138.8482811 37.4452774)",,,
"[117455768, 117455770, 117455775]",,498,"['長岡中之島見附線', '追廻橋']",secondary,False,True,29.833,"LINESTRING (138.8488667 37.4448019, 138.8488055 37.4447218, 138.8487013 37.4446233, 138.8486761 37.4445819)",yes,,
491788690,2,352;404,国道352号,trunk,False,False,107.24600000000001,"LINESTRING (138.8488667 37.4448019, 138.849067 37.4450042, 138.8492988 37.4452705, 138.8496057 37.4455666)",,,
23678874,2,352;404,国道352号,trunk,False,True,88.987,"LINESTRING (138.8499808 37.4435886, 138.8494344 37.4442611)",,,
23678874,2,352;404,国道352号,trunk,False,False,23.384999999999998,"LINESTRING (138.8499808 37.4435886, 138.8500472 37.4435182, 138.850101 37.4434905, 138.850181 37.4434578)",,,
"[196137552, 196130307, 851946445]",,,一之橋,unclassified,False,True,34.025,"LINESTRING (138.8499808 37.4435886, 138.8497963 37.4435467, 138.8496684 37.4435209, 138.8496075 37.4435139)",yes,,
196141759,,,,unclassified,False,True,134.839,"LINESTRING (138.8499808 37.4435886, 138.8499123 37.4435395, 138.8499013 37.4435098, 138.8499177 37.4434753, 138.8504364 37.4427459, 138.850601 37.4425519)",,,
198708532,,,,tertiary,False,False,104.978,"LINESTRING (138.8509118 37.4431775, 138.8513492 37.4440554)",,,
198708532,,,,tertiary,False,True,74.78,"LINESTRING (138.8509118 37.4431775, 138.850601 37.4425519)",,,
23678874,2,352;404,国道352号,trunk,False,True,71.75,"LINESTRING (138.8509118 37.4431775, 138.8506855 37.4432493, 138.8504172 37.4433525, 138.850181 37.4434578)",,,
627354776,,,,residential,False,False,101.22,"LINESTRING (138.8509118 37.4431775, 138.8510931 37.4432104, 138.8516293 37.4430247, 138.851979 37.442916)",,,
627354777,,,,residential,False,False,102.254,"LINESTRING (138.8509118 37.4431775, 138.8510289 37.4430573, 138.8513931 37.4429217, 138.8514561 37.4428877, 138.851553 37.4428435, 138.8518998 37.4427268)",,,
546855236,2,351;352;404;403,すずらん通り,trunk,False,True,11.135,"LINESTRING (138.8505608 37.4474691, 138.8506029 37.4475635)",,,
48985998,2,351;404;403,国道351号,trunk,True,False,148.126,"LINESTRING (138.8505608 37.4474691, 138.8503469 37.4475388, 138.8491202 37.4478955, 138.8489878 37.4479324)",,,
48986090,2,352;404,セントラル通り,trunk,False,True,70.703,"LINESTRING (138.8505608 37.4474691, 138.8504923 37.4473218, 138.8502709 37.4468764)",,,
546855232,,,城内通り,tertiary,False,False,53.11,"LINESTRING (138.8525898 37.4470378, 138.8527831 37.4474901)",,,
546855233,,,城内通り,tertiary,False,True,10.96,"LINESTRING (138.8525898 37.4470378, 138.8525509 37.4469442)",,,
546855235,,,,unclassified,True,False,45.928,"LINESTRING (138.8525898 37.4470378, 138.8527088 37.4470122, 138.8527642 37.447017, 138.8528061 37.4470464, 138.8529035 37.4472593)",,,
24010658,,,,unclassified,True,False,41.212,"LINESTRING (138.8529035 37.4472593, 138.8529648 37.4472875, 138.8530243 37.4472922, 138.8532307 37.4472406, 138.8532648 37.4472117, 138.8532848 37.4471585)",,,
