osmid,highway,oneway,reversed,length,lanes,maxspeed,geometry,width,ref,name,tunnel,access
183459976,tertiary,False,False,17.196,,,"LINESTRING (135.4984074 34.5325546, 135.4982752 34.5326644)",,,,,
300727178,tertiary,True,False,160.489,2,50,"LINESTRING (135.4984074 34.5325546, 135.4983063 34.5324737, 135.4975255 34.5318489, 135.4972888 34.5316588, 135.4971517 34.5315481)",,,,,
727700810,tertiary,False,True,113.827,,,"LINESTRING (135.4984074 34.5325546, 135.4984766 34.5324959, 135.49862 34.5323745, 135.4986911 34.5322928, 135.4987432 34.5322228, 135.4988415 34.5320389, 135.4989538 34.5316612)",,,,,
182283174,tertiary,False,True,15.845,2,,"LINESTRING (135.4971517 34.5315481, 135.4970357 34.5316538)",,,,,
727629205,tertiary,False,False,52.631,2,,"LINESTRING (135.4971517 34.5315481, 135.4972749 34.5314352, 135.4973749 34.5313548, 135.4974065 34.5313016, 135.4974233 34.5312386, 135.497417 34.5311561)",,,,,
1125675092,tertiary,True,False,68.427,2,,"LINESTRING (135.4971517 34.5315481, 135.4970162 34.5314428, 135.4966901 34.5311879, 135.4966094 34.5311249)",,,,,
775949397,tertiary,False,True,105.561,2,,"LINESTRING (135.5069268 34.5318351, 135.5059105 34.5313876)",,,,,
231053515,unclassified,False,False,66.741,,,"LINESTRING (135.5069268 34.5318351, 135.5068956 34.5318955, 135.5067632 34.532152, 135.5066776 34.5323237, 135.5066436 34.5323881)",5,,,,
847510938,secondary,False,False,29.429,,40,"LINESTRING (135.5063312 34.5289052, 135.506258 34.5286475)",,197,深井畑山宿院線 (Fukai-Hatakeyama-Shukuin Line),,
775928184,secondary,False,True,57.558,,40,"LINESTRING (135.5063312 34.5289052, 135.5063563 34.5289728, 135.5063944 34.5290444, 135.506492 34.5291351, 135.5065621 34.5291833, 135.5067249 34.5292915)",,197,深井畑山宿院線,,
907777153,unclassified,False,False,48.67,,,"LINESTRING (135.5063312 34.5289052, 135.5062658 34.528969, 135.5060076 34.5292522)",,,,,
173225737,primary_link,True,False,20.18,,,"LINESTRING (135.4966686 34.5297384, 135.4967151 34.5296712, 135.4967761 34.52958)",,,,,
182283175,unclassified,True,False,103.60000000000001,1,,"LINESTRING (135.4966686 34.5297384, 135.4967802 34.5297849, 135.4970472 34.5298963, 135.497104 34.5299508, 135.4971312 34.5300327, 135.4971289 34.5300807, 135.4971101 34.5301329, 135.4970208 34.5302673, 135.4969248 34.5304174)",,,,,
58071690,tertiary,False,True,67.611,,,"LINESTRING (135.5021832 34.5311868, 135.5020912 34.5317901)",,,,,
58071690,tertiary,False,False,65.452,,,"LINESTRING (135.5021832 34.5311868, 135.5022095 34.531001, 135.5022656 34.5306021)",,,,,
244903845,residential,True,False,92.97,,,"LINESTRING (135.5021832 34.5311868, 135.5022373 34.5311912, 135.5024737 34.5312093, 135.5027117 34.5309375, 135.5027796 34.530683)",,,,,
132689274,unclassified,False,False,125.952,,,"LINESTRING (135.5002379 34.5269904, 135.5008445 34.5259739)",,,,,
1219898631,tertiary,False,True,45.383,,,"LINESTRING (135.5002379 34.5269904, 135.499801 34.526798)",,,,,
"[183524843, 1219898631]",tertiary,False,False,222.12900000000002,,,"LINESTRING (135.5002379 34.5269904, 135.5003715 34.5270458, 135.5004501 34.5270464, 135.5011773 34.5268758, 135.5016079 34.526826, 135.5017135 34.5267979, 135.5017647 34.5267592, 135.5022489 34.5263211, 135.5023411 34.5263642)",,,,,
880278672,primary,True,False,72.108,2,,"LINESTRING (135.4981238 34.5267914, 135.4977629 34.5273677)",,34,堺狭山線,,
132687594,primary_link,True,False,73.594,,,"LINESTRING (135.4966869 34.5289944, 135.4963511 34.5295295, 135.4963179 34.5295823)",,,,,
132687592,primary_link,True,False,206.09400000000002,1,,"LINESTRING (135.4977629 34.5273677, 135.4972498 34.5280884, 135.4969411 34.5286032, 135.4966869 34.5289944)",,,,,
132687594,primary_link,True,False,383.76300000000003,,,"LINESTRING (135.4992083 34.5246851, 135.4991672 34.5247457, 135.4976835 34.5272562, 135.497349 34.5277774)",,,,,
132687596,primary_link,True,False,254.47099999999998,,,"LINESTRING (135.4992083 34.5246851, 135.4991729 34.5247483, 135.4988851 34.5253428, 135.4983435 34.5263366, 135.4981238 34.5267914)",,,,,
"[233363385, 132689228, 233363383]",unclassified,False,True,63.958000000000006,,,"LINESTRING (135.4992083 34.5246851, 135.4993152 34.524687, 135.4993291 34.5246879, 135.4997772 34.5247187, 135.4999048 34.5247205)",,,,yes,yes
775949397,tertiary,False,True,60.348,2,,"LINESTRING (135.5042851 34.5306909, 135.5036931 34.5304528)",,,,,
231053502,tertiary,False,False,99.324,,,"LINESTRING (135.5042851 34.5306909, 135.5042096 34.5307205, 135.5041327 34.5307583, 135.5039199 34.5308706, 135.5037817 34.5309226, 135.5032895 34.5310209)",,,,,
775949397,tertiary,False,False,73.209,2,,"LINESTRING (135.5042851 34.5306909, 135.5044235 34.5307505, 135.5049366 34.5309699, 135.5049943 34.5309944)",,,,,
