osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name
107649715,unclassified,False,False,69.002,"LINESTRING (139.2288834 37.8352067, 139.2290651 37.835036, 139.2292468 37.8349172, 139.229469 37.8347996)",,,,
107649715,unclassified,False,True,50.235,"LINESTRING (139.2288834 37.8352067, 139.2287362 37.8353675, 139.228589 37.8355926)",,,,
744407000,unclassified,False,True,64.36699999999999,"LINESTRING (139.2288834 37.8352067, 139.2291006 37.8353801, 139.2293747 37.8356357)",,,,
107647361,unclassified,False,False,19.152,"LINESTRING (139.2309558 37.8334045, 139.2307415 37.8334364)",,,,
107647419,unclassified,False,False,105.42,"LINESTRING (139.2309558 37.8334045, 139.2309781 37.8324566)",,,,
107647398,unclassified,False,True,17.078,"LINESTRING (139.2253496 37.8377212, 139.2254785 37.8376062)",,,,
470240481,unclassified,False,False,23.794,"LINESTRING (139.2253496 37.8377212, 139.2255499 37.8378653)",,,,
107647398,unclassified,False,False,82.68,"LINESTRING (139.2253496 37.8377212, 139.2252308 37.8378891, 139.2251054 37.8380399, 139.2249859 37.8381642, 139.2248926 37.8382459, 139.2247968 37.8383183)",,,,
"[107645120, 470240481, 107646073]",unclassified,False,"[False, True]",138.978,"LINESTRING (139.2253496 37.8377212, 139.2247236 37.8373049, 139.2246037 37.8372228, 139.22415 37.8369061)",yes,,,
107652448,trunk,False,True,158.873,"LINESTRING (139.2274393 37.8382932, 139.227504 37.8375643, 139.2275336 37.8368666)",,2,49;459,国道49号
107653800,unclassified,False,False,64.342,"LINESTRING (139.2274393 37.8382932, 139.2278741 37.8383233, 139.2281652 37.8383666)",,,,
107654736,unclassified,False,True,165.453,"LINESTRING (139.2274393 37.8382932, 139.2270127 37.8381832, 139.226663 37.838153, 139.226259 37.838147, 139.225867 37.838192, 139.22584 37.838203, 139.2255922 37.8382432)",,,,
107646346,unclassified,False,False,156.353,"LINESTRING (139.2292494 37.8356446, 139.229068 37.8370434)",,,,
107652661,unclassified,False,False,11.048,"LINESTRING (139.2292494 37.8356446, 139.2293747 37.8356357)",,,,
107652661,unclassified,False,True,58.284,"LINESTRING (139.2292494 37.8356446, 139.2291044 37.8356344, 139.228589 37.8355926)",,,,
107649715,unclassified,False,False,10.771,"LINESTRING (139.22976 37.8346806, 139.2298607 37.8346253)",,,,
107649715,unclassified,False,True,28.778,"LINESTRING (139.22976 37.8346806, 139.229469 37.8347996)",,,,
107645484,unclassified,False,True,96.053,"LINESTRING (139.22976 37.8346806, 139.229843 37.8352523, 139.2298846 37.8355388)",,,,
107650560,unclassified,False,True,114.32700000000001,"LINESTRING (139.2275336 37.8368666, 139.2263862 37.8367284, 139.2262482 37.8367048)",,,,
107651571,tertiary,False,True,72.819,"LINESTRING (139.2275336 37.8368666, 139.2278279 37.8369305, 139.2283488 37.8369753)",,,,
107652448,trunk,False,False,158.873,"LINESTRING (139.2275336 37.8368666, 139.227504 37.8375643, 139.2274393 37.8382932)",,2,49;459,国道49号
107652448,trunk,False,True,156.194,"LINESTRING (139.2275336 37.8368666, 139.227466 37.83591, 139.2274395 37.8354639)",,2,49;459,国道49号
