osmid,highway,oneway,reversed,length,geometry,lanes,bridge,name,ref,maxspeed
170054974,unclassified,False,True,234.19099999999997,"LINESTRING (134.4078168 34.1336876, 134.4078785 34.1335952, 134.4080985 34.1330934, 134.408076 34.132888, 134.408063 34.132696, 134.407934 34.132223, 134.407921 34.132138, 134.407921 34.131845, 134.407952 34.131642)",,,,,
693560599,tertiary,False,False,123.791,"LINESTRING (134.4078168 34.1336876, 134.4081219 34.1339069, 134.4084515 34.1341023, 134.4088812 34.1343668)",2,,,,
"[693640608, 693560598, 693560599]",tertiary,False,True,325.12500000000006,"LINESTRING (134.4078168 34.1336876, 134.4071563 34.1331941, 134.4069477 34.1330433, 134.4067754 34.132912, 134.4065527 34.1327433, 134.4062062 34.1324742, 134.4059501 34.1322835, 134.4056141 34.1320259, 134.4053469 34.1318513, 134.4051674 34.1317586)",2,yes,町口橋,,
86978092,secondary,False,True,5.893,"LINESTRING (134.41339 34.1325897, 134.4134371 34.1326256)",1,,引田滝宮線,102,30
25443674,unclassified,False,True,313.798,"LINESTRING (134.41339 34.1325897, 134.4132413 34.1324693, 134.4131257 34.1323425, 134.4127303 34.1317345, 134.4125167 34.1313188, 134.4118885 34.1300743)",,,,,
32690444,unclassified,False,False,41.067,"LINESTRING (134.4131045 34.1337945, 134.4129958 34.1338306, 134.4126715 34.1338768)",,,,,
749674148,unclassified,False,True,133.769,"LINESTRING (134.4131045 34.1337945, 134.4133722 34.1327848, 134.4133933 34.1327007, 134.4134371 34.1326256)",,,,,
32690444,unclassified,False,True,55.622,"LINESTRING (134.4120708 34.1339315, 134.4126715 34.1338768)",,,,,
"[32690444, 170054606]",unclassified,False,False,238.764,"LINESTRING (134.4120708 34.1339315, 134.4116202 34.1339726, 134.4109235 34.1340488, 134.4102822 34.1341266, 134.409656 34.1342183, 134.4095129 34.1342654)",,,,,
32690445,unclassified,False,False,232.461,"LINESTRING (134.4120708 34.1339315, 134.4121096 34.1342736, 134.4121341 34.1344842, 134.4121269 34.1346349, 134.4120905 34.1347781, 134.4120098 34.1349523, 134.4118612 34.1351322, 134.4116705 34.1354, 134.4113552 34.1358531)",,,,,
