osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,bridge,tunnel
104487500,True,2,112,中山バイパス,trunk,False,180.227,"LINESTRING (140.2792837 38.335052, 140.2785144 38.3335477)",,
208880525,False,,178,羽前長崎停車場線,secondary,True,10.383,"LINESTRING (140.2792837 38.335052, 140.2791689 38.3350767)",,
105432187,False,,,,tertiary,True,149.48399999999998,"LINESTRING (140.2792837 38.335052, 140.2805349 38.3349697, 140.2809906 38.3349318)",,
208880998,False,,,,unclassified,False,10.85,"LINESTRING (140.2785144 38.3335477, 140.2783962 38.3335781)",,
104487500,True,2,112,中山バイパス,trunk,False,182.679,"LINESTRING (140.2785144 38.3335477, 140.278279 38.333099, 140.2781516 38.3328315, 140.2780387 38.3325608, 140.2779396 38.3323007, 140.2778733 38.3319892)",,
208881568,False,,,,unclassified,True,232.97,"LINESTRING (140.2785144 38.3335477, 140.27895 38.333506, 140.2796927 38.3333957, 140.2811576 38.3332524)",,
208881586,False,,,,tertiary,True,177.365,"LINESTRING (140.2883826 38.3337183, 140.2863492 38.3337313)",,
208881586,False,,,,tertiary,False,61.955,"LINESTRING (140.2856389 38.3337278, 140.2863492 38.3337313)",,
208881586,False,,,,tertiary,True,62.565,"LINESTRING (140.2856389 38.3337278, 140.2854044 38.3337272, 140.2849341 38.3338128)",,
208881632,False,,,,unclassified,False,134.182,"LINESTRING (140.2856389 38.3337278, 140.2857825 38.3339387, 140.2861171 38.3341815, 140.2862315 38.3344654, 140.2863605 38.3347609)",,
208881586,False,,,,tertiary,False,62.565,"LINESTRING (140.2849341 38.3338128, 140.2854044 38.3337272, 140.2856389 38.3337278)",,
208881855,False,,277,長岡中山線,secondary,False,258.635,"LINESTRING (140.2849341 38.3338128, 140.2849615 38.3338902, 140.2851737 38.3342038, 140.2852267 38.3342759, 140.2853165 38.3344079, 140.2853818 38.3345351, 140.2854205 38.3347055, 140.2854624 38.3348208, 140.2855623 38.3350048, 140.2856144 38.3350808, 140.2857133 38.3352256, 140.2859224 38.3355705, 140.2860101 38.3357385, 140.286076 38.3359458)",,
"[980804440, 980804442, 105432206]",False,,277,長岡中山線,secondary,"[False, True]",116.24000000000001,"LINESTRING (140.2849341 38.3338128, 140.2845429 38.3339163, 140.2844817 38.3339333, 140.2842983 38.3339755, 140.2836664 38.3341349)",yes,
105432187,False,,,,tertiary,False,212.92600000000002,"LINESTRING (140.2836664 38.3341349, 140.2827285 38.3345219, 140.282642 38.3345594, 140.2824522 38.3346259, 140.282245 38.3346986, 140.2819915 38.3347788, 140.2817303 38.3348464, 140.2815878 38.3348722, 140.2814376 38.3348956)",,
208881847,False,,277,長岡中山線,secondary,True,147.503,"LINESTRING (140.2836664 38.3341349, 140.2833546 38.3333246, 140.283181 38.3328642)",,
"[980804440, 980804442, 105432206]",False,,277,長岡中山線,secondary,"[False, True]",116.24000000000001,"LINESTRING (140.2836664 38.3341349, 140.2842983 38.3339755, 140.2844817 38.3339333, 140.2845429 38.3339163, 140.2849341 38.3338128)",yes,
"[208880499, 208880502]",False,,24,天童寒河江線,primary,True,212.359,"LINESTRING (140.2794776 38.3287025, 140.2803683 38.3287846, 140.2807132 38.3288111, 140.2817769 38.328903, 140.2818959 38.3289202)",,
"[880860333, 208880631]",False,,,,unclassified,False,321.896,"LINESTRING (140.2794776 38.3287025, 140.2795511 38.3288683, 140.2797872 38.3292337, 140.2800147 38.3295658, 140.2802175 38.3298906, 140.2803031 38.3300364, 140.2807061 38.3307226, 140.2807981 38.3308697, 140.2808945 38.3309824, 140.2811265 38.3312328, 140.2811603 38.3312702)",,
"[208880499, 208880502]",False,,24,天童寒河江線,primary,False,212.35899999999998,"LINESTRING (140.2818959 38.3289202, 140.2817769 38.328903, 140.2807132 38.3288111, 140.2803683 38.3287846, 140.2794776 38.3287025)",,
"[208881841, 208881862]",False,,277,長岡中山線,secondary,False,240.286,"LINESTRING (140.2818959 38.3289202, 140.2818624 38.3292075, 140.2818743 38.3294134, 140.2819103 38.3295882, 140.2822011 38.3303267, 140.2824686 38.3310116)",,
"[208880497, 932756452, 932756453, 208880503]",False,,24,天童寒河江線,primary,True,238.00099999999998,"LINESTRING (140.2818959 38.3289202, 140.2820235 38.3289346, 140.2825851 38.3289753, 140.2829384 38.3290072, 140.2837692 38.3290822, 140.2846076 38.329156)",yes,
"[208880497, 932756452, 932756453, 208880503]",False,,24,天童寒河江線,primary,False,238.001,"LINESTRING (140.2846076 38.329156, 140.2837692 38.3290822, 140.2829384 38.3290072, 140.2825851 38.3289753, 140.2820235 38.3289346, 140.2818959 38.3289202)",yes,
208880501,False,,24,天童寒河江線,primary,False,121.269,"LINESTRING (140.2846076 38.329156, 140.2850901 38.3291902, 140.2859904 38.3292683)",,
208881030,False,,,,unclassified,False,172.533,"LINESTRING (140.2846076 38.329156, 140.2842744 38.329976, 140.2840897 38.3304397, 140.284023 38.3305549, 140.2839653 38.3306192)",,
208880501,False,,24,天童寒河江線,primary,True,121.269,"LINESTRING (140.2859904 38.3292683, 140.2850901 38.3291902, 140.2846076 38.329156)",,
"[208880997, 208880927]",False,,,,residential,True,58.393,"LINESTRING (140.2859904 38.3292683, 140.2859655 38.3294242, 140.285943 38.3297918)",,
"[208880997, 208880927]",False,,,,residential,False,58.393,"LINESTRING (140.285943 38.3297918, 140.2859655 38.3294242, 140.2859904 38.3292683)",,
208881030,False,,,,unclassified,True,172.53300000000002,"LINESTRING (140.2839653 38.3306192, 140.284023 38.3305549, 140.2840897 38.3304397, 140.2842744 38.329976, 140.2846076 38.329156)",,
