osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,tunnel,bridge
28071640,residential,False,True,22.753,"LINESTRING (139.4095105 35.6631939, 139.4095131 35.6632545, 139.4094581 35.6633635, 139.4094427 35.6633865)",,,,,,
199903469,primary,False,False,91.435,"LINESTRING (139.4095105 35.6631939, 139.4101417 35.6630622, 139.4103018 35.6630166, 139.4104734 35.6629489)",2,41,川崎街道,40,,
199903476,residential,False,False,113.028,"LINESTRING (139.4095105 35.6631939, 139.4095998 35.6629624, 139.410088 35.6628208, 139.4104125 35.662884, 139.4104734 35.6629489)",,,,,,
380950592,primary,False,False,11.713,"LINESTRING (139.413958 35.6594818, 139.4140691 35.6594275)",2,41,川崎街道,40,,
450055609,secondary,True,False,43.816,"LINESTRING (139.413958 35.6594818, 139.4140391 35.6595978, 139.4141976 35.6598244)",1,503,多摩モノレール通り,50,,
450055611,primary,False,True,107.178,"LINESTRING (139.413958 35.6594818, 139.4138677 35.659546, 139.4137541 35.6596269, 139.4131556 35.6600051, 139.4130313 35.6600831)",2,41,川崎街道,40,,
378206432,primary,False,False,23.307,"LINESTRING (139.4174918 35.6590485, 139.4177497 35.6590537)",2,41,川崎街道,40,,
378206432,primary,False,True,43.691,"LINESTRING (139.4174918 35.6590485, 139.4170082 35.659048)",2,41,川崎街道,40,,
54148186,unclassified,False,True,181.867,"LINESTRING (139.4174918 35.6590485, 139.4175044 35.6588305, 139.4175291 35.6586841, 139.4175829 35.6585833, 139.4176624 35.6584979, 139.4177713 35.658436, 139.4178632 35.6583914, 139.4178975 35.6583687, 139.4179027 35.6583418, 139.4178667 35.6582896, 139.4178594 35.6582543, 139.4178735 35.6582181, 139.4179246 35.6581927, 139.4180441 35.6581696, 139.4180951 35.6581435, 139.4181272 35.658092, 139.4181361 35.6579651, 139.4181507 35.6579252, 139.4181878 35.6578874, 139.4182695 35.6578493, 139.4183942 35.6578014)",,,,,,
51497092,tertiary,False,False,12.031,"LINESTRING (139.4136884 35.6590307, 139.4138005 35.6589723)",,,,,,
