osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,tunnel,bridge
177505379,tertiary,False,False,40.665,"LINESTRING (140.2211015 35.7262561, 140.2210759 35.7261408, 140.2209632 35.7259097)",,,,,,
394948079,trunk,False,False,164.129,"LINESTRING (140.2211015 35.7262561, 140.220934 35.7263381, 140.2198975 35.7268185, 140.2197466 35.7268856, 140.2195997 35.726937, 140.2195069 35.7269601)",2,296,国道296号,,,
394948079,trunk,False,True,114.914,"LINESTRING (140.2211015 35.7262561, 140.2212951 35.7261659, 140.2215861 35.7260257, 140.2218135 35.72593, 140.2220005 35.7258592, 140.2221205 35.7258266, 140.2222405 35.7258071)",2,296,国道296号,,,
1206980447,primary,False,True,74.531,"LINESTRING (140.2211015 35.7262561, 140.2211395 35.7263675, 140.2213425 35.7266591, 140.2214789 35.7268489)",2,65,佐倉印西線,,,
72644084,tertiary,False,True,148.68099999999998,"LINESTRING (140.2276145 35.7192249, 140.2278412 35.719242, 140.2283241 35.7192817, 140.2285515 35.7193004, 140.2289147 35.7193329, 140.229253 35.7193599)",,,,,,
400532865,trunk,False,False,73.32300000000001,"LINESTRING (140.2276145 35.7192249, 140.2275745 35.7193872, 140.2274704 35.7198738)",2,296,国道296号,,,
72644085,tertiary,False,False,97.363,"LINESTRING (140.2246079 35.7253103, 140.2256231 35.7250146)",2,,,40,,
394948079,trunk,False,False,79.206,"LINESTRING (140.2246079 35.7253103, 140.2237856 35.7255588)",2,296,国道296号,,,
400532865,trunk,False,True,182.746,"LINESTRING (140.2246079 35.7253103, 140.2245927 35.7252689, 140.2246042 35.7251992, 140.2246246 35.7251185, 140.2246745 35.7250483, 140.2247715 35.7249098, 140.2248926 35.7247375, 140.2249629 35.7246268, 140.225031 35.7244886, 140.2250845 35.7243552, 140.2251319 35.7242039, 140.2251599 35.7240584, 140.225181 35.7239131, 140.2251914 35.7237679)",2,296,国道296号,,,
104841100,unclassified,False,False,94.731,"LINESTRING (140.2209632 35.7259097, 140.2202144 35.7262002, 140.2200589 35.7262069, 140.2199954 35.7262118)",,,,,,
177505379,tertiary,False,False,377.741,"LINESTRING (140.2209632 35.7259097, 140.2209535 35.7258937, 140.2208423 35.7256571, 140.2207478 35.7255356, 140.2206439 35.7254162, 140.2205392 35.7253027, 140.22048 35.7252274, 140.2204587 35.7251455, 140.2204555 35.7250869, 140.2204738 35.7250359, 140.2205321 35.7249371, 140.2208675 35.7244867, 140.2209205 35.7243838, 140.2209458 35.7242843, 140.220942 35.7241899, 140.2209234 35.7241183, 140.220873 35.7240029, 140.2207684 35.7238827, 140.2205692 35.7237093, 140.2203167 35.7234898, 140.2199114 35.7231614, 140.2198031 35.7230783)",,,,,,
177505379,tertiary,False,True,40.665,"LINESTRING (140.2209632 35.7259097, 140.2210759 35.7261408, 140.2211015 35.7262561)",,,,,,
177505379,tertiary,False,True,377.74099999999993,"LINESTRING (140.2198031 35.7230783, 140.2199114 35.7231614, 140.2203167 35.7234898, 140.2205692 35.7237093, 140.2207684 35.7238827, 140.220873 35.7240029, 140.2209234 35.7241183, 140.220942 35.7241899, 140.2209458 35.7242843, 140.2209205 35.7243838, 140.2208675 35.7244867, 140.2205321 35.7249371, 140.2204738 35.7250359, 140.2204555 35.7250869, 140.2204587 35.7251455, 140.22048 35.7252274, 140.2205392 35.7253027, 140.2206439 35.7254162, 140.2207478 35.7255356, 140.2208423 35.7256571, 140.2209535 35.7258937, 140.2209632 35.7259097)",,,,,,
72644085,tertiary,False,True,45.021,"LINESTRING (140.2294256 35.7240979, 140.2293463 35.7241037, 140.2290706 35.724124, 140.2289297 35.72414)",2,,,40,,
394948080,tertiary,True,False,63.428,"LINESTRING (140.2294256 35.7240979, 140.2294341 35.7241697, 140.2294824 35.724578, 140.2294851 35.7246011, 140.2295134 35.7246618)",2,,,,,
72644085,tertiary,False,False,29.804,"LINESTRING (140.2278164 35.7243646, 140.2281273 35.7242744)",2,,,40,,
72644085,tertiary,False,True,132.027,"LINESTRING (140.2278164 35.7243646, 140.2264445 35.7247761)",2,,,40,,
177505384,tertiary,False,False,32.677,"LINESTRING (140.2278164 35.7243646, 140.227844 35.724431, 140.2279129 35.7245966, 140.2279196 35.7246453)",2,,,,,
