osmid,highway,oneway,reversed,length,geometry,lanes,name,ref,maxspeed,bridge
270859288,unclassified,False,False,77.089,"LINESTRING (139.4085465 35.8541272, 139.4085508 35.8540662, 139.4085424 35.8540034, 139.407937 35.8537153)",,,,,
272325377,residential,False,False,79.354,"LINESTRING (139.4085465 35.8541272, 139.4081859 35.8546196, 139.4080803 35.8547317)",,,,,
609757760,tertiary,False,False,81.999,"LINESTRING (139.4085465 35.8541272, 139.4087871 35.8542179, 139.4088828 35.8542598, 139.4093164 35.8545148)",2,狭山市駅上諏訪線,,,
609757760,tertiary,False,True,62.619,"LINESTRING (139.4085465 35.8541272, 139.4082377 35.8540872, 139.4081328 35.8540811, 139.4080144 35.854075, 139.4078574 35.8540913)",2,狭山市駅上諏訪線,,,
228784748,primary,False,False,48.768,"LINESTRING (139.4093164 35.8545148, 139.4096714 35.8541838)",2,所沢狭山線,50,,
228784748,primary,False,True,59.707,"LINESTRING (139.4093164 35.8545148, 139.4088966 35.8549302)",2,所沢狭山線,50,,
609757760,tertiary,False,False,72.341,"LINESTRING (139.4093164 35.8545148, 139.4099504 35.8549138)",2,狭山市駅上諏訪線,,,
609757760,tertiary,False,True,81.999,"LINESTRING (139.4093164 35.8545148, 139.4088828 35.8542598, 139.4087871 35.8542179, 139.4085465 35.8541272)",2,狭山市駅上諏訪線,,,
228784748,primary,False,False,105.547,"LINESTRING (139.4082664 35.8557245, 139.4083984 35.85549, 139.4085294 35.8553234, 139.4086349 35.8551892, 139.4088966 35.8549302)",2,所沢狭山線,50,,
228784748,primary,False,True,72.17,"LINESTRING (139.4082664 35.8557245, 139.408191 35.855921, 139.4081574 35.8560741, 139.4081413 35.8562154, 139.4081412 35.8562958, 139.4081467 35.8563611)",2,所沢狭山線,50,,
272325376,residential,False,True,195.49400000000003,"LINESTRING (139.4082664 35.8557245, 139.408095 35.8556681, 139.4080658 35.8556577, 139.408026 35.8555386, 139.4079566 35.8553304, 139.4078779 35.8548234, 139.4078574 35.8540913)",,,,,
228784748,primary,False,False,70.495,"LINESTRING (139.4107758 35.8531625, 139.4112788 35.852677)",2,所沢狭山線,50,,
228784748,primary,False,True,39.729,"LINESTRING (139.4107758 35.8531625, 139.4104815 35.8534285)",2,所沢狭山線,50,,
268600123,unclassified,False,False,94.912,"LINESTRING (139.4107758 35.8531625, 139.4110322 35.8532833, 139.4116863 35.8535914)",,,,,
83810394,residential,False,False,15.154,"LINESTRING (139.4158131 35.8510755, 139.4158957 35.8509568)",,,,30,
83810379,primary,False,False,117.20100000000001,"LINESTRING (139.4158131 35.8510755, 139.4161478 35.8511711, 139.4165117 35.8513102, 139.4169841 35.8515275)",2,所沢狭山線　県道50号,50,40,
