osmid,highway,oneway,reversed,length,ref,geometry,name,bridge,lanes,tunnel
316066414,secondary_link,False,False,97.061,,"LINESTRING (138.2552237 37.0271931, 138.2541305 37.027178)",,,,
"[40245443, 40245444]","['secondary', 'secondary_link']",False,True,120.983,125,"LINESTRING (138.2552237 37.0271931, 138.2552595 37.0266512, 138.2551567 37.0264998, 138.2547286 37.02635)",,,,
226628932,unclassified,False,False,113.572,,"LINESTRING (138.2552237 37.0271931, 138.2553518 37.027225, 138.2554092 37.0273097, 138.2553472 37.0276873, 138.2552353 37.0281152)",,,,
316066414,secondary_link,False,False,90.169,,"LINESTRING (138.2534627 37.0271467, 138.2524483 37.0271052)",,,,
316066414,secondary_link,False,True,15.62,,"LINESTRING (138.2534627 37.0271467, 138.2536384 37.0271542)",,,,
226628837,unclassified,False,True,132.188,,"LINESTRING (138.2534627 37.0271467, 138.2534815 37.026775, 138.253444 37.0267415, 138.2524791 37.0266929)",,,,
25656123,secondary,False,False,36.392,217,"LINESTRING (138.2507565 37.0270199, 138.2506531 37.0273366)",,,,
25656123,secondary,False,True,54.3,217,"LINESTRING (138.2507565 37.0270199, 138.2507956 37.0269062, 138.2509189 37.0265491)",,,,
316066414,secondary_link,False,True,150.6,,"LINESTRING (138.2507565 37.0270199, 138.2513587 37.0270756, 138.2524483 37.0271052)",,,,
25656123,secondary,False,False,83.764,217,"LINESTRING (138.25123 37.025518, 138.2510103 37.0262506)",,,,
40245446,secondary,False,True,59.187,217,"LINESTRING (138.25123 37.025518, 138.2505665 37.0254658)",,,,
40245443,secondary,False,False,121.494,125,"LINESTRING (138.25123 37.025518, 138.2518221 37.0255544, 138.2525617 37.0257385)",,,,
"[40245445, 117112446]",tertiary,False,"[False, True]",91.369,63,"LINESTRING (138.25123 37.025518, 138.2514568 37.0251921, 138.2515479 37.0250691, 138.2518094 37.0248454)",上越新井線,,,
40245443,secondary,False,False,141.766,125,"LINESTRING (138.2525617 37.0257385, 138.2540691 37.0261594)",,,,
338500496,primary,False,False,105.392,63,"LINESTRING (138.2525617 37.0257385, 138.2526287 37.0247922)",上越新井線,,,
338500496,primary,False,True,26.579,63,"LINESTRING (138.2525617 37.0257385, 138.2525567 37.0259775)",上越新井線,,,
40245443,secondary,False,True,121.494,125,"LINESTRING (138.2525617 37.0257385, 138.2518221 37.0255544, 138.25123 37.025518)",,,,
23855185,secondary,False,False,65.719,217,"LINESTRING (138.2505929 37.0281798, 138.2513282 37.0282485)",,,,
40245442,secondary,False,True,71.327,217,"LINESTRING (138.2505929 37.0281798, 138.2497947 37.0281063)",,,,
25656123,secondary,False,True,94.058,217,"LINESTRING (138.2505929 37.0281798, 138.2506053 37.0276156, 138.2506531 37.0273366)",,,,
32126020,tertiary,False,False,87.448,,"LINESTRING (138.2505929 37.0281798, 138.2505861 37.0286339, 138.250521 37.028784, 138.2504359 37.0289436)",,,,
432388277,primary,False,False,39.379,30,"LINESTRING (138.253647 37.0284054, 138.2540886 37.028439)",,,,
432388277,primary,False,True,111.598,30,"LINESTRING (138.253647 37.0284054, 138.2523988 37.0282859)",,,,
226630499,unclassified,False,True,168.357,,"LINESTRING (138.253647 37.0284054, 138.25361 37.028832, 138.2522659 37.0286618)",,,,
798262924,primary,False,True,68.234,30,"LINESTRING (138.2580803 37.028785, 138.2573163 37.0287176)",,,,
226632509,unclassified,False,False,142.853,,"LINESTRING (138.2580803 37.028785, 138.2580899 37.0286888, 138.2579408 37.0284469, 138.257897 37.0281171, 138.2579197 37.0280322, 138.2580209 37.0279859, 138.2581615 37.0279381, 138.2582942 37.0276735)",,,,
