osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,access
119051071,,,unclassified,False,False,433.389,,"LINESTRING (139.5661961 35.7906402, 139.5665638 35.7910996, 139.5665448 35.791177, 139.5659609 35.7913508, 139.5651498 35.791626, 139.5651162 35.7916626, 139.5654507 35.7922374, 139.5655275 35.7923694, 139.565599 35.7924146, 139.5662974 35.792176, 139.566335 35.7921996, 139.5665825 35.7926567)",,
48788377,2,平林寺大門通り,tertiary,False,True,328.111,,"LINESTRING (139.5635469 35.7916531, 139.564184 35.7926924, 139.5645047 35.7931994, 139.5646179 35.79338, 139.5648923 35.7938362, 139.5650993 35.7941804, 139.565168 35.7942946)",,
52975210,,,unclassified,False,True,214.07600000000002,,"LINESTRING (139.5635469 35.7916531, 139.5635938 35.7916301, 139.564053 35.7914045, 139.5641957 35.7913442, 139.5647983 35.7910898, 139.564857 35.7910062, 139.5650185 35.7909429, 139.5654315 35.7908332, 139.5656301 35.7907804)",,
48788377,2,平林寺大門通り,tertiary,False,False,21.46,,"LINESTRING (139.567059 35.7973581, 139.5669553 35.7971844)",,
48788377,2,平林寺大門通り,tertiary,False,True,8.121,,"LINESTRING (139.567059 35.7973581, 139.5670954 35.7974249)",,
52457253,,こもれび通り,tertiary,False,False,28.295,,"LINESTRING (139.5669853 35.7936759, 139.5672683 35.7935661)",,
52457253,,こもれび通り,tertiary,False,True,10.41,,"LINESTRING (139.5669853 35.7936759, 139.5668767 35.7937076)",,
68574066,,,unclassified,False,True,122.731,,"LINESTRING (139.5669853 35.7936759, 139.5669657 35.7936418, 139.5665331 35.7928868, 139.5665825 35.7926567)",,
52975210,,,unclassified,False,False,111.235,,"LINESTRING (139.567365 35.7903213, 139.5661961 35.7906402)",,
68574067,,,unclassified,False,True,211.291,,"LINESTRING (139.567365 35.7903213, 139.5683719 35.792037)",,
