osmid,oneway,highway,reversed,length,lanes,ref,name,maxspeed,geometry,bridge,access
30165217,True,unclassified,False,33.03,,,,,"LINESTRING (139.978453 35.8668567, 139.9780926 35.8668025)",,
32618889,False,tertiary,True,10.641,,,,,"LINESTRING (139.978453 35.8668567, 139.9785694 35.8668728)",,
651958116,True,trunk,False,49.508,3,16,東京環状,60,"LINESTRING (139.978453 35.8668567, 139.978145 35.8672254)",,
30882705,False,tertiary,False,47.302,2,,旧水戸街道,,"LINESTRING (139.9780926 35.8668025, 139.9781115 35.8668862, 139.9781209 35.8669606, 139.978145 35.8672254)",,
30882705,False,tertiary,True,52.568,2,,旧水戸街道,,"LINESTRING (139.9780926 35.8668025, 139.9780539 35.8666965, 139.9779965 35.8665764, 139.977871 35.8663663)",,
30882705,False,tertiary,True,42.512,2,,旧水戸街道,,"LINESTRING (139.975702 35.8641487, 139.97564 35.8637697)",,
30882705,False,tertiary,False,45.108000000000004,2,,旧水戸街道,,"LINESTRING (139.975702 35.8641487, 139.9757512 35.864387, 139.9757954 35.8645471)",,
80418594,False,tertiary,True,131.981,2,,市役所通り,,"LINESTRING (139.975702 35.8641487, 139.9753784 35.8642196, 139.9750954 35.8642936, 139.9743034 35.8645002)",,
30882705,False,tertiary,False,28.371,2,,旧水戸街道,,"LINESTRING (139.9762174 35.8652905, 139.9764687 35.8654442)",,
1017832188,False,tertiary,False,30.464,2,,,,"LINESTRING (139.9762174 35.8652905, 139.9759051 35.8653954)",,
1017832188,False,tertiary,True,144.731,2,,,,"LINESTRING (139.9762174 35.8652905, 139.9776553 35.8647106)",,
30882705,False,tertiary,True,92.02599999999998,2,,旧水戸街道,,"LINESTRING (139.9762174 35.8652905, 139.9761419 35.8652188, 139.9760606 35.8651274, 139.9759792 35.8649924, 139.9759098 35.8648627, 139.9758499 35.8647124, 139.9757954 35.8645471)",,
651958117,False,tertiary,False,15.138,2,,旧水戸街道,,"LINESTRING (139.978145 35.8672254, 139.9781568 35.8673612)",,
30882705,False,tertiary,True,47.30200000000001,2,,旧水戸街道,,"LINESTRING (139.978145 35.8672254, 139.9781209 35.8669606, 139.9781115 35.8668862, 139.9780926 35.8668025)",,
"[28487009, 602638625, 651958118, 602638622]",True,trunk,False,341.735,"['2', '3']",16,東京環状,60,"LINESTRING (139.978145 35.8672254, 139.9777642 35.867667, 139.9774661 35.8679834, 139.9772184 35.8682485, 139.9768206 35.8686126, 139.9765089 35.8688939, 139.9762521 35.8691245, 139.9759704 35.8693796, 139.9757303 35.8695901)",yes,
749111770,False,tertiary,True,25.745,2,,旧水戸街道,,"LINESTRING (139.9780057 35.8699342, 139.9780406 35.8697044)",,
130507891,False,unclassified,False,109.099,,,,,"LINESTRING (139.9780057 35.8699342, 139.9780628 35.870024, 139.9779751 35.8704801, 139.9779888 35.8705155, 139.9781221 35.8706989, 139.9782621 35.8708236)",,
"[30953016, 30953017, 749111770]",False,tertiary,False,202.20000000000002,2,,旧水戸街道,,"LINESTRING (139.9780057 35.8699342, 139.9779852 35.8700455, 139.977841 35.8708359, 139.9778393 35.8709034, 139.9778527 35.8709773, 139.9778841 35.8710446, 139.9779184 35.8710904, 139.9779785 35.8711395, 139.9781537 35.8712561, 139.9784078 35.8714156, 139.9785288 35.8714945)",yes,
1017832188,False,tertiary,False,36.292,2,,,,"LINESTRING (139.9786492 35.864305, 139.978287 35.8644477)",,
1253817693,False,tertiary,True,5.954,2,,郵便局通り,,"LINESTRING (139.9786492 35.864305, 139.9786738 35.8643547)",,
1253817693,False,tertiary,False,126.83800000000001,2,,郵便局通り,,"LINESTRING (139.9786492 35.864305, 139.9784696 35.8637447, 139.9782859 35.863203)",,
32618889,False,tertiary,False,10.641,,,,,"LINESTRING (139.9785694 35.8668728, 139.978453 35.8668567)",,
32618889,False,tertiary,True,30.876,,,,,"LINESTRING (139.9785694 35.8668728, 139.9789055 35.8669268)",,
"[651957320, 651961729]",True,trunk,False,157.45600000000002,"['2', '3']",16,東京環状,60,"LINESTRING (139.9785694 35.8668728, 139.9792558 35.8660473, 139.9795475 35.8656994)",,
651957320,True,trunk,False,65.815,2,16,東京環状,60,"LINESTRING (139.9781568 35.8673612, 139.9785694 35.8668728)",,
651958117,False,tertiary,True,15.138,2,,旧水戸街道,,"LINESTRING (139.9781568 35.8673612, 139.978145 35.8672254)",,
749111770,False,tertiary,False,181.26200000000003,2,,旧水戸街道,,"LINESTRING (139.9781568 35.8673612, 139.978167 35.8675762, 139.9781879 35.868039, 139.9781916 35.8682909, 139.9781893 35.8684702, 139.9781818 35.8686407, 139.9781692 35.8687712, 139.9781407 35.8689891)",,
224210072,False,residential,False,93.90599999999999,,,,,"LINESTRING (139.9809152 35.8667483, 139.9805743 35.8665577, 139.9804489 35.8664419, 139.9802546 35.8661596, 139.9802318 35.866134)",,
1190910877,False,residential,False,30.877,,,,,"LINESTRING (139.9809152 35.8667483, 139.9810488 35.8666098, 139.9809471 35.8665499)",,
651961729,True,trunk,False,38.529,3,16,東京環状,60,"LINESTRING (139.9795475 35.8656994, 139.9797942 35.8654164)",,
224210072,False,residential,True,78.895,,,,,"LINESTRING (139.9795475 35.8656994, 139.9801538 35.8660465, 139.9802318 35.866134)",,
48117362,True,trunk_link,False,72.187,2,6,水戸街道,,"LINESTRING (139.9729136 35.8685108, 139.9732431 35.8688716, 139.9734047 35.8690232)",,yes
92164350,False,tertiary,False,10.194,2,,,,"LINESTRING (139.9718013 35.8671733, 139.9717068 35.8672237)",,
