osmid,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed,ref,name,tunnel
466006167,tertiary,False,False,28.894,"LINESTRING (140.2073086 36.0781309, 140.2072925 36.0780366, 140.2072922 36.0779932, 140.2072972 36.0779579, 140.2073036 36.0779198, 140.207323 36.0778752)",,,,,,
"[467673097, 979448187, 467673093]",unclassified,False,"[False, True]",229.156,"LINESTRING (140.2073086 36.0781309, 140.2074047 36.0782127, 140.2074429 36.078288, 140.2078106 36.0790125, 140.2080312 36.079451, 140.2081231 36.0795471, 140.2082701 36.0796184, 140.2084049 36.0796268, 140.2086103 36.0796006, 140.2086994 36.0795893)",,,,,,
648369450,tertiary,False,True,9.566,"LINESTRING (140.2070139 36.0765692, 140.2071127 36.0765372)",,,,,,
58974062,tertiary,False,False,57.273,"LINESTRING (140.2070139 36.0765692, 140.2069741 36.0766084, 140.2069345 36.0766636, 140.2069236 36.0767292, 140.2069421 36.076792, 140.2069708 36.0768271, 140.2070401 36.0768686, 140.2071065 36.0769181, 140.2071416 36.0769505, 140.2071735 36.0769836)",,,,,,
58974066,tertiary,True,False,39.068000000000005,"LINESTRING (140.2070139 36.0765692, 140.2069104 36.0765947, 140.2067696 36.0766444, 140.206695 36.0766789, 140.2066566 36.0767023, 140.2066456 36.0767324)",,,,,,
325835254,tertiary,True,False,60.013,"LINESTRING (140.2078493 36.0777675, 140.2076025 36.077266)",2,,,,,
325835254,tertiary,True,False,10.102,"LINESTRING (140.2087842 36.0796535, 140.2087759 36.0795629)",2,,,,,
"[757763838, 648373778, 325837350]",tertiary,False,False,61.099999999999994,"LINESTRING (140.2087842 36.0796535, 140.208799 36.0796818, 140.2088802 36.0798364, 140.2089938 36.0800655, 140.2090459 36.0801606)","['4', '6']",yes,,,,
255926406,tertiary,True,False,68.28800000000001,"LINESTRING (140.2017863 36.0812127, 140.2017074 36.0811672, 140.2010712 36.0810165)",1,,40,,,
1136179893,secondary,False,True,30.836,"LINESTRING (140.2017863 36.0812127, 140.2019284 36.0812554, 140.2019829 36.0812775, 140.2020902 36.0813376)",2,,40,263,土浦港線,
"[757764673, 1136179894]",trunk,False,True,100.725,"LINESTRING (140.2017863 36.0812127, 140.2019228 36.0810912, 140.2019759 36.0810418, 140.2022731 36.0808009, 140.2024749 36.0806374, 140.2025591 36.0805572)",2,,40,125,国道125号,
"[39096927, 1136179895]",trunk,False,False,85.137,"LINESTRING (140.2017863 36.0812127, 140.201686 36.0813142, 140.2016335 36.0813762, 140.2015172 36.0815262, 140.2013975 36.0816738, 140.201374 36.0817084, 140.2012742 36.0818554)",2,,40,125,国道125号,
112290936,residential,False,True,9.685,"LINESTRING (140.2000197 36.0807785, 140.2000191 36.0808656)",,,,,,
255926406,tertiary,True,False,62.939,"LINESTRING (140.2000197 36.0807785, 140.1993431 36.0806323)",1,,40,,,
400421465,residential,False,False,35.741,"LINESTRING (140.2000197 36.0807785, 140.2000327 36.080743, 140.2001326 36.0804703)",,,,,,
400418111,residential,False,True,9.933,"LINESTRING (140.1993431 36.0806323, 140.199329 36.0807209)",,,,,,
400418111,residential,False,False,48.99,"LINESTRING (140.1993431 36.0806323, 140.19935 36.0806028, 140.1994451 36.0801995)",,,,,,
"[1136188432, 32838883, 1136188430]",secondary,False,True,132.389,"LINESTRING (140.2037049 36.0791479, 140.2037829 36.0790802, 140.2038307 36.079047, 140.2038589 36.0790271, 140.2039468 36.0789766, 140.2040619 36.0789236, 140.2042048 36.0788773, 140.2045191 36.0787794, 140.2049359 36.0786495, 140.204989 36.078632, 140.2050104 36.0786251)",2,,40,275,土浦停車場線,
759807548,trunk,False,True,59.141,"LINESTRING (140.2037049 36.0791479, 140.2036112 36.0790628, 140.203559 36.0790225, 140.2034534 36.0789204, 140.2033541 36.0788075, 140.2033109 36.0787267)",2,,40,125,国道125号,
"[757764673, 1136188431]",trunk,False,False,156.26700000000002,"LINESTRING (140.2037049 36.0791479, 140.2036237 36.079217, 140.2035832 36.0792498, 140.2034134 36.0793867, 140.203205 36.079572, 140.2030065 36.0797573, 140.2028949 36.0798775, 140.202807 36.0799952, 140.2027239 36.0801758, 140.2026879 36.0802651)",2,,40,125,国道125号,
293866099,unclassified,False,True,12.14,"LINESTRING (140.2049924 36.0773319, 140.2050496 36.0772707, 140.2050478 36.0772595, 140.2050444 36.0772385)",,,,,,
1110966765,tertiary,True,False,16.362,"LINESTRING (140.2049924 36.0773319, 140.2049216 36.0773328, 140.2048174 36.0773643)",,,,,,
32854159,tertiary,False,True,73.12,"LINESTRING (140.2030904 36.0779511, 140.2032028 36.0779131, 140.2032847 36.0778851, 140.2034775 36.0778193, 140.2038401 36.0776956)",2,,,,,
1059791509,trunk,False,True,54.955,"LINESTRING (140.2030904 36.0779511, 140.2030616 36.0778567, 140.2030558 36.0778441, 140.2030294 36.0777864, 140.2028699 36.0774913)",3,,40,125,国道125号,
1059791510,trunk,False,False,43.185,"LINESTRING (140.2030904 36.0779511, 140.2031095 36.0780537, 140.2031191 36.0781013, 140.2031852 36.0783151, 140.2031897 36.0783307)",3,,40,125,国道125号,
"[1059791512, 1059791511]",primary,False,False,59.949,"LINESTRING (140.2030904 36.0779511, 140.2029683 36.0779927, 140.2029171 36.07801, 140.202631 36.0781075, 140.2024757 36.0781605)","['2', '3']",,40,24,八間道路,
757764673,trunk,False,True,15.622,"LINESTRING (140.2026587 36.0804036, 140.2026879 36.0802651)",2,,40,125,国道125号,
92711592,unclassified,True,False,13.184000000000001,"LINESTRING (140.2026587 36.0804036, 140.2027461 36.0803917, 140.2028033 36.0803836)",,,,,,
757764673,trunk,False,False,19.325000000000003,"LINESTRING (140.2026587 36.0804036, 140.2026331 36.0804504, 140.2026165 36.080481, 140.2025591 36.0805572)",2,,40,125,国道125号,
759756495,trunk,False,False,59.159,"LINESTRING (140.2008952 36.0746685, 140.20124 36.0751217)",2,,40,125,国道125号,
