osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,bridge,geometry,tunnel
115824103,2,15,前橋伊香保線,primary,False,True,79.657,,,"LINESTRING (139.0070827 36.4466897, 139.0077876 36.4462519)",
207630014,2,,三国街道,tertiary,False,True,67.417,40,,"LINESTRING (139.0070827 36.4466897, 139.0067522 36.4461448)",
"[432859344, 432859345, 166970624]",2,15,前橋伊香保線,primary,False,False,188.558,,yes,"LINESTRING (139.0070827 36.4466897, 139.0068453 36.4468315, 139.0066305 36.4469448, 139.0061681 36.4471945, 139.0060028 36.4472954, 139.0058475 36.44742, 139.0054953 36.4477823)",
"[192342476, 192342478, 764579118]",2,,"['鬼ヶ橋', '三国街道']",tertiary,False,False,85.14,40,yes,"LINESTRING (139.0070827 36.4466897, 139.0072229 36.4469153, 139.0072803 36.4470129, 139.0073799 36.4471896, 139.0074471 36.4473315, 139.0074601 36.4473902)",
494186627,2,,三国街道,tertiary,False,True,93.993,40,,"LINESTRING (139.007598 36.4500966, 139.0075974 36.4492513)",
192342380,,,,unclassified,False,False,182.43300000000002,,,"LINESTRING (139.007598 36.4500966, 139.0068515 36.4501152, 139.0065879 36.450144, 139.0063083 36.4501638, 139.0058275 36.4502679, 139.005582 36.4502972)",
494186627,2,,三国街道,tertiary,False,False,164.475,40,,"LINESTRING (139.007598 36.4500966, 139.0076109 36.4513066, 139.0076138 36.4515757)",
90760447,1,,,unclassified,False,False,153.578,,,"LINESTRING (139.0152451 36.4454786, 139.0152783 36.4468595)",
460910345,1,,,residential,False,True,94.189,,,"LINESTRING (139.0152451 36.4454786, 139.015219 36.4446318)",
"[43325362, 115824124, 115824086]",,,,residential,False,True,55.074,,,"LINESTRING (139.0152451 36.4454786, 139.0151496 36.445473, 139.0147195 36.445442, 139.0146325 36.4454307)",yes
90760447,1,,,unclassified,False,True,153.578,,,"LINESTRING (139.0152783 36.4468595, 139.0152451 36.4454786)",
"[90760440, 192161491, 192161464]",,,,residential,False,False,56.403000000000006,,,"LINESTRING (139.0152783 36.4468595, 139.0151898 36.4468636, 139.0147679 36.4469355, 139.0146574 36.4469405)",yes
192161464,,,,residential,False,False,71.288,,,"LINESTRING (139.0146574 36.4469405, 139.0138748 36.4468192)",
"[192161464, 90760440, 192161491]",,,,residential,False,True,56.403000000000006,,,"LINESTRING (139.0146574 36.4469405, 139.0147679 36.4469355, 139.0151898 36.4468636, 139.0152783 36.4468595)",yes
543850082,1,,,unclassified,False,False,167.897,,,"LINESTRING (139.0146574 36.4469405, 139.0146456 36.4462255, 139.0146325 36.4454307)",
543850082,1,,,unclassified,False,True,122.26199999999999,,,"LINESTRING (139.0146574 36.4469405, 139.0146186 36.4476949, 139.0146137 36.4477905, 139.0145859 36.4480383)",
192161464,,,,residential,False,True,71.288,,,"LINESTRING (139.0138748 36.4468192, 139.0146574 36.4469405)",
192161464,,,,residential,False,False,115.591,,,"LINESTRING (139.0138748 36.4468192, 139.0131828 36.4467054, 139.013012 36.4466562, 139.0126577 36.4464991)",
192161576,,,,unclassified,False,True,158.35,,,"LINESTRING (139.0138748 36.4468192, 139.0138022 36.4464584, 139.0136461 36.4457392, 139.0135758 36.4454156)",
460910347,,,,residential,False,False,32.754,,,"LINESTRING (139.0115381 36.4457394, 139.0114642 36.4454509)",
43325362,,,,residential,False,False,142.725,,,"LINESTRING (139.0115381 36.4457394, 139.0108261 36.4458165, 139.0107993 36.4457077, 139.0112099 36.4455714, 139.0114642 36.4454509)",
460910347,,,,residential,False,True,43.422,,,"LINESTRING (139.0115381 36.4457394, 139.011477 36.4461268)",
43325362,,,,residential,False,False,72.467,,,"LINESTRING (139.0114642 36.4454509, 139.0122743 36.4454434)",
460910347,,,,residential,False,True,32.754,,,"LINESTRING (139.0114642 36.4454509, 139.0115381 36.4457394)",
43325362,,,,residential,False,True,142.725,,,"LINESTRING (139.0114642 36.4454509, 139.0112099 36.4455714, 139.0107993 36.4457077, 139.0108261 36.4458165, 139.0115381 36.4457394)",
460910347,,,,residential,False,False,28.285,,,"LINESTRING (139.0114642 36.4454509, 139.0113836 36.4454209, 139.0111686 36.4453613)",
115824103,2,15,前橋伊香保線,primary,False,False,43.672,,,"LINESTRING (139.0095158 36.4452035, 139.009209 36.4453957, 139.0091279 36.4454419)",
115824103,2,15,前橋伊香保線,primary,False,True,257.307,,,"LINESTRING (139.0095158 36.4452035, 139.0103046 36.4446737, 139.0110045 36.4442156, 139.01181 36.4438155)",
