osmid,ref,name,highway,oneway,reversed,length,geometry,access,lanes,maxspeed,bridge,tunnel
166820449,106,飯田通り,secondary,False,False,9.288,"LINESTRING (138.5680113 35.6652813, 138.5681128 35.665268)",,,,,
166820449,106,飯田通り,secondary,False,True,59.534,"LINESTRING (138.5680113 35.6652813, 138.5673718 35.6654106)",,,,,
167461461,6,甲府韮崎線,primary,True,False,124.32900000000001,"LINESTRING (138.5680113 35.6652813, 138.5680716 35.6657512, 138.5680919 35.6659099, 138.5681405 35.6661713, 138.5681642 35.6662682, 138.568191 35.6663558, 138.5682107 35.6663843)",,,,,
129722780,,,tertiary,True,False,19.431,"LINESTRING (138.5682107 35.6663843, 138.5682231 35.6664052, 138.5682607 35.6664386, 138.5682808 35.6665118, 138.5682741 35.6665426)",no,,,,
509508991,6,甲府韮崎線,primary,False,False,72.805,"LINESTRING (138.5682107 35.6663843, 138.5681316 35.6664315, 138.5678162 35.6665494, 138.5674723 35.6666375)",,,,,
509508991,6,甲府韮崎線,primary,False,True,9.957,"LINESTRING (138.5682107 35.6663843, 138.5682498 35.6663596, 138.5682972 35.6663288)",,,,,
165482251,,,tertiary,False,False,127.946,"LINESTRING (138.5724577 35.6608225, 138.5724738 35.6608973, 138.5724889 35.6609673, 138.5725218 35.6611197, 138.5726984 35.6619564)",,2,,,
968336395,411,城東通り,trunk,False,True,102.316,"LINESTRING (138.5724577 35.6608225, 138.5723934 35.6608357, 138.572269 35.6608613, 138.571543 35.6610103, 138.5714223 35.6610435, 138.5713697 35.6610696)",,2,40,,
169659323,,,tertiary,False,True,64.71,"LINESTRING (138.56563 35.6693771, 138.5663131 35.6692019)",,,,,
169659323,,,tertiary,False,False,66.411,"LINESTRING (138.5692402 35.6683939, 138.5685333 35.6685579)",,,,,
255516617,,,tertiary,False,True,30.307,"LINESTRING (138.5692402 35.6683939, 138.5691665 35.668128)",,2,,,
166096618,31,,primary,False,False,119.478,"LINESTRING (138.5692402 35.6683939, 138.5697576 35.6682586, 138.5704939 35.6680518)",,2,,,
255646196,31,武田通り,primary,False,True,136.309,"LINESTRING (138.5692402 35.6683939, 138.5694806 35.6689865, 138.5694939 35.6690196, 138.5696147 35.6692945, 138.5697103 35.6695585)",,,,,
166099475,31,舞鶴通り,primary,False,True,118.081,"LINESTRING (138.5686902 35.6615244, 138.5687067 35.6615942, 138.5687876 35.6619355, 138.5689293 35.6625684)",,,,,
638653295,411,城東通り,trunk,False,True,102.74600000000001,"LINESTRING (138.5686902 35.6615244, 138.5680522 35.6616073, 138.5675672 35.6616704)",,2,40,,
968336395,411,城東通り,trunk,False,False,129.57999999999998,"LINESTRING (138.5686902 35.6615244, 138.5691773 35.6614625, 138.5694134 35.6614177, 138.5700114 35.6613159, 138.5700385 35.6613111, 138.5700976 35.6613022)",,2,40,,
165481462,,甲斐奈通り,tertiary,False,False,128.434,"LINESTRING (138.5746936 35.6615805, 138.5760863 35.6613487)",,2,,,
795471446,,,tertiary,False,False,129.69,"LINESTRING (138.5746936 35.6615805, 138.5749572 35.662727)",,2,,,
165481462,,甲斐奈通り,tertiary,False,True,185.827,"LINESTRING (138.5746936 35.6615805, 138.5739498 35.6617117, 138.5735195 35.6617876, 138.5727488 35.6619195, 138.5726984 35.6619564)",,2,,,
689261118,,,unclassified,False,False,128.167,"LINESTRING (138.5749572 35.662727, 138.5763471 35.662496)",,,,,
795471446,,,tertiary,False,True,129.69,"LINESTRING (138.5749572 35.662727, 138.5746936 35.6615805)",,2,,,
