osmid,lanes,ref,name,highway,width,oneway,reversed,length,geometry,bridge
156278148,2,385,国道385号,trunk,5,False,False,114.374,"LINESTRING (130.4192429 33.4958582, 130.4196563 33.4968273)",
174582980,,,,unclassified,,False,True,165.95,"LINESTRING (130.4192429 33.4958582, 130.4191382 33.4958856, 130.4188773 33.4958662, 130.4185144 33.4958745, 130.4181441 33.4959235, 130.4179563 33.4959702, 130.4176605 33.496065, 130.4175348 33.4960679, 130.4174957 33.4960566)",
156278148,2,385,国道385号,trunk,5,False,True,114.374,"LINESTRING (130.4196563 33.4968273, 130.4192429 33.4958582)",
"[154727552, 154727553, 154727554]",,,,unclassified,,False,True,586.0669999999999,"LINESTRING (130.4196563 33.4968273, 130.4197501 33.4968141, 130.4199172 33.4968176, 130.4200995 33.4968378, 130.4202567 33.4968728, 130.420357 33.4968982, 130.4204724 33.4969518, 130.4206145 33.4970637, 130.4207567 33.4972135, 130.4208897 33.4973201, 130.4210024 33.497347, 130.4211027 33.4973254, 130.4214326 33.4969943, 130.4215335 33.4968996, 130.4216981 33.4967729, 130.4219277 33.4965596, 130.4220227 33.496547, 130.4220618 33.4965466, 130.4221101 33.4965462, 130.4222657 33.4966021, 130.4224534 33.4966849, 130.4226235 33.4967572, 130.4229507 33.4968959, 130.4232243 33.4970301, 130.4232957 33.4970696, 130.4233574 33.4971412, 130.4234523 33.4972695, 130.4236293 33.4974663, 130.4237436 33.4975393, 130.4238965 33.4975773, 130.4241003 33.4975908, 130.4244007 33.4976064, 130.4248901 33.4976485)",yes
156278148,2,385,国道385号,trunk,5,False,False,118.9,"LINESTRING (130.4196563 33.4968273, 130.4198568 33.4973382, 130.4200557 33.4978434)",
156278148,2,385,国道385号,trunk,5,False,True,11.658,"LINESTRING (130.4200827 33.4979458, 130.4200557 33.4978434)",
729079605,2,385,国道385号,trunk,5,True,False,63.45099999999999,"LINESTRING (130.4200827 33.4979458, 130.4201006 33.4981558, 130.4201209 33.4985155)",
61278974,,,,tertiary,,False,False,10.97,"LINESTRING (130.4200624 33.4993929, 130.4201801 33.4994029)",
729079605,2,385,国道385号,trunk,5,True,False,31.372,"LINESTRING (130.4200624 33.4993929, 130.4199743 33.4996653)",
742036805,,,,unclassified,,False,False,25.677,"LINESTRING (130.4200624 33.4993929, 130.4197903 33.49935)",
154715310,,,,unclassified,,False,False,245.32699999999997,"LINESTRING (130.4243243 33.4985836, 130.424374 33.4987404, 130.4243798 33.4988702, 130.4243311 33.4990043, 130.4242721 33.4991452, 130.4242721 33.4992593, 130.4242989 33.4994002, 130.4243557 33.499501, 130.424463 33.4995547, 130.4247258 33.4996665, 130.4250986 33.4997962, 130.4252784 33.4998656, 130.4254795 33.499955, 130.4256378 33.5000199, 130.4257076 33.5000534)",
156278227,,,,tertiary,,False,False,94.11,"LINESTRING (130.4243243 33.4985836, 130.4245824 33.4984177, 130.4248333 33.4982434, 130.4251108 33.4980489)",
"[61278974, 156278227, 156278190]",,,,tertiary,,False,True,96.729,"LINESTRING (130.4243243 33.4985836, 130.4241509 33.4986687, 130.423956 33.4987265, 130.4235062 33.4988235, 130.4233379 33.4988464)",yes
156278227,,,,tertiary,,False,False,5.944,"LINESTRING (130.4251108 33.4980489, 130.4251616 33.4980163)",
154714815,,,,unclassified,,False,True,94.175,"LINESTRING (130.4251108 33.4980489, 130.4251331 33.4981745, 130.4251438 33.4983177, 130.4251711 33.4985057, 130.4252297 33.4986822, 130.4252944 33.4988613, 130.4253007 33.4988774)",
156278227,,,,tertiary,,False,True,94.11,"LINESTRING (130.4251108 33.4980489, 130.4248333 33.4982434, 130.4245824 33.4984177, 130.4243243 33.4985836)",
156278227,,,,tertiary,,False,True,5.944,"LINESTRING (130.4251616 33.4980163, 130.4251108 33.4980489)",
154727428,,,,unclassified,,False,False,48.951,"LINESTRING (130.4251616 33.4980163, 130.4250769 33.4978543, 130.4249999 33.4977257, 130.4248901 33.4976485)",
156278227,,,,tertiary,,False,False,178.034,"LINESTRING (130.4251616 33.4980163, 130.4253209 33.497932, 130.4254443 33.4978963, 130.4255881 33.4978869, 130.4257524 33.4979048, 130.4259707 33.4979941, 130.4268612 33.4984543)",
72875286,,,,unclassified,,False,True,117.53,"LINESTRING (130.4268612 33.4984543, 130.4265185 33.4989576, 130.4262072 33.4993592)",
156278227,,,,tertiary,,False,True,178.034,"LINESTRING (130.4268612 33.4984543, 130.4259707 33.4979941, 130.4257524 33.4979048, 130.4255881 33.4978869, 130.4254443 33.4978963, 130.4253209 33.497932, 130.4251616 33.4980163)",
72875286,,,,unclassified,,False,False,294.879,"LINESTRING (130.4243118 33.5024347, 130.4243539 33.5023486, 130.4243841 33.5022869, 130.4245817 33.5019676, 130.4246675 33.501829, 130.4249206 33.5013565, 130.4252841 33.5007132, 130.4256461 33.5001493, 130.4257076 33.5000534)",
72875286,,,,unclassified,,False,True,66.09,"LINESTRING (130.4243118 33.5024347, 130.4238817 33.5025453, 130.4236687 33.5026735)",
154714740,,,,unclassified,,False,True,43.085,"LINESTRING (130.4243118 33.5024347, 130.4242403 33.5025808, 130.4241355 33.5027932)",
72875286,,,,unclassified,,False,False,21.651,"LINESTRING (130.4257076 33.5000534, 130.4258434 33.499895)",
