osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,bridge
1087853799,residential,False,False,18.797,,,,"LINESTRING (135.7057775 34.5940207, 135.7056221 34.5939102)",
648625730,trunk,False,False,131.26,2,25,国道25号,"LINESTRING (135.7057775 34.5940207, 135.7055863 34.5941646, 135.7054489 34.5942687, 135.7053097 34.5943539, 135.705214 34.5944136, 135.7051011 34.5944692, 135.7049721 34.5945248, 135.7048214 34.594592, 135.7046038 34.5946866)",
648625730,trunk,False,True,111.154,2,25,国道25号,"LINESTRING (135.7057775 34.5940207, 135.7062705 34.5936401, 135.7064616 34.5934924, 135.7066557 34.5933305)",
94303639,primary,False,True,60.651,4,36,天理王寺線,"LINESTRING (135.7066557 34.5933305, 135.707101 34.5929266)",
"[176644433, 130682074, 130682076]",trunk,False,True,100.215,2,25;168,国道25号,"LINESTRING (135.7066557 34.5933305, 135.706756 34.5937527, 135.7068463 34.5941585, 135.7068587 34.5942161)",yes
648625730,trunk,False,False,111.154,2,25,国道25号,"LINESTRING (135.7066557 34.5933305, 135.7064616 34.5934924, 135.7062705 34.5936401, 135.7057775 34.5940207)",
728960554,trunk,False,True,129.26,2,168,王寺道路,"LINESTRING (135.7066557 34.5933305, 135.70653 34.592506, 135.7065022 34.5921753)",
130682076,trunk,False,False,88.288,2,25;168,国道25号,"LINESTRING (135.7070477 34.5949947, 135.7068587 34.5942161)",
130682076,trunk,False,True,36.829,2,25;168,国道25号,"LINESTRING (135.7070477 34.5949947, 135.7071478 34.5953155)",
316168323,tertiary,False,True,86.277,2,,,"LINESTRING (135.7070477 34.5949947, 135.7061111 34.5950819)",
89038650,tertiary,False,True,22.067,2,,,"LINESTRING (135.7049602 34.5952685, 135.7047434 34.5953553)",
89038650,tertiary,False,False,107.86699999999999,2,,,"LINESTRING (135.7049602 34.5952685, 135.7051902 34.5951967, 135.7057173 34.5951127, 135.7061111 34.5950819)",
89038650,tertiary,False,False,69.99,2,,,"LINESTRING (135.7040524 34.5956248, 135.7047434 34.5953553)",
89038650,tertiary,False,True,171.362,2,,,"LINESTRING (135.7040524 34.5956248, 135.7035033 34.5958047, 135.7029894 34.5959056, 135.7025279 34.5958835, 135.7022461 34.5958253)",
102147565,unclassified,False,False,64.868,,,,"LINESTRING (135.7040524 34.5956248, 135.7041119 34.5961526, 135.7041444 34.5961987)",
102149012,residential,False,False,95.1,,,,"LINESTRING (135.7007459 34.5952163, 135.7007833 34.596071)",
89038650,tertiary,False,False,153.251,2,,,"LINESTRING (135.7007459 34.5952163, 135.7008768 34.5952727, 135.7016093 34.5955993, 135.7022461 34.5958253)",
102149002,tertiary,False,False,95.53200000000001,2,,,"LINESTRING (135.701068 34.594632, 135.7013034 34.5942225, 135.7013572 34.5941234, 135.7013832 34.5940527, 135.7013981 34.593992, 135.7014006 34.5939182, 135.7013977 34.5938303)",
