osmid,highway,oneway,reversed,length,geometry,bridge,name,ref,lanes
119888155,tertiary,False,False,7.12,"LINESTRING (131.473083 34.1771175, 131.4730401 34.1771708)",,,,
119879116,tertiary,False,True,105.072,"LINESTRING (131.473083 34.1771175, 131.4735232 34.176599, 131.4737203 34.1763338)",,,,
119885250,unclassified,False,True,120.327,"LINESTRING (131.473083 34.1771175, 131.4727423 34.1768438, 131.472158 34.1763525)",,,,
119878636,unclassified,False,True,63.167,"LINESTRING (131.4791248 34.1749822, 131.4785873 34.1746287)",,,,
119878626,unclassified,False,True,109.089,"LINESTRING (131.4775277 34.179637, 131.4772981 34.1786745)",,,,
"[310175727, 119878558, 119878751]",unclassified,False,False,23.146,"LINESTRING (131.4775277 34.179637, 131.4775555 34.1796305, 131.477685 34.1796093, 131.4777727 34.1795901)",yes,御茶屋橋,,
119879166,unclassified,False,False,123.791,"LINESTRING (131.4775277 34.179637, 131.4775869 34.1798095, 131.477613 34.1799855, 131.477604 34.1801267, 131.477636 34.1802469, 131.4776833 34.1803902, 131.477817 34.1806639, 131.47783 34.1807111)",,,,
119878619,secondary,False,False,73.261,"LINESTRING (131.4788227 34.179732, 131.4782107 34.1793104)",,宮野大歳線,204,
119878867,unclassified,False,False,64.55,"LINESTRING (131.4788227 34.179732, 131.4784575 34.1802277)",,,,
"[325171648, 119878600]","['unclassified', 'tertiary']",False,True,188.768,"LINESTRING (131.4747533 34.1780792, 131.4746199 34.1779755, 131.4739587 34.1776434, 131.4738836 34.1776457, 131.4735271 34.177445, 131.4730401 34.1771708)",,,,
517552887,tertiary,False,False,86.586,"LINESTRING (131.4747533 34.1780792, 131.4748198 34.1781232, 131.4748868 34.1782264, 131.4749674 34.1786724, 131.4750584 34.1787906)",,,,
"[119878528, 119878826, 119879186, 119878678, 119879160]",tertiary,False,False,261.76099999999997,"LINESTRING (131.4760875 34.1740638, 131.4756959 34.1744188, 131.4754344 34.1746285, 131.4751702 34.1748116, 131.4749811 34.1749714, 131.4748564 34.1751389, 131.4745801 34.175555, 131.474505 34.1756282, 131.4744366 34.1756626, 131.474387 34.1756848, 131.4743722 34.1756915, 131.4742421 34.1757514, 131.4741979 34.1757791)",yes,,,
367075084,residential,False,True,60.889,"LINESTRING (131.4760875 34.1740638, 131.4763643 34.1742674, 131.4764085 34.1743639, 131.476489 34.1744471, 131.476495 34.1744781)",,,,
119878501,unclassified,False,True,73.714,"LINESTRING (131.4780542 34.1808003, 131.4781241 34.1806881, 131.4784575 34.1802277)",,,,
"[119878752, 325171626, 119878637]",unclassified,False,True,20.575999999999997,"LINESTRING (131.4780542 34.1808003, 131.4780241 34.1807937, 131.4778742 34.1807637, 131.4778365 34.180758)",yes,亀山橋,,
119878919,unclassified,False,False,155.04000000000002,"LINESTRING (131.4787869 34.1766567, 131.4781871 34.1762892, 131.4780191 34.1761816, 131.4774447 34.1758136)",,,,
"[119879270, 119878607]",unclassified,False,False,207.636,"LINESTRING (131.4787869 34.1766567, 131.4783112 34.177069, 131.4779044 34.1774076, 131.4772069 34.1779901)",,,,
"[119879040, 119878921, 724576552]",unclassified,False,"[False, True]",18.53,"LINESTRING (131.4778065 34.1818093, 131.4777793 34.1818016, 131.4776453 34.1817608, 131.4776168 34.1817533)",yes,鴻東橋,,
119879082,unclassified,True,False,114.559,"LINESTRING (131.4778065 34.1818093, 131.477908 34.1814732, 131.4779459 34.1813048, 131.4779469 34.1813002, 131.4780136 34.180958, 131.4780542 34.1808003)",,,,
119878619,secondary,False,False,70.369,"LINESTRING (131.4782107 34.1793104, 131.4776226 34.1789057)",,宮野大歳線,204,
119878619,secondary,False,True,73.261,"LINESTRING (131.4782107 34.1793104, 131.4788227 34.179732)",,宮野大歳線,204,
119878958,unclassified,False,True,50.899,"LINESTRING (131.4782107 34.1793104, 131.4777727 34.1795901)",,,,
119879070,unclassified,False,True,50.32,"LINESTRING (131.4782107 34.1793104, 131.4786703 34.179065)",,,,
119879071,tertiary,False,False,129.714,"LINESTRING (131.4709493 34.1801931, 131.4705791 34.1810116, 131.4704665 34.181289)",,,,
119887610,tertiary,False,True,215.627,"LINESTRING (131.4709493 34.1801931, 131.471019 34.1801098, 131.471066 34.1800244, 131.4712162 34.1796888, 131.4713382 34.1794109, 131.4714958 34.1791823, 131.4720114 34.1784734)",,,,
119887892,unclassified,False,True,181.147,"LINESTRING (131.4709493 34.1801931, 131.4708782 34.1801209, 131.4707244 34.1799706, 131.469949 34.1794952, 131.4697875 34.179381, 131.4696289 34.1792474, 131.4694635 34.1791342)",,,,
"[119879024, 764837628, 764837629]",unclassified,False,False,155.022,"LINESTRING (131.4709493 34.1801931, 131.4711137 34.1802671, 131.4713608 34.1803687, 131.4714582 34.1804253, 131.4715622 34.1805309, 131.4717461 34.1807804, 131.471875 34.18096, 131.4720132 34.1812104)",yes,,,
119878470,unclassified,True,False,46.993,"LINESTRING (131.4759424 34.1770404, 131.4760761 34.177186, 131.4762696 34.1773645)",,,,
119878523,secondary,False,False,62.449,"LINESTRING (131.4759424 34.1770404, 131.475561 34.1773134, 131.4754363 34.1774144)",,山口秋穂線,194;205,
119878523,secondary,False,True,18.554000000000002,"LINESTRING (131.4759424 34.1770404, 131.4760733 34.1769555, 131.4761006 34.1769369)",,山口秋穂線,194;205,
119878523,secondary,False,True,13.756,"LINESTRING (131.4774447 34.1758136, 131.4775399 34.1757182)",,山口秋穂線,194;205,
119878523,secondary,False,False,176.772,"LINESTRING (131.4774447 34.1758136, 131.4768698 34.176415, 131.4761006 34.1769369)",,山口秋穂線,194;205,
119878919,unclassified,False,True,155.04000000000002,"LINESTRING (131.4774447 34.1758136, 131.4780191 34.1761816, 131.4781871 34.1762892, 131.4787869 34.1766567)",,,,
119878867,unclassified,False,True,64.55,"LINESTRING (131.4784575 34.1802277, 131.4788227 34.179732)",,,,
119878501,unclassified,False,False,73.714,"LINESTRING (131.4784575 34.1802277, 131.4781241 34.1806881, 131.4780542 34.1808003)",,,,
119878525,unclassified,False,True,95.276,"LINESTRING (131.4784575 34.1802277, 131.4781881 34.1800353, 131.4777727 34.1795901)",,,,
119879060,unclassified,False,False,115.819,"LINESTRING (131.4784804 34.1779556, 131.4775153 34.1786245)",,,,
119878686,unclassified,False,False,88.605,"LINESTRING (131.4729051 34.1819232, 131.4736504 34.182428)",,,,
119878843,residential,False,False,79.339,"LINESTRING (131.4729051 34.1819232, 131.4729582 34.1818665, 131.472977 34.1818348, 131.472981 34.181796, 131.4729203 34.1817016, 131.4727087 34.1814687, 131.472584 34.1813345)",,,,
119879024,unclassified,False,True,115.063,"LINESTRING (131.4729051 34.1819232, 131.4725137 34.1816626, 131.4721318 34.1813766, 131.4720132 34.1812104)",,,,
119878495,tertiary,False,True,75.812,"LINESTRING (131.4737203 34.1763338, 131.4738022 34.1762173, 131.4741284 34.1758522, 131.4741979 34.1757791)",,,,
119879037,secondary,False,False,199.207,"LINESTRING (131.4737203 34.1763338, 131.4732209 34.1760302, 131.4730015 34.1758638, 131.4722513 34.1750386)",,宮野大歳線,204,
119879116,tertiary,False,False,105.072,"LINESTRING (131.4737203 34.1763338, 131.4735232 34.176599, 131.473083 34.1771175)",,,,
1036697523,secondary,False,True,198.39499999999998,"LINESTRING (131.4737203 34.1763338, 131.4746574 34.1769343, 131.4754363 34.1774144)",,宮野大歳線,204,
119879071,tertiary,False,True,55.725,"LINESTRING (131.4702667 34.1817621, 131.4704665 34.181289)",,,,
1036697511,tertiary,False,False,12.514,"LINESTRING (131.4702667 34.1817621, 131.470221 34.1818681)",,,,
119878783,unclassified,True,False,70.518,"LINESTRING (131.4770386 34.1780824, 131.4771538 34.1782496, 131.4772081 34.1783789, 131.4772443 34.1784943, 131.4772981 34.1786745)",,,,
"[119878816, 119878965]",unclassified,False,True,18.604,"LINESTRING (131.4770386 34.1780824, 131.4771757 34.178003, 131.4772069 34.1779901)",yes,,,
119878807,unclassified,True,False,1.85,"LINESTRING (131.4776238 34.1817377, 131.4776168 34.1817533)",,,,
