osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry,access,bridge,width
886386615,True,305,明治通り,primary,50,False,22.311,,"LINESTRING (139.7044482 35.6903262, 139.7045708 35.6905004)",,,
39436597,True,,,unclassified,,False,52.105,1,"LINESTRING (139.7044482 35.6903262, 139.7043978 35.6904056, 139.7043353 35.6904384, 139.7039534 35.6905122)",,,
39436535,False,,,residential,,True,55.099999999999994,,"LINESTRING (139.7060519 35.6929078, 139.7059828 35.6929301, 139.7054725 35.6930627)",,,
1120796134,True,305,明治通り,primary,50,False,115.37400000000002,,"LINESTRING (139.7060519 35.6929078, 139.7063814 35.6934701, 139.7064614 35.6936066, 139.7065491 35.6936684, 139.7066349 35.6936754, 139.7067565 35.6936861)",,,
688819559,True,305,明治通り,primary,50,False,10.762,,"LINESTRING (139.7074388 35.6979039, 139.7074549 35.6979998)",,,
39655490,True,302,職安通り,primary,40,False,38.715,2,"LINESTRING (139.7074388 35.6979039, 139.707268 35.6979247, 139.7070166 35.697964)",,,
27085402,False,,小滝橋通り,tertiary,40,True,56.55800000000001,2,"LINESTRING (139.6990983 35.6936998, 139.6990536 35.6938396, 139.6990398 35.6938773, 139.6989254 35.6941886)",,,
"[251308530, 1225191486]",False,414,小滝橋通り,secondary,,True,14.530999999999999,,"LINESTRING (139.6990983 35.6936998, 139.6991163 35.6936358, 139.6991341 35.6935724)",,,
"[1225134825, 886233770, 856432646]",True,,,secondary_link,,False,118.16000000000001,2,"LINESTRING (139.6990983 35.6936998, 139.6993679 35.6936643, 139.7002505 35.6936048, 139.7003064 35.6936021, 139.700348 35.6935833, 139.7003664 35.693549)",,,
"[952392261, 952548695]",True,4;5;302,靖国通り,primary,,False,34.842,2,"LINESTRING (139.6990983 35.6936998, 139.6993609 35.6937179, 139.6994827 35.6937266)",,,
393957070,False,,区役所通り,tertiary,,True,14.226,2,"LINESTRING (139.7034817 35.6931411, 139.7034274 35.693021)",,,
18570688,True,4;5;302;430,靖国通り,primary,,False,105.471,4,"LINESTRING (139.7034817 35.6931411, 139.7037312 35.6930716, 139.7044727 35.6928687, 139.704588 35.6928371)",,,
