osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,tunnel,est_width
344262385,2,435,国道435号,trunk,False,False,31.396,"LINESTRING (131.2042224 34.1669658, 131.2045564 34.1670237)",,,
344262385,2,435,国道435号,trunk,False,True,33.927,"LINESTRING (131.2042224 34.1669658, 131.2038682 34.1668809)",,,
525590178,,,,unclassified,False,True,103.357,"LINESTRING (131.2042224 34.1669658, 131.2041331 34.1672388, 131.2045032 34.1678084)",,,
264742100,2,435,国道435号,trunk,False,True,9.427,"LINESTRING (131.2011236 34.1659303, 131.2011973 34.1659892)",,,
465410300,1,,,trunk_link,True,False,32.606,"LINESTRING (131.2011236 34.1659303, 131.2011288 34.1660052, 131.2011026 34.1660699, 131.2010662 34.1661162, 131.2009722 34.1661703)",,,
"[120481629, 120481645, 120483102]",2,316,国道316号,trunk,False,False,188.233,"LINESTRING (131.2101342 34.1647662, 131.2100875 34.164917, 131.2100137 34.1650676, 131.2098841 34.165293, 131.209717 34.165502, 131.2095567 34.1657463, 131.2094593 34.1658984, 131.2093737 34.1660548, 131.2093366 34.1661458, 131.2093079 34.1662225, 131.2092874 34.1662969)",yes,,
120481645,2,316,国道316号,trunk,False,True,40.097,"LINESTRING (131.2101342 34.1647662, 131.2101786 34.1646157, 131.2101948 34.1645237, 131.2102078 34.1644115)",,,
465545071,,,,tertiary,False,True,143.296,"LINESTRING (131.2101342 34.1647662, 131.2092834 34.1647005, 131.2088329 34.1646633, 131.2085831 34.1646512)",,,
543818926,,,,unclassified,False,True,55.976,"LINESTRING (131.2105492 34.1707275, 131.2105456 34.1705788, 131.210504 34.1704734, 131.2103527 34.1702642)",,,
120482167,,,,unclassified,False,False,99.708,"LINESTRING (131.2027416 34.1628282, 131.2025861 34.1627891, 131.2024225 34.1627781, 131.2021919 34.1628213, 131.2018418 34.162848, 131.2016728 34.1628462)",,,
120483871,,,,unclassified,False,True,174.518,"LINESTRING (131.2027416 34.1628282, 131.2027994 34.1631332, 131.2027882 34.1633624, 131.2015795 34.1631105)",,,
120484565,,,,unclassified,False,True,235.506,"LINESTRING (131.2027416 34.1628282, 131.203018 34.1628535, 131.2032946 34.1628538, 131.2034203 34.1628568, 131.2035398 34.1628884, 131.2036822 34.1629406, 131.2038365 34.1630318, 131.2039313 34.1630888, 131.2040251 34.1631087, 131.204121 34.163113, 131.204256 34.1630901, 131.2044425 34.1630855, 131.2046836 34.1630857, 131.2048137 34.1631041, 131.2048902 34.1631542, 131.2050618 34.1632985, 131.2051119 34.1633237)",,,
120483932,,,,tertiary,False,False,105.49099999999999,"LINESTRING (131.2071007 34.1661489, 131.2070693 34.1664692, 131.2070081 34.1670945)",,,
"[465545073, 120484042, 465545074]",,,,tertiary,False,False,122.727,"LINESTRING (131.2071007 34.1661489, 131.2071432 34.165732, 131.207149 34.1655537, 131.2071405 34.1654357, 131.2071166 34.1653125, 131.2070167 34.1650618)",yes,,
120485589,,,,tertiary,False,True,201.867,"LINESTRING (131.2071007 34.1661489, 131.2087756 34.1662547, 131.2092874 34.1662969)",,,
"[543814780, 120484453]",,,,"['residential', 'unclassified']",False,False,234.798,"LINESTRING (131.2030993 34.1684454, 131.2033251 34.1685982, 131.2034001 34.1686949, 131.2035194 34.168796, 131.2038002 34.1690113, 131.2039923 34.1691729, 131.2040135 34.1692062, 131.2040153 34.1692419, 131.204068 34.1698135, 131.2040698 34.1702375)",,,
120483157,,,,unclassified,True,False,92.431,"LINESTRING (131.203095 34.1677936, 131.2028049 34.1676281, 131.2025559 34.1674755, 131.2022807 34.1673069)",,,
"[543814969, 120483753, 543814967]",,,,"['residential', 'unclassified']",False,"[False, True]",162.202,"LINESTRING (131.203095 34.1677936, 131.2029744 34.167971, 131.2030843 34.1680649, 131.2030449 34.1681276, 131.2028808 34.1683357, 131.2028356 34.1683957, 131.2028121 34.1684101, 131.2027692 34.1684267, 131.2026909 34.1684409, 131.2025043 34.1684095, 131.2024767 34.1684257, 131.2021945 34.1686803, 131.202142 34.1687401)",,yes,
120483557,,,,tertiary,False,True,4.665,"LINESTRING (131.2049463 34.1683392, 131.204942 34.168381)",,,5.5m〜13.0m
120482322,,,,tertiary,False,False,64.203,"LINESTRING (131.2049463 34.1683392, 131.2049631 34.1681746, 131.2049575 34.1680924, 131.2049378 34.1679865, 131.2048516 34.1677755)",,,5.5m〜13.0m
120482391,,,,unclassified,True,False,129.959,"LINESTRING (131.2049463 34.1683392, 131.2036481 34.1680379, 131.2035841 34.1680331)",,,
120482322,,,,tertiary,False,False,87.898,"LINESTRING (131.2048516 34.1677755, 131.2045564 34.1670237)",,,5.5m〜13.0m
543815843,,,,unclassified,False,False,32.262,"LINESTRING (131.2048516 34.1677755, 131.2045032 34.1678084)",,,
120482322,,,,tertiary,False,True,64.203,"LINESTRING (131.2048516 34.1677755, 131.2049378 34.1679865, 131.2049575 34.1680924, 131.2049631 34.1681746, 131.2049463 34.1683392)",,,5.5m〜13.0m
120482255,,,,unclassified,True,False,52.746,"LINESTRING (131.2035841 34.1680331, 131.2035245 34.1680258, 131.203095 34.1677936)",,,
