osmid,highway,oneway,reversed,length,ref,name,geometry,junction,lanes
107073400,tertiary,False,True,49.952,,,"LINESTRING (140.8732392 38.0407904, 140.8732972 38.0403435)",,
107073516,primary,False,False,8.418,10,塩釜亘理線,"LINESTRING (140.8732392 38.0407904, 140.8733326 38.0408083)",,
107073516,primary,False,True,267.194,10,塩釜亘理線,"LINESTRING (140.8732392 38.0407904, 140.8702583 38.0402781)",,
107072397,tertiary,False,True,308.604,,,"LINESTRING (140.8644211 38.0465958, 140.8647145 38.0438301)",,
107074307,tertiary,False,True,180.106,,,"LINESTRING (140.8644211 38.0465958, 140.8664731 38.0467061)",,
107073575,residential,False,False,44.307,,,"LINESTRING (140.8729613 38.0415808, 140.8724574 38.041545)",,
710474345,residential,False,False,91.847,,,"LINESTRING (140.8729613 38.0415808, 140.8733326 38.0408083)",,
"[710474344, 710474345]",residential,False,True,70.897,,,"LINESTRING (140.8729613 38.0415808, 140.8728304 38.041879, 140.8724224 38.041857)",,
107069208,residential,False,False,25.385,,,"LINESTRING (140.8669083 38.0425892, 140.86662 38.0425654)",,
107069449,tertiary,False,False,156.401,,,"LINESTRING (140.8669083 38.0425892, 140.8670386 38.0411864)",,
107070565,tertiary,False,True,108.069,,,"LINESTRING (140.8669083 38.0425892, 140.8668039 38.0435576)",,
107073200,tertiary,False,True,45.532,,,"LINESTRING (140.8669083 38.0425892, 140.8674264 38.0426236)",,
"[107071364, 107073558]",tertiary,False,False,346.141,,,"LINESTRING (140.8704143 38.0469401, 140.8698858 38.0469129, 140.8693296 38.0468954, 140.8664731 38.0467061)",,
107068558,tertiary,False,True,165.594,,,"LINESTRING (140.8664731 38.0467061, 140.866622 38.0452215)",,
107074307,tertiary,False,False,180.106,,,"LINESTRING (140.8664731 38.0467061, 140.8644211 38.0465958)",,
"[107071364, 107073558]",tertiary,False,True,346.141,,,"LINESTRING (140.8664731 38.0467061, 140.8693296 38.0468954, 140.8698858 38.0469129, 140.8704143 38.0469401)",,
107073194,tertiary,False,False,72.798,,,"LINESTRING (140.8671218 38.040535, 140.8670386 38.0411864)",,
107073194,tertiary,False,True,9.206,,,"LINESTRING (140.8671218 38.040535, 140.8671453 38.0404543)",,
107069212,tertiary,False,False,180.82799999999997,,,"LINESTRING (140.8671218 38.040535, 140.8660297 38.0404741, 140.8650637 38.0404047)",,
107068558,tertiary,False,False,139.751,,,"LINESTRING (140.8667644 38.0439697, 140.866622 38.0452215)",,
107070565,tertiary,False,False,45.954,,,"LINESTRING (140.8667644 38.0439697, 140.8668039 38.0435576)",,
