osmid,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,name,bridge
124214841,unclassified,False,True,7.147,"LINESTRING (139.9106903 39.1995997, 139.9107666 39.1996249)",,,,,
124214841,unclassified,False,False,26.98,"LINESTRING (139.9106903 39.1995997, 139.9104717 39.1995345, 139.9104446 39.1994771)",,,,,
461640723,residential,False,False,82.85,"LINESTRING (139.9106903 39.1995997, 139.9107737 39.1995138, 139.9112736 39.1992705, 139.9114161 39.1991282)",,,,,
124213665,unclassified,False,False,34.615,"LINESTRING (139.9117756 39.2001158, 139.9114867 39.1998995)",,,,,
461640726,residential,False,True,20.715,"LINESTRING (139.9117756 39.2001158, 139.9119422 39.1999815)",,,,,
124213665,unclassified,False,True,59.471999999999994,"LINESTRING (139.9117756 39.2001158, 139.9118996 39.2002223, 139.9120061 39.2006049)",,,,,
124216671,unclassified,False,True,3.474,"LINESTRING (139.9067239 39.1991734, 139.906762 39.1991836)",30,,,,
"[587289059, 587289062]",unclassified,False,False,42.503,"LINESTRING (139.9067239 39.1991734, 139.9065954 39.1991254, 139.9065408 39.1991075, 139.9063772 39.1990368, 139.9062855 39.1989988)",30,,,,
124219341,trunk,False,True,41.616,"LINESTRING (139.9044162 39.2011219, 139.9047321 39.2008388)",50,2,7,国道7号,
"[124219341, 587289055]",trunk,False,False,88.113,"LINESTRING (139.9044162 39.2011219, 139.9040191 39.2014735, 139.9037361 39.2017136)",50,"['2', '3']",7,国道7号,
921154202,residential,False,True,68.095,"LINESTRING (139.9044162 39.2011219, 139.9042827 39.2010602, 139.9041491 39.2009984, 139.9040709 39.2009598, 139.9040211 39.2009567, 139.9039307 39.2009669, 139.9038799 39.2009598, 139.9036952 39.2009149)",,,,,
124213726,residential,False,False,114.609,"LINESTRING (139.9077188 39.2070403, 139.9065336 39.2065724)",,,,,
124216554,residential,False,False,44.209,"LINESTRING (139.9077188 39.2070403, 139.907961 39.2066898)",,,,,
124213992,tertiary,False,False,17.194,"LINESTRING (139.9115902 39.2026878, 139.911527 39.2027698, 139.9114882 39.2028207)",,,,,
"[124217324, 587289047]",primary,False,False,138.113,"LINESTRING (139.9115902 39.2026878, 139.9113986 39.202568, 139.9112311 39.2024621, 139.9110201 39.2023541, 139.9107936 39.2022688, 139.9106958 39.2022432, 139.910665 39.2022352, 139.9105776 39.2022124, 139.9103576 39.202165, 139.9101794 39.2021483)",50,"['2', '3']",58,象潟矢島線,
"[374681080, 587289068]",primary,False,False,553.004,"LINESTRING (139.9115902 39.2026878, 139.9117202 39.2025662, 139.9120693 39.2022723, 139.9123483 39.2020416, 139.9129974 39.2015428, 139.9131632 39.2013856, 139.9132883 39.2012323, 139.91333 39.2011811, 139.9134743 39.2009823, 139.9135831 39.2007615, 139.9136621 39.2005458, 139.9137011 39.2003291, 139.9137318 39.2000761, 139.9137108 39.1997553, 139.9135821 39.1993811, 139.9134368 39.1991366, 139.9132388 39.1988449, 139.9128698 39.1984624)",50,"['2', '3']",58,象潟矢島線,
124214227,residential,False,False,41.93300000000001,"LINESTRING (139.9104446 39.1994771, 139.9104421 39.1993891, 139.9103888 39.19935, 139.910327 39.1992735, 139.9102546 39.1991431)",,,,,
124214841,unclassified,False,True,26.98,"LINESTRING (139.9104446 39.1994771, 139.9104717 39.1995345, 139.9106903 39.1995997)",,,,,
124216641,tertiary,False,True,63.088,"LINESTRING (139.9104446 39.1994771, 139.9104635 39.1994567, 139.9108783 39.19902)",30,2,,,
124216671,unclassified,False,False,89.852,"LINESTRING (139.9104446 39.1994771, 139.9103013 39.1995336, 139.9101678 39.1995363, 139.9094202 39.1995097)",30,,,,
124218180,unclassified,False,True,91.64299999999999,"LINESTRING (139.9104446 39.1994771, 139.9102099 39.1996268, 139.9100353 39.1997441, 139.9098065 39.1998706, 139.909585 39.199956)",30,1,,,
124214841,unclassified,False,False,7.147,"LINESTRING (139.9107666 39.1996249, 139.9106903 39.1995997)",,,,,
