osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,bridge,ref,width
1153024882,unclassified,False,True,9.855,"LINESTRING (134.4477933 35.6192603, 134.4478885 35.6193035)",,,,,,
133587773,unclassified,False,False,292.75,"LINESTRING (134.4477933 35.6192603, 134.4476793 35.6196417, 134.447605 35.6200079, 134.447647 35.6201443, 134.4476877 35.6204119, 134.4475806 35.6205507, 134.4473419 35.6210568, 134.4472535 35.6211875, 134.4470717 35.621397, 134.4470223 35.6214572, 134.4469867 35.6215212, 134.4469715 35.621576, 134.4469613 35.6216638, 134.4469626 35.6217243)",,,,,,
133588198,unclassified,False,True,42.699000000000005,"LINESTRING (134.4508448 35.6197241, 134.4508104 35.6197548, 134.450767 35.6197934, 134.4507221 35.6198361, 134.4506815 35.6198734, 134.4506364 35.6199209, 134.450548 35.6200222)",,,,,,
544019950,tertiary,False,False,190.97199999999998,"LINESTRING (134.4508448 35.6197241, 134.450955 35.6197413, 134.4520197 35.6199074, 134.4521452 35.6199287, 134.4522614 35.6199506, 134.4523655 35.6199726, 134.4524536 35.6199926, 134.4525211 35.6200106, 134.4525762 35.6200284, 134.4526251 35.6200482, 134.4526659 35.620072, 134.4527009 35.6200978, 134.452734 35.6201269, 134.4527698 35.6201684, 134.4528115 35.6202204)",2,町道浜坂中学校線,40,,,
"[560756503, 560756501, 133587759]",unclassified,False,False,219.14000000000004,"LINESTRING (134.4460509 35.6198221, 134.446122 35.619845, 134.446211 35.6199153, 134.4462541 35.6199678, 134.4463006 35.6200552, 134.4463083 35.6202031, 134.4462797 35.6204174, 134.4462397 35.6205781, 134.4459415 35.6209929, 134.44592 35.6211427, 134.4460109 35.6213185, 134.4459435 35.6214772, 134.4459761 35.6214928, 134.4460625 35.6215289, 134.4460862 35.6215401)",,,,yes,,
133588409,residential,False,True,56.934000000000005,"LINESTRING (134.4460509 35.6198221, 134.4460421 35.619733, 134.4460246 35.6195364, 134.4460085 35.6193551, 134.4460059 35.6193114)",,,,,,
1153024877,unclassified,False,True,42.094,"LINESTRING (134.4460509 35.6198221, 134.445964 35.6198, 134.4458824 35.6197853, 134.4457919 35.6197977, 134.445603 35.6198493)",,,,,,
1153024877,unclassified,False,False,42.09400000000001,"LINESTRING (134.445603 35.6198493, 134.4457919 35.6197977, 134.4458824 35.6197853, 134.445964 35.6198, 134.4460509 35.6198221)",,,,,,
1153024883,unclassified,False,False,27.993,"LINESTRING (134.448688 35.619745, 134.4484621 35.6195728)",,,,,,
133588208,unclassified,False,True,133.238,"LINESTRING (134.448688 35.619745, 134.4484765 35.6205039, 134.4484626 35.620551, 134.4484518 35.6205956, 134.4484432 35.6206353, 134.448437 35.6206875, 134.4484323 35.6207302, 134.4484287 35.6207844, 134.4484217 35.6209206)",,,,,,
133588526,unclassified,False,True,164.40699999999998,"LINESTRING (134.448688 35.619745, 134.4487633 35.6197885, 134.4488086 35.6198172, 134.4488452 35.6198422, 134.4488769 35.6198684, 134.4489044 35.6198977, 134.4489679 35.6199803, 134.4489914 35.6200075, 134.4490169 35.6200331, 134.4490425 35.6200535, 134.4490739 35.6200748, 134.4491139 35.6200996, 134.4491574 35.6201254, 134.450156 35.6205867)",,,,,,
