osmid,lanes,highway,oneway,reversed,length,geometry,ref,name,tunnel
226223882,2,unclassified,False,True,193.525,"LINESTRING (142.3626832 44.0967688, 142.3625623 44.0967661, 142.3618029 44.096709, 142.3610434 44.0966518, 142.3608619 44.0966382, 142.3602724 44.0965938)",,,
"[226224178, 1150946558]",,"['unclassified', 'tertiary']",False,True,344.436,"LINESTRING (142.3626832 44.0967688, 142.3626987 44.096683, 142.3627532 44.096259, 142.3627719 44.0961363, 142.3628086 44.0958831, 142.362826 44.0958013, 142.3628548 44.0957262, 142.363023 44.094589, 142.3631068 44.093996, 142.3631611 44.0936915)",,,
"[226223890, 291437884]",,"['secondary', 'tertiary']",False,"[False, True]",231.01599999999996,"LINESTRING (142.3626832 44.0967688, 142.3628257 44.0967443, 142.3639428 44.0965519, 142.3640045 44.0967576, 142.3641149 44.0971255, 142.3641564 44.0972638, 142.3642123 44.09745, 142.3642695 44.0976408, 142.3642793 44.0976735)",293,温根別剣渕停車場線,
291437884,,secondary,False,True,86.037,"LINESTRING (142.3626832 44.0967688, 142.3626676 44.0968741, 142.3625691 44.0975382)",293,温根別剣渕停車場線,
62263977,,tertiary,False,False,36.108,"LINESTRING (142.3648249 44.09384, 142.365274 44.0938776)",,,
62263977,,tertiary,False,True,58.522,"LINESTRING (142.3648249 44.09384, 142.3640972 44.093778)",,,
62263977,,tertiary,False,False,75.376,"LINESTRING (142.3631611 44.0936915, 142.3637679 44.09375, 142.3640972 44.093778)",,,
226223328,,tertiary,False,True,73.15,"LINESTRING (142.3631611 44.0936915, 142.3630755 44.0936846, 142.3628507 44.0936564, 142.3622527 44.093609)",,,
"[226224178, 1150946558]",,"['unclassified', 'tertiary']",False,False,344.43600000000004,"LINESTRING (142.3631611 44.0936915, 142.3631068 44.093996, 142.363023 44.094589, 142.3628548 44.0957262, 142.362826 44.0958013, 142.3628086 44.0958831, 142.3627719 44.0961363, 142.3627532 44.096259, 142.3626987 44.096683, 142.3626832 44.0967688)",,,
226223327,,tertiary,False,True,379.522,"LINESTRING (142.3559983 44.0931387, 142.3564244 44.0931682, 142.3567774 44.0931927, 142.360723 44.0935054)",,,
576806038,,secondary,False,False,429.628,"LINESTRING (142.3559983 44.0931387, 142.3559875 44.0932136, 142.3554444 44.0969819)",545,三和剣淵線,
226223324,,tertiary,False,True,122.70500000000001,"LINESTRING (142.360723 44.0935054, 142.3618669 44.0935836, 142.3622527 44.093609)",,,
226223327,,tertiary,False,False,379.522,"LINESTRING (142.360723 44.0935054, 142.3567774 44.0931927, 142.3564244 44.0931682, 142.3559983 44.0931387)",,,
226224168,,unclassified,False,True,345.30600000000004,"LINESTRING (142.360723 44.0935054, 142.3605706 44.0945821, 142.3604976 44.0950234, 142.3604172 44.095531, 142.3603354 44.0961317, 142.3602724 44.0965938)",,,
226223324,,tertiary,False,False,122.70500000000001,"LINESTRING (142.3622527 44.093609, 142.3618669 44.0935836, 142.360723 44.0935054)",,,
226223328,,tertiary,False,False,73.15,"LINESTRING (142.3622527 44.093609, 142.3628507 44.0936564, 142.3630755 44.0936846, 142.3631611 44.0936915)",,,
62263977,,tertiary,False,True,36.108,"LINESTRING (142.365274 44.0938776, 142.3648249 44.09384)",,,
226224101,,unclassified,False,False,37.753,"LINESTRING (142.365274 44.0938776, 142.3653774 44.0942089)",,,
226223882,2,unclassified,False,False,193.525,"LINESTRING (142.3602724 44.0965938, 142.3608619 44.0966382, 142.3610434 44.0966518, 142.3618029 44.096709, 142.3625623 44.0967661, 142.3626832 44.0967688)",,,
226223903,,unclassified,False,True,83.861,"LINESTRING (142.3602724 44.0965938, 142.360162 44.0972924, 142.3601544 44.0973432)",,,
226224168,,unclassified,False,False,345.306,"LINESTRING (142.3602724 44.0965938, 142.3603354 44.0961317, 142.3604172 44.095531, 142.3604976 44.0950234, 142.3605706 44.0945821, 142.360723 44.0935054)",,,
226224341,,tertiary,False,False,374.188,"LINESTRING (142.3554444 44.0969819, 142.3558272 44.0970091, 142.3565119 44.09706, 142.3572485 44.0971148, 142.357917 44.0971646, 142.3588216 44.0972346, 142.3600229 44.097329, 142.3601038 44.0973378)",,,
576806038,,secondary,False,False,129.298,"LINESTRING (142.3554444 44.0969819, 142.3553907 44.0973609, 142.3552972 44.0980214, 142.3552801 44.0981387)",545,三和剣淵線,
576806038,,secondary,False,True,429.628,"LINESTRING (142.3554444 44.0969819, 142.3559875 44.0932136, 142.3559983 44.0931387)",545,三和剣淵線,
226223676,,unclassified,False,False,76.373,"LINESTRING (142.3601038 44.0973378, 142.3599917 44.0980199)",,,
226224341,,tertiary,False,False,4.085,"LINESTRING (142.3601038 44.0973378, 142.3601544 44.0973432)",,,
226224341,,tertiary,False,True,374.18800000000005,"LINESTRING (142.3601038 44.0973378, 142.3600229 44.097329, 142.3588216 44.0972346, 142.357917 44.0971646, 142.3572485 44.0971148, 142.3565119 44.09706, 142.3558272 44.0970091, 142.3554444 44.0969819)",,,
226224341,,tertiary,False,False,137.395,"LINESTRING (142.3625691 44.0975382, 142.3642793 44.0976735)",,,
226224341,,tertiary,False,True,194.047,"LINESTRING (142.3625691 44.0975382, 142.360226 44.097351, 142.3601544 44.0973432)",,,
291437884,,secondary,False,False,86.037,"LINESTRING (142.3625691 44.0975382, 142.3626676 44.0968741, 142.3626832 44.0967688)",293,温根別剣渕停車場線,
291437884,,secondary,False,True,64.51299999999999,"LINESTRING (142.3625691 44.0975382, 142.3625558 44.0976325, 142.3624873 44.0981154)",293,温根別剣渕停車場線,
226224341,,tertiary,False,True,137.395,"LINESTRING (142.3642793 44.0976735, 142.3625691 44.0975382)",,,
