osmid,highway,oneway,reversed,length,ref,name,maxspeed,geometry,lanes,access
22730698,tertiary,False,True,17.385,,,,"LINESTRING (138.7637907 35.5052616, 138.7637288 35.5054096)",,
32881012,secondary,False,True,14.826,710,青木ヶ原船津線,40,"LINESTRING (138.7637907 35.5052616, 138.7636314 35.5052926)",,
32881012,secondary,False,False,133.727,710,青木ヶ原船津線,40,"LINESTRING (138.7637907 35.5052616, 138.7638513 35.5052216, 138.7638971 35.5051564, 138.7639589 35.5050519, 138.7640156 35.5048868, 138.7640741 35.5046834, 138.7641358 35.5044823, 138.7641971 35.5042791, 138.7642595 35.5041367)",,
32881012,secondary,False,True,271.35400000000004,710,青木ヶ原船津線,40,"LINESTRING (138.7696184 35.50314, 138.7694833 35.5032691, 138.7694443 35.5032976, 138.7693672 35.5033162, 138.7691989 35.5033409, 138.7690317 35.5033752, 138.768899 35.5034231, 138.7687705 35.5034897, 138.7685474 35.5036121, 138.7682891 35.5037458, 138.768132 35.5038071, 138.7680502 35.5038297, 138.7679525 35.5038378, 138.7677693 35.5038269, 138.7675547 35.503799, 138.7673058 35.503764, 138.7670569 35.5037431, 138.7668792 35.5037495)",,
308308701,trunk,False,True,216.71599999999998,137,御坂みち,,"LINESTRING (138.7696184 35.50314, 138.7693689 35.5030307, 138.7691709 35.5029553, 138.7690611 35.5029135, 138.769017 35.5028967, 138.7689741 35.5028804, 138.7686347 35.5027512, 138.7682801 35.5025912, 138.768072 35.5024015, 138.7679573 35.5022969, 138.7678214 35.5021109, 138.7677422 35.5020127)",2,yes
22735754,tertiary,False,False,130.82,,,,"LINESTRING (138.769021 35.5004485, 138.7687063 35.5002279, 138.7686433 35.5001715, 138.7686083 35.5001169, 138.7685937 35.5000898, 138.7685337 35.4995347, 138.768537 35.4994781, 138.7685566 35.4994233)",,
308308671,trunk,False,True,50.108,137,御坂みち,,"LINESTRING (138.769021 35.5004485, 138.7691776 35.5003213, 138.7692666 35.5002516, 138.7693147 35.500224, 138.7694508 35.5001727)",2,yes
308308701,trunk,False,False,164.07,137,御坂みち,,"LINESTRING (138.769021 35.5004485, 138.7686702 35.5007487, 138.7685567 35.5008077, 138.7684454 35.5008514, 138.7677342 35.5010601, 138.7675847 35.5011789, 138.767539 35.5012327)",2,yes
89049916,unclassified,False,True,87.409,,,,"LINESTRING (138.7685566 35.4994233, 138.7675912 35.4994379)",,
22735754,tertiary,False,False,81.605,,,,"LINESTRING (138.7685566 35.4994233, 138.7686452 35.4992957, 138.7687011 35.4991972, 138.7687477 35.4990986, 138.7687741 35.4990014, 138.7687966 35.4988733, 138.7688038 35.4987292)",,
22735754,tertiary,False,True,130.82000000000002,,,,"LINESTRING (138.7685566 35.4994233, 138.768537 35.4994781, 138.7685337 35.4995347, 138.7685937 35.5000898, 138.7686083 35.5001169, 138.7686433 35.5001715, 138.7687063 35.5002279, 138.769021 35.5004485)",,
93879247,residential,False,True,133.62,,,,"LINESTRING (138.7685566 35.4994233, 138.7690206 35.4994038, 138.7694757 35.4993871, 138.7700245 35.4993152)",,
22735754,tertiary,False,True,81.60499999999999,,,,"LINESTRING (138.7688038 35.4987292, 138.7687966 35.4988733, 138.7687741 35.4990014, 138.7687477 35.4990986, 138.7687011 35.4991972, 138.7686452 35.4992957, 138.7685566 35.4994233)",,
