osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,maxspeed
198704153,residential,False,True,326.656,"LINESTRING (140.7156201 36.7220571, 140.7158276 36.7220006, 140.7160627 36.7219589, 140.7161328 36.7217855, 140.716193 36.721699, 140.716428 36.721416, 140.7164762 36.721395, 140.7166941 36.7214772, 140.7168073 36.7213397, 140.71686 36.721224, 140.7168381 36.7211203, 140.7167118 36.7210645, 140.7166025 36.7210683, 140.7155384 36.720728, 140.7153018 36.7206783)",,,,,
106234868,tertiary,False,False,40.966,"LINESTRING (140.7158354 36.7224715, 140.7160112 36.7228119)",,,,,
106234868,tertiary,False,True,13.259,"LINESTRING (140.7158354 36.7224715, 140.7157792 36.7223611)",,,,,
198705290,residential,False,False,65.897,"LINESTRING (140.7158354 36.7224715, 140.7159014 36.7224719, 140.7159917 36.7224886, 140.7160983 36.7225148, 140.716194 36.722554, 140.7163493 36.7226094, 140.7164957 36.7226397, 140.7165362 36.7226405)",,,,,
106234868,tertiary,False,False,11.465,"LINESTRING (140.7160112 36.7228119, 140.7160594 36.7229075)",,,,,
106234868,tertiary,False,True,40.966,"LINESTRING (140.7160112 36.7228119, 140.7158354 36.7224715)",,,,,
198705635,unclassified,False,False,156.95600000000002,"LINESTRING (140.7160112 36.7228119, 140.7158015 36.7228984, 140.7157002 36.722954, 140.7155967 36.7229795, 140.7152086 36.7230434, 140.7151329 36.7230476, 140.7150257 36.7230175, 140.7148739 36.7229854, 140.7146599 36.7229531, 140.7143306 36.7229097)",,,,,
106234868,tertiary,False,False,112.743,"LINESTRING (140.7162942 36.7233738, 140.7166082 36.7240107, 140.7167331 36.7243242)",,,,,
106234868,tertiary,False,True,55.915,"LINESTRING (140.7162942 36.7233738, 140.7162367 36.7232596, 140.7160594 36.7229075)",,,,,
198703897,residential,False,False,120.661,"LINESTRING (140.7162942 36.7233738, 140.7166633 36.7231661, 140.7170252 36.7229121, 140.7170942 36.7228539, 140.7171471 36.7227924, 140.7171973 36.7227121, 140.7172424 36.7226261)",,,,,
104280382,residential,False,True,27.299,"LINESTRING (140.7141389 36.7243215, 140.714189 36.7240793)",,,,,
198705398,unclassified,False,False,44.10900000000001,"LINESTRING (140.7141389 36.7243215, 140.7140125 36.7242704, 140.713958 36.724206, 140.713866 36.724138, 140.713784 36.724056)",,,,,
104280364,unclassified,False,False,80.746,"LINESTRING (140.714189 36.7240793, 140.7150522 36.7242998)",,,,,
104280382,residential,False,False,27.299,"LINESTRING (140.714189 36.7240793, 140.7141389 36.7243215)",,,,,
