osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,maxspeed
1151525859,tertiary,False,False,38.739000000000004,"LINESTRING (130.3784319 33.2077724, 130.3786885 33.2079171, 130.3787772 33.2079671)",,,,,
"[169190417, 169190754, 169191194]",unclassified,False,False,148.767,"LINESTRING (130.3880517 33.2094215, 130.3880405 33.2094739, 130.3878367 33.209619, 130.3874916 33.2098482, 130.3874016 33.2099237, 130.3870336 33.2100014, 130.3867477 33.2101221)",yes,1,,,
"[591381294, 169189021, 169227566]",trunk,False,"[False, True]",220.678,"LINESTRING (130.3880517 33.2094215, 130.3874703 33.2093726, 130.3870872 33.2093394, 130.3864527 33.2092868, 130.3864242 33.2092845, 130.3863518 33.2092784, 130.3863191 33.2092757, 130.3856915 33.2092238)",yes,2,442,国道442号,
591381292,trunk,False,True,41.011,"LINESTRING (130.3851189 33.2091689, 130.3847743 33.2089389)",,2,442,あおぎり通り,
591381293,trunk,False,True,27.254,"LINESTRING (130.3851189 33.2091689, 130.3848272 33.2091463)",,2,442,国道442号,
591381294,trunk,False,False,53.621,"LINESTRING (130.3851189 33.2091689, 130.3852459 33.209182, 130.3853039 33.209188, 130.3856915 33.2092238)",,2,442,国道442号,
169189600,unclassified,False,False,99.327,"LINESTRING (130.3808195 33.2047853, 130.3808863 33.2047421, 130.3810824 33.2046268, 130.3813242 33.204502, 130.38151 33.2044946, 130.38166 33.2045333, 130.3817549 33.2045897)",,2,,,
"[169188865, 169188871, 169516895]",trunk,False,"[False, True]",150.35999999999999,"LINESTRING (130.3808195 33.2047853, 130.3808838 33.2052962, 130.3808925 33.2054464, 130.3808804 33.2056625, 130.3808037 33.205924, 130.3807492 33.2060828, 130.3807355 33.2061183)",yes,2,208;443,国道208号,
169516895,trunk,False,True,293.389,"LINESTRING (130.3808195 33.2047853, 130.3807658 33.2044246, 130.3807574 33.2043663, 130.3807452 33.2042808, 130.3807001 33.2038604, 130.380689 33.2037785, 130.3806573 33.2035496, 130.380625 33.203317, 130.3805968 33.2031047, 130.3805436 33.2027327, 130.3804958 33.2023721, 130.3804679 33.2021634)",,2,208;443,国道208号,
591292196,residential,False,True,83.32199999999999,"LINESTRING (130.3808195 33.2047853, 130.3807766 33.2048084, 130.380052 33.2051714)",,1,,,
"[169188865, 169516895, 169188871]",trunk,False,"[False, True]",150.36,"LINESTRING (130.3807355 33.2061183, 130.3807492 33.2060828, 130.3808037 33.205924, 130.3808804 33.2056625, 130.3808925 33.2054464, 130.3808838 33.2052962, 130.3808195 33.2047853)",yes,2,208;443,国道208号,
