osmid,highway,oneway,reversed,length,ref,name,geometry,tunnel,bridge,lanes
105103476,unclassified,False,True,93.141,,,"LINESTRING (140.518457 37.8480695, 140.5173968 37.8480973)",,,
104379778,secondary,False,False,93.922,353,国見福島線,"LINESTRING (140.518457 37.8480695, 140.5185271 37.8472788, 140.5185317 37.8472269)",,,
104379778,secondary,False,True,134.026,353,国見福島線,"LINESTRING (140.518457 37.8480695, 140.5183901 37.8488919, 140.5183602 37.8492724)",,,
104379778,secondary,False,False,58.566,353,国見福島線,"LINESTRING (140.518567 37.8468773, 140.5186119 37.8463518)",,,
104379778,secondary,False,True,38.997,353,国見福島線,"LINESTRING (140.518567 37.8468773, 140.5185317 37.8472269)",,,
105103483,unclassified,False,True,64.264,,,"LINESTRING (140.518567 37.8468773, 140.5178373 37.8468326)",,,
104379778,secondary,False,True,24.655,353,国見福島線,"LINESTRING (140.5186332 37.8459034, 140.5186237 37.846125)",,,
1019650687,residential,False,False,59.308,,,"LINESTRING (140.5186332 37.8459034, 140.5193047 37.8459609)",,,
41784952,unclassified,False,False,60.303,,,"LINESTRING (140.5156157 37.8455547, 140.515667 37.8460955)",,,
41784952,unclassified,False,True,35.328,,,"LINESTRING (140.5156157 37.8455547, 140.5155489 37.8452414)",,,
105100274,residential,False,False,161.31900000000002,,,"LINESTRING (140.5156157 37.8455547, 140.516205 37.8455821, 140.5169828 37.8456781, 140.5174255 37.8457757)",,,
105100274,residential,False,True,183.486,,,"LINESTRING (140.5156157 37.8455547, 140.5145487 37.8456556, 140.5145086 37.8456461, 140.514489 37.8456185, 140.5144636 37.8454481, 140.5144316 37.8454007, 140.5143608 37.8453786, 140.5137916 37.8454203)",,,
41784952,unclassified,False,True,60.303,,,"LINESTRING (140.515667 37.8460955, 140.5156157 37.8455547)",,,
105103490,unclassified,False,False,44.558,,,"LINESTRING (140.515667 37.8460955, 140.5161744 37.8461013)",,,
41784952,unclassified,False,False,15.853000000000002,,,"LINESTRING (140.515667 37.8460955, 140.5156511 37.8461567, 140.5156352 37.8462358)",,,
41784952,unclassified,False,True,51.64,,,"LINESTRING (140.5155662 37.846697, 140.5156352 37.8462358)",,,
41784952,unclassified,False,False,44.207,,,"LINESTRING (140.5155662 37.846697, 140.515517 37.8470381, 140.51552 37.8470923)",,,
105100257,residential,False,False,172.60399999999998,,,"LINESTRING (140.5155662 37.846697, 140.5148932 37.8467572, 140.5142741 37.8467846, 140.5141487 37.8467841, 140.5136159 37.8468667)",,,
41784952,unclassified,False,True,14.658,,,"LINESTRING (140.5159917 37.848208, 140.515931 37.8480852)",,,
105103476,unclassified,False,False,69.168,,,"LINESTRING (140.5159917 37.848208, 140.5167736 37.8481323)",,,
41784952,unclassified,False,False,86.36699999999999,,,"LINESTRING (140.5159917 37.848208, 140.5160382 37.8483458, 140.5160948 37.8486607, 140.5161163 37.8489763)",,,
41784961,tertiary,False,False,61.386,,,"LINESTRING (140.5161471 37.8513775, 140.5168458 37.8513577)",,,
1019650707,unclassified,False,True,76.405,,,"LINESTRING (140.5161471 37.8513775, 140.5161246 37.8506906)",,,
"[41784961, 41784979]","['unclassified', 'tertiary']",False,"[False, True]",195.458,,,"LINESTRING (140.5161471 37.8513775, 140.5155419 37.8514001, 140.5154622 37.8514032, 140.5146465 37.8514338, 140.5146098 37.8514487, 140.514603 37.851473, 140.5146231 37.8515117, 140.5146686 37.8515739, 140.5150495 37.8518383)",,,
104973267,tertiary,False,True,36.231,,,"LINESTRING (140.5161471 37.8513775, 140.5161423 37.8514301, 140.5161553 37.851703)",,,
41784961,tertiary,False,True,57.812,,,"LINESTRING (140.5183464 37.8513076, 140.5176883 37.8513246)",,,
104379778,secondary,False,False,66.421,353,国見福島線,"LINESTRING (140.5183464 37.8513076, 140.5182977 37.8507115)",,,
104379778,secondary,False,True,86.63900000000001,353,国見福島線,"LINESTRING (140.5183464 37.8513076, 140.5183535 37.8513575, 140.5184243 37.8520843)",,,
107681551,unclassified,False,True,17.249,,,"LINESTRING (140.5146654 37.8522977, 140.5145624 37.8521656)",,,
"[615820089, 615820090, 1019650639]",unclassified,True,False,79.12700000000001,,,"LINESTRING (140.5146654 37.8522977, 140.5148963 37.8522017, 140.5151175 37.8521013, 140.5151522 37.8520716, 140.5151659 37.8520351, 140.5151666 37.8519829, 140.5151299 37.8519148, 140.5150495 37.8518383)",yes,,
107681551,unclassified,False,False,107.66,,,"LINESTRING (140.513769 37.8511801, 140.5144268 37.8519972)",,,
