osmid,oneway,highway,maxspeed,reversed,length,bridge,geometry,lanes,ref,name,tunnel,est_width
"[221320435, 199639620]",True,residential,20,False,25.051,yes,"LINESTRING (139.7196844 35.5636275, 139.7196743 35.5636113, 139.7195514 35.5634299)",,,,,
224486762,False,unclassified,,False,134.20499999999998,,"LINESTRING (139.7196844 35.5636275, 139.7197046 35.5636151, 139.7197572 35.5635827, 139.7199473 35.5634658, 139.7206678 35.5629512, 139.7207455 35.5629145, 139.7207892 35.5628938, 139.7208133 35.5628537)",,,,,
224486762,False,unclassified,,True,110.57499999999999,,"LINESTRING (139.7196844 35.5636275, 139.7196247 35.5636574, 139.719587 35.5636763, 139.7191617 35.5638894, 139.7191264 35.5639072, 139.719086 35.5639132, 139.7186402 35.5641402)",,,,,
445359186,False,tertiary,40,True,12.543,,"LINESTRING (139.7183225 35.5587737, 139.7184115 35.5588602)",2,,,,
"[1039808264, 1107307947, 1107307942]",True,primary,60,False,130.364,,"LINESTRING (139.7183225 35.5587737, 139.718206 35.5587993, 139.7176184 35.558926, 139.7172759 35.5589971, 139.717105 35.5590313, 139.7169272 35.5590669)","['2', '3']",311,環八通り,,
"[115135598, 1107307943]",False,tertiary,30,True,43.102000000000004,,"LINESTRING (139.7183225 35.5587737, 139.7182714 35.5587057, 139.7181263 35.5584213)",2,,,,
685441658,False,tertiary,30,False,9.82,,"LINESTRING (139.711637 35.5596095, 139.7116351 35.5596978)",2,,,,
28017547,True,primary,60,False,40.519000000000005,,"LINESTRING (139.711637 35.5596095, 139.7115323 35.5596147, 139.7111906 35.5596393)",2,311,環八通り,,
115124347,False,unclassified,30,False,60.071,,"LINESTRING (139.711637 35.5596095, 139.7116364 35.5595349, 139.7116378 35.559488, 139.7116489 35.5591113, 139.7116498 35.5590694)",2,,,,
204351473,True,tertiary,,False,19.831,,"LINESTRING (139.7169893 35.5621636, 139.7169262 35.5619928)",,,,,
