osmid,highway,oneway,reversed,length,geometry,ref,name,maxspeed,bridge
114756383,unclassified,False,False,65.672,"LINESTRING (133.8310174 35.4310954, 133.8302957 35.4311502)",,,,
114753366,unclassified,False,False,94.978,"LINESTRING (133.8310174 35.4310954, 133.8309999 35.4319323, 133.8309987 35.4319494)",,,,
114751340,unclassified,False,False,61.414,"LINESTRING (133.8294887 35.4287885, 133.8297694 35.4290859, 133.8299145 35.4292178)",,,,
114751340,unclassified,False,True,223.806,"LINESTRING (133.8294887 35.4287885, 133.829234 35.428695, 133.8288815 35.4286665, 133.828757 35.428659, 133.828638 35.4286626, 133.8284277 35.4287105, 133.8282409 35.4287497, 133.8280428 35.4287612, 133.8276035 35.4287892, 133.827065 35.42884)",,,,
448975003,residential,False,True,39.92700000000001,"LINESTRING (133.8294887 35.4287885, 133.8297177 35.4288519, 133.8299165 35.4288533)",,,,
114752449,unclassified,False,False,7.674,"LINESTRING (133.8227768 35.4341024, 133.8227719 35.4340335)",,,,
114752056,secondary,False,False,30.549,"LINESTRING (133.8267514 35.43457, 133.8264169 35.4346046)",161,倉吉江北線,,
114752056,secondary,False,True,55.798,"LINESTRING (133.8267514 35.43457, 133.8269689 35.4345516, 133.8273333 35.4344228)",161,倉吉江北線,,
114755822,unclassified,False,True,87.742,"LINESTRING (133.8267514 35.43457, 133.8267108 35.4340608, 133.8266908 35.4338139, 133.8266883 35.4337826)",,,,
114752516,unclassified,False,True,41.635,"LINESTRING (133.8265696 35.4315604, 133.8270222 35.4314956)",,,,
114755102,unclassified,False,False,90.012,"LINESTRING (133.8265696 35.4315604, 133.8266076 35.4323693)",,,,
114757076,unclassified,False,False,163.59900000000002,"LINESTRING (133.8265696 35.4315604, 133.8261801 35.4315741, 133.8247672 35.431648)",,,,
114754822,unclassified,False,False,105.148,"LINESTRING (133.8282274 35.4312841, 133.8283231 35.4322265)",,,,
114756383,unclassified,False,True,68.464,"LINESTRING (133.8282274 35.4312841, 133.8289827 35.4312654)",,,,
114755941,unclassified,False,False,111.87200000000001,"LINESTRING (133.8282274 35.4312841, 133.8280599 35.4312952, 133.8278116 35.431336, 133.827625 35.431377, 133.8271196 35.4314759, 133.8270222 35.4314956)",,,,
114756792,unclassified,False,False,76.332,"LINESTRING (133.8282274 35.4312841, 133.8281699 35.4306813, 133.8281362 35.4306042)",,,,
114756948,unclassified,False,False,28.977,"LINESTRING (133.8202535 35.4325878, 133.820253 35.4323272)",,,,
114757131,unclassified,False,False,45.268,"LINESTRING (133.8202535 35.4325878, 133.8202561 35.4329949)",,,,
448986872,residential,False,True,36.78,"LINESTRING (133.8280988 35.4300772, 133.8276936 35.4300971)",,,,
448972343,residential,False,True,58.7,"LINESTRING (133.8280988 35.4300772, 133.8281108 35.4302114, 133.8281362 35.4306042)",,,,
448986872,residential,False,False,108.42099999999999,"LINESTRING (133.8280988 35.4300772, 133.8285523 35.4300551, 133.8292933 35.430019)",,,,
114752176,secondary,False,True,42.904,"LINESTRING (133.8266473 35.4331247, 133.8261759 35.4331614)",205,木地山倉吉線,,
114755822,unclassified,False,False,47.724,"LINESTRING (133.8266473 35.4331247, 133.8266697 35.4335535)",,,,
114757250,unclassified,False,False,72.449,"LINESTRING (133.8266473 35.4331247, 133.8266175 35.4324736)",,,,
114752176,secondary,False,False,123.015,"LINESTRING (133.8266473 35.4331247, 133.8270355 35.4330942, 133.8280012 35.4330426)",205,木地山倉吉線,,
114751744,tertiary,False,False,69.872,"LINESTRING (133.8240746 35.4332779, 133.8242128 35.4338961)",,,,
114752176,secondary,False,False,59.879,"LINESTRING (133.8240746 35.4332779, 133.824734 35.4332415)",205,木地山倉吉線,,
114754995,tertiary,False,False,75.627,"LINESTRING (133.8240746 35.4332779, 133.8239276 35.4326084)",,,,
114752176,secondary,False,True,124.826,"LINESTRING (133.8240746 35.4332779, 133.823129 35.4333354, 133.8227008 35.4333629)",205,木地山倉吉線,,
114753090,tertiary,False,False,28.474,"LINESTRING (133.8214964 35.4327842, 133.8214848 35.4325283)",,,,
114753090,tertiary,False,True,72.77,"LINESTRING (133.8214964 35.4327842, 133.8215179 35.4334384)",,,,
114754716,unclassified,False,False,114.789,"LINESTRING (133.8214964 35.4327842, 133.8202561 35.4329949)",,,,
114757703,unclassified,False,True,136.454,"LINESTRING (133.8214964 35.4327842, 133.8226297 35.4326691, 133.8229928 35.432648)",,,,
114753265,tertiary,False,True,79.047,"LINESTRING (133.8236437 35.4309962, 133.823736 35.4317031)",,,,
1188589753,primary,False,False,68.641,"LINESTRING (133.8236437 35.4309962, 133.8228918 35.4310718)",38,倉吉福本線,,
1188589753,primary,False,True,89.142,"LINESTRING (133.8236437 35.4309962, 133.8246225 35.4309149)",38,倉吉福本線,,
114751744,tertiary,False,True,69.872,"LINESTRING (133.8242128 35.4338961, 133.8240746 35.4332779)",,,,
114756808,tertiary,False,False,28.343,"LINESTRING (133.8242128 35.4338961, 133.8242693 35.4341468)",,,,
114752754,unclassified,False,True,131.47299999999998,"LINESTRING (133.8242128 35.4338961, 133.8232861 35.4339977, 133.8231804 35.4340051, 133.8227719 35.4340335)",,,,
1017799312,residential,False,False,36.899,"LINESTRING (133.8301377 35.4336414, 133.8302041 35.4339688)",,,,
114751632,tertiary,False,False,81.083,"LINESTRING (133.8301377 35.4336414, 133.8301272 35.4335426, 133.8300608 35.4329149)",,,,
