osmid,highway,oneway,reversed,length,lanes,ref,name,bridge,geometry,width
188021830,unclassified,False,True,17.896,,,,,"LINESTRING (135.6475531 34.5214441, 135.647748 34.5214333)",
289074324,trunk,False,False,35.323,2,166,国道166号,,"LINESTRING (135.6475531 34.5214441, 135.647654 34.5211375)",
289074324,trunk,False,True,35.323,2,166,国道166号,,"LINESTRING (135.647654 34.5211375, 135.6475531 34.5214441)",
"[188021892, 288196322, 288196324]",unclassified,False,True,103.168,,,,yes,"LINESTRING (135.647654 34.5211375, 135.6475769 34.5211013, 135.6475028 34.52105, 135.6473958 34.5209677, 135.6472813 34.5208855, 135.6472457 34.5208447, 135.6472207 34.5207464, 135.647179 34.5207039, 135.6471054 34.5206706, 135.6470681 34.520658, 135.6470378 34.5206452, 135.6468693 34.5205105)",
289074324,trunk,False,False,82.928,2,166,国道166号,,"LINESTRING (135.647654 34.5211375, 135.6478813 34.5206451, 135.6479943 34.5204469)",
188021781,unclassified,False,True,58.101,,,竹内街道,,"LINESTRING (135.6491464 34.5198009, 135.6493213 34.5198035, 135.6496019 34.5197508, 135.6497663 34.5197107)",
289074324,trunk,False,False,172.87800000000001,2,166,国道166号,,"LINESTRING (135.6491464 34.5198009, 135.6499108 34.5188678, 135.6500046 34.5187225, 135.6500821 34.5185527, 135.6501004 34.5184711)",
289074324,trunk,False,True,86.642,2,166,国道166号,,"LINESTRING (135.6491464 34.5198009, 135.6489863 34.5198883, 135.6488169 34.5199446, 135.6485507 34.5199728, 135.6483506 34.5200093, 135.6482629 34.5200447)",
"[1151216712, 1151216713, 1151216711]",residential,False,True,139.664,,,竹内街道,yes,"LINESTRING (135.6491464 34.5198009, 135.6490235 34.5198152, 135.6489618 34.519803, 135.6483268 34.5195058, 135.6482557 34.5194859, 135.6480123 34.5194373, 135.6478762 34.5194329, 135.647734 34.5194555)",
41168894,primary,False,False,58.918000000000006,,32,,,"LINESTRING (135.6502056 34.5173041, 135.6496238 34.5170966, 135.6496151 34.5170944)",
188021338,primary,False,False,74.172,,33,富田林太子線,,"LINESTRING (135.6502056 34.5173041, 135.6502278 34.5171583, 135.650258 34.5167744, 135.6502587 34.516639)",
"[289074324, 1185644877, 729221021]",trunk,False,True,130.149,2,166,国道166号,yes,"LINESTRING (135.6502056 34.5173041, 135.6501864 34.5175322, 135.6501744 34.5176638, 135.6501087 34.5184342, 135.6501004 34.5184711)",
41168894,primary,False,True,16.505,,32,,,"LINESTRING (135.649065 34.5168736, 135.6492255 34.516941)",
