osmid,oneway,highway,reversed,length,geometry,bridge,lanes,maxspeed,name,ref
26322867,False,tertiary,False,73.858,"LINESTRING (139.900329 35.6543828, 139.9007189 35.653799)",,,,,
60194402,False,tertiary,True,138.575,"LINESTRING (139.900329 35.6543828, 139.9010579 35.6554793)",,,,,
60194401,False,residential,True,39.772999999999996,"LINESTRING (139.900329 35.6543828, 139.900183 35.6545972, 139.9001062 35.654691)",,,,,
26350219,False,tertiary,False,38.816,"LINESTRING (139.9003336 35.6536446, 139.9007189 35.653799)",yes,2,40,,
26350168,True,tertiary,False,154.868,"LINESTRING (139.9003336 35.6536446, 139.89946 35.6533118, 139.8987817 35.6530533)",,,40,市役所通り（段差道路）,
26322867,False,tertiary,True,73.858,"LINESTRING (139.9007189 35.653799, 139.900329 35.6543828)",,,,,
26350219,False,tertiary,True,38.816,"LINESTRING (139.9007189 35.653799, 139.9003336 35.6536446)",yes,2,40,,
26350222,False,tertiary,False,249.51799999999997,"LINESTRING (139.9007189 35.653799, 139.9020738 35.6543534, 139.9023232 35.6544555, 139.9031853 35.6548085)",,2,40,市役所通り,
"[720927237, 720927238]",False,tertiary,False,213.031,"LINESTRING (139.9007189 35.653799, 139.9009921 35.6533784, 139.9011268 35.6531612, 139.9012104 35.6530653, 139.9013011 35.6529861, 139.9017147 35.6527164, 139.902238 35.6523829)",,2,40,,
720402606,False,tertiary,False,64.11,"LINESTRING (139.9031853 35.6548085, 139.9034062 35.6553564)",,2,40,,
720927240,False,tertiary,True,94.285,"LINESTRING (139.9031853 35.6548085, 139.9028795 35.6539978)",,2,40,,
26350222,False,tertiary,True,249.51799999999997,"LINESTRING (139.9031853 35.6548085, 139.9023232 35.6544555, 139.9020738 35.6543534, 139.9007189 35.653799)",,2,40,市役所通り,
37864904,True,trunk_link,False,302.096,"LINESTRING (139.9072478 35.6542369, 139.9073327 35.6543868, 139.9073927 35.6544511, 139.907436 35.6545069, 139.9074796 35.6545775, 139.9075044 35.6546439, 139.9075145 35.6547055, 139.9075158 35.6547682, 139.907501 35.6548395, 139.9074675 35.6549229, 139.9074203 35.6550163, 139.9073596 35.6551321, 139.9073173 35.6552242, 139.9072851 35.6553354, 139.9072684 35.6554362, 139.9072637 35.6555745, 139.9072634 35.6556233, 139.9072623 35.6559854, 139.9072523 35.656066, 139.9072321 35.6561423, 139.9072033 35.6562245, 139.9071644 35.6563068, 139.9071161 35.6563869, 139.9070545 35.6564599, 139.9069849 35.656527, 139.9069291 35.6565803, 139.9068633 35.6566561, 139.9067966 35.6567639)",,1,30,,
1125716451,True,trunk,False,309.326,"LINESTRING (139.9048229 35.6522738, 139.9053875 35.6527462, 139.9056175 35.6529342, 139.9058716 35.6531412, 139.9060486 35.6532785, 139.9062311 35.6534178, 139.9064315 35.6535706, 139.9068533 35.6539046, 139.9072478 35.6542369)",,2,60,東京湾岸道路,357
720927239,False,tertiary,True,106.54,"LINESTRING (139.9063695 35.6490704, 139.9062818 35.6491436, 139.9055298 35.649743)",,2,40,,
246614167,True,residential,False,73.42,"LINESTRING (139.8995546 35.6534302, 139.8995912 35.6534871, 139.90025 35.6537493)",,,,,
847291605,True,tertiary,False,75.95100000000001,"LINESTRING (139.8995546 35.6534302, 139.9001801 35.6536592, 139.9003336 35.6536446)",,,40,市役所通り（段差道路）,
"[60194393, 60194403, 60194399]",True,residential,False,33.529999999999994,"LINESTRING (139.8982416 35.6575102, 139.8982033 35.6574531, 139.8980706 35.6572852, 139.8980478 35.6572532)",yes,,,,
60194401,False,residential,False,95.386,"LINESTRING (139.8982416 35.6575102, 139.8984804 35.6571667, 139.8984964 35.6571337, 139.8987419 35.6567552)",,,,,
60194398,False,residential,True,80.181,"LINESTRING (139.90025 35.6537493, 139.8998597 35.6543969)",,,,,
60194398,False,residential,False,52.598,"LINESTRING (139.8980478 35.6572532, 139.8980635 35.6572006, 139.8982967 35.656827)",,,,,
245463512,False,residential,True,47.959,"LINESTRING (139.8980478 35.6572532, 139.8978491 35.657139, 139.89777 35.6570674, 139.8976708 35.6569562)",,,,,
720402604,False,tertiary,False,8.687,"LINESTRING (139.896466 35.654247, 139.8963868 35.6542913)",,,40,さくら通り,
720402604,False,tertiary,True,15.773,"LINESTRING (139.896466 35.654247, 139.8966172 35.6541761)",,,40,さくら通り,
60238534,True,residential,False,157.559,"LINESTRING (139.896466 35.654247, 139.8974565 35.6547368, 139.8979008 35.6550452)",,,,,
46880119,True,tertiary,False,68.432,"LINESTRING (139.8971899 35.6525571, 139.8978774 35.6528153)",,2,50,市役所通り（段差道路）,
720402604,False,tertiary,False,15.773,"LINESTRING (139.8966172 35.6541761, 139.896466 35.654247)",,,40,さくら通り,
720402604,False,tertiary,True,10.021,"LINESTRING (139.8966172 35.6541761, 139.8967106 35.6541275)",,,40,さくら通り,
60238928,True,residential,False,131.248,"LINESTRING (139.896649 35.6534453, 139.8978774 35.6528153)",,,,,
60238929,False,residential,True,67.059,"LINESTRING (139.896649 35.6534453, 139.8970368 35.6539595)",,,,,
60194398,False,residential,False,17.173,"LINESTRING (139.8989049 35.6558814, 139.8989961 35.6557459)",,,,,
60194398,False,residential,True,118.643,"LINESTRING (139.8989049 35.6558814, 139.8988967 35.6558966, 139.8982967 35.656827)",,,,,
60238931,False,residential,False,95.968,"LINESTRING (139.8975425 35.653697, 139.8984138 35.6541906)",,,,,
