osmid,lanes,ref,name,highway,access,oneway,reversed,length,geometry,bridge,tunnel
28889667,2,254,国道254号,trunk,yes,False,False,51.905,"LINESTRING (139.2590761 36.0540141, 139.2590644 36.0544808)",,
785890567,2,254,国道254号,trunk,yes,False,True,187.81799999999998,"LINESTRING (139.2590761 36.0540141, 139.2592255 36.054035, 139.259373 36.0540662, 139.259484 36.0540935, 139.2595997 36.0541348, 139.2596989 36.0541777, 139.2600795 36.054349, 139.2602309 36.0544171, 139.260592 36.0545598, 139.2609876 36.0546724)",,
787353947,,11,熊谷小川秩父線,primary,,False,True,132.96800000000002,"LINESTRING (139.2590761 36.0540141, 139.2590008 36.0539982, 139.2589563 36.0539868, 139.2587611 36.0539012, 139.2584446 36.0536495, 139.2583287 36.0535857, 139.2582683 36.0535671, 139.2581805 36.0535477, 139.2580923 36.0535461, 139.2578826 36.0535563, 139.2578493 36.0535581, 139.2577884 36.0535615)",,
1197012584,,,,unclassified,,False,False,74.711,"LINESTRING (139.2590761 36.0540141, 139.2590448 36.0539575, 139.2590697 36.0538259, 139.2590558 36.0537259, 139.259008 36.0536171, 139.2589673 36.0534934, 139.2589567 36.053361)",,
28889665,,,,tertiary,,False,False,56.462,"LINESTRING (139.26399 36.055135, 139.2640107 36.0556425)",,
131394106,,,,unclassified,,False,True,77.471,"LINESTRING (139.26399 36.055135, 139.263979 36.0549436, 139.2638206 36.0544831, 139.263803 36.05446)",,
785894883,2,254,国道254号,trunk,yes,False,True,122.52000000000001,"LINESTRING (139.26399 36.055135, 139.2642505 36.0551503, 139.2653502 36.0552042)",,
857557695,2,254,国道254号,trunk,yes,False,False,168.69,"LINESTRING (139.26399 36.055135, 139.2634818 36.0550847, 139.2627561 36.05501, 139.26221 36.0549479, 139.26213 36.0549354)",,
376540217,2,30,飯能寄居線,primary,,False,True,59.259,"LINESTRING (139.26213 36.0549354, 139.262199 36.0544054)",,
787006837,2,254,国道254号,trunk,yes,False,False,106.833,"LINESTRING (139.26213 36.0549354, 139.2619416 36.0548998, 139.2617515 36.0548594, 139.2614316 36.0547885, 139.2612174 36.0547339, 139.2609876 36.0546724)",,
857557695,2,254,国道254号,trunk,yes,False,True,168.69,"LINESTRING (139.26213 36.0549354, 139.26221 36.0549479, 139.2627561 36.05501, 139.2634818 36.0550847, 139.26399 36.055135)",,
28889665,,,,tertiary,,False,False,25.023,"LINESTRING (139.2644871 36.0562843, 139.2646399 36.0564724)",,
28889665,,,,tertiary,,False,True,83.766,"LINESTRING (139.2644871 36.0562843, 139.2641383 36.0558658, 139.2640636 36.0557677, 139.2640243 36.0557021, 139.2640107 36.0556425)",,
243993793,,,,unclassified,,False,False,39.690999999999995,"LINESTRING (139.2644871 36.0562843, 139.2647682 36.0561553, 139.2648371 36.0561596, 139.2648855 36.0561667)",,
400912739,,,,unclassified,,False,True,117.267,"LINESTRING (139.2655263 36.0572793, 139.2652865 36.0574322, 139.2650901 36.0575574, 139.264433 36.057848)",,
785894881,,,,tertiary,,False,False,78.268,"LINESTRING (139.2655263 36.0572793, 139.2657638 36.0574108, 139.265895 36.0574722, 139.2662683 36.0576467)",,
785894881,,,,tertiary,,False,True,86.58900000000001,"LINESTRING (139.2655263 36.0572793, 139.2653997 36.0572018, 139.2652941 36.0571317, 139.2650953 36.0569699, 139.2649658 36.0568469, 139.2648537 36.056727)",,
785894881,,,,tertiary,,False,False,6.542,"LINESTRING (139.2662683 36.0576467, 139.2663309 36.0576767)",,
"[400912740, 1007171613]",,,,residential,,False,True,120.201,"LINESTRING (139.2662683 36.0576467, 139.2654805 36.058398, 139.2653978 36.058329)",,
785894881,,,,tertiary,,False,True,78.268,"LINESTRING (139.2662683 36.0576467, 139.265895 36.0574722, 139.2657638 36.0574108, 139.2655263 36.0572793)",,
785894881,,,,tertiary,,False,False,3.253,"LINESTRING (139.2678451 36.0583234, 139.2678772 36.0583369)",,
785894881,,,,tertiary,,False,True,103.277,"LINESTRING (139.2678451 36.0583234, 139.2668287 36.0578904)",,
494245041,,,,residential,,False,True,60.61899999999999,"LINESTRING (139.2678451 36.0583234, 139.2677942 36.0585524, 139.2677607 36.0586522, 139.2677459 36.0587302, 139.267754 36.058818, 139.2677521 36.0588601)",,
91638671,2,,,tertiary,,False,True,25.406,"LINESTRING (139.2574811 36.0585846, 139.2576217 36.0587828)",,
785900318,2,254,国道254号,trunk,yes,False,True,76.03999999999999,"LINESTRING (139.2574811 36.0585846, 139.2575804 36.0584816, 139.2579416 36.0581268, 139.2580163 36.0580551)",,
28889667,2,254,国道254号,trunk,yes,False,True,38.669,"LINESTRING (139.2590725 36.0548285, 139.2590644 36.0544808)",,
28889667,2,254,国道254号,trunk,yes,False,False,125.50900000000001,"LINESTRING (139.2590725 36.0548285, 139.259077 36.0549269, 139.2590906 36.0550657, 139.2591002 36.0551104, 139.2591469 36.0553696, 139.2591755 36.0556505, 139.2591964 36.0559519)",,
91638661,,,,unclassified,,False,False,146.038,"LINESTRING (139.2590725 36.0548285, 139.2588235 36.0548455, 139.2585424 36.0549126, 139.2582524 36.0549562, 139.2574867 36.0551017)",,
91638666,,,,residential,,False,True,115.715,"LINESTRING (139.2574867 36.0551017, 139.257735 36.0561228)",,
91638661,,,,unclassified,,False,True,146.038,"LINESTRING (139.2574867 36.0551017, 139.2582524 36.0549562, 139.2585424 36.0549126, 139.2588235 36.0548455, 139.2590725 36.0548285)",,
91638666,,,,residential,,False,False,107.353,"LINESTRING (139.2584855 36.0575812, 139.2579571 36.0567154)",,
785900318,2,254,国道254号,trunk,yes,False,False,25.458,"LINESTRING (139.2584855 36.0575812, 139.2583124 36.0577624)",,
785900318,2,254,国道254号,trunk,yes,False,True,112.965,"LINESTRING (139.2584855 36.0575812, 139.258779 36.0572933, 139.2590456 36.0570274, 139.259183 36.0568788, 139.259271 36.0567884)",,
91638666,,,,residential,,False,False,115.715,"LINESTRING (139.257735 36.0561228, 139.2574867 36.0551017)",,
91638666,,,,residential,,False,True,69.00200000000001,"LINESTRING (139.257735 36.0561228, 139.2578329 36.0564337, 139.2578639 36.0565322, 139.2579571 36.0567154)",,
1007171615,,,,tertiary,,False,False,132.77,"LINESTRING (139.257735 36.0561228, 139.2578653 36.0561002, 139.2591964 36.0559519)",,
91638671,2,,,tertiary,,False,False,25.406,"LINESTRING (139.2576217 36.0587828, 139.2574811 36.0585846)",,
"[377152905, 565099311, 91638671]",2,,,tertiary,,False,True,250.918,"LINESTRING (139.2576217 36.0587828, 139.2577677 36.0591602, 139.2578574 36.0594214, 139.2579146 36.0596913, 139.2580277 36.0604957, 139.2580866 36.0610001)",yes,
778020505,,,,residential,,True,False,105.008,"LINESTRING (139.2576217 36.0587828, 139.2575683 36.0589037, 139.2576702 36.0591931, 139.2577466 36.0594566, 139.2578089 36.0596958)",,
28889665,,,,tertiary,,False,True,56.462,"LINESTRING (139.2640107 36.0556425, 139.26399 36.055135)",,
28889665,,,,tertiary,,False,False,83.76599999999999,"LINESTRING (139.2640107 36.0556425, 139.2640243 36.0557021, 139.2640636 36.0557677, 139.2641383 36.0558658, 139.2644871 36.0562843)",,
412804835,,,,tertiary,,False,True,161.054,"LINESTRING (139.2623611 36.0561855, 139.2627022 36.0576074)",,
91638716,,,,unclassified,,True,False,162.45999999999998,"LINESTRING (139.2623611 36.0561855, 139.2626546 36.0560959, 139.2629501 36.0560241, 139.2633541 36.0559647, 139.2634825 36.0559308, 139.2635834 36.0558817, 139.263813 36.0557325, 139.2640107 36.0556425)",,
91638716,,,,unclassified,,True,False,39.49,"LINESTRING (139.2606745 36.0565122, 139.2611047 36.0564403)",,
1162962505,,,,unclassified,,True,False,129.851,"LINESTRING (139.2606745 36.0565122, 139.259271 36.0567884)",,
785894880,2,189,小川町停車場線,secondary,,False,False,55.238,"LINESTRING (139.2606745 36.0565122, 139.2606443 36.0563916, 139.2606323 36.0562821, 139.2606367 36.0561661, 139.260649 36.0560187)",,
1162962506,2,189,小川町停車場線,secondary,,False,True,117.72099999999999,"LINESTRING (139.2606745 36.0565122, 139.2608223 36.0569867, 139.2609493 36.057445, 139.2609915 36.0575387)",,
28889667,2,254,国道254号,trunk,yes,False,True,65.694,"LINESTRING (139.259271 36.0567884, 139.2592563 36.0566518, 139.2592422 36.0565218, 139.2592322 36.056388, 139.2592203 36.0562462, 139.2592216 36.0561992)",,
91638750,,,,tertiary,,False,False,122.88900000000001,"LINESTRING (139.259271 36.0567884, 139.2592919 36.0568667, 139.2593291 36.0569467, 139.2593855 36.0570066, 139.259732 36.0573346, 139.2600849 36.0576603)",,
785900318,2,254,国道254号,trunk,yes,False,False,112.965,"LINESTRING (139.259271 36.0567884, 139.259183 36.0568788, 139.2590456 36.0570274, 139.258779 36.0572933, 139.2584855 36.0575812)",,
785900318,2,254,国道254号,trunk,yes,False,False,76.03999999999999,"LINESTRING (139.2580163 36.0580551, 139.2579416 36.0581268, 139.2575804 36.0584816, 139.2574811 36.0585846)",,
785900318,2,254,国道254号,trunk,yes,False,True,42.052,"LINESTRING (139.2580163 36.0580551, 139.2581086 36.0579689, 139.2583124 36.0577624)",,
28889667,2,254,国道254号,trunk,yes,False,False,27.592,"LINESTRING (139.2591964 36.0559519, 139.2592216 36.0561992)",,
28889667,2,254,国道254号,trunk,yes,False,True,125.509,"LINESTRING (139.2591964 36.0559519, 139.2591755 36.0556505, 139.2591469 36.0553696, 139.2591002 36.0551104, 139.2590906 36.0550657, 139.259077 36.0549269, 139.2590725 36.0548285)",,
1007171615,,,,tertiary,,False,True,132.77,"LINESTRING (139.2591964 36.0559519, 139.2578653 36.0561002, 139.257735 36.0561228)",,
494245076,,,,residential,,False,True,191.449,"LINESTRING (139.2608275 36.0550209, 139.2603578 36.0549041, 139.2601826 36.054831, 139.2598683 36.0546547, 139.2596658 36.0544675, 139.259453 36.0543561, 139.2593422 36.0544901, 139.2592986 36.0545216, 139.2590644 36.0544808)",,
785894880,2,189,小川町停車場線,secondary,,False,False,41.379,"LINESTRING (139.2608275 36.0550209, 139.2608432 36.0549702, 139.2609876 36.0546724)",,
785894880,2,189,小川町停車場線,secondary,,False,True,112.12700000000001,"LINESTRING (139.2608275 36.0550209, 139.2607632 36.0553839, 139.2606665 36.0559544, 139.260649 36.0560187)",,
131393213,,,,residential,,True,False,60.602,"LINESTRING (139.2609876 36.0546724, 139.2611566 36.0541448)",,
785890567,2,254,国道254号,trunk,yes,False,False,187.818,"LINESTRING (139.2609876 36.0546724, 139.260592 36.0545598, 139.2602309 36.0544171, 139.2600795 36.054349, 139.2596989 36.0541777, 139.2595997 36.0541348, 139.259484 36.0540935, 139.259373 36.0540662, 139.2592255 36.054035, 139.2590761 36.0540141)",,
785894880,2,189,小川町停車場線,secondary,,False,True,41.379,"LINESTRING (139.2609876 36.0546724, 139.2608432 36.0549702, 139.2608275 36.0550209)",,
787006837,2,254,国道254号,trunk,yes,False,True,106.833,"LINESTRING (139.2609876 36.0546724, 139.2612174 36.0547339, 139.2614316 36.0547885, 139.2617515 36.0548594, 139.2619416 36.0548998, 139.26213 36.0549354)",,
131393942,,,,unclassified,,False,False,55.678000000000004,"LINESTRING (139.2660103 36.0526586, 139.2660704 36.0527415, 139.2659997 36.0529991, 139.2661701 36.053028)",,
"[131393189, 131394022]",,,,"['residential', 'unclassified']",,False,True,159.869,"LINESTRING (139.2660103 36.0526586, 139.2662807 36.0523776, 139.2663882 36.0523149, 139.2664883 36.0523006, 139.2665708 36.0525406, 139.2665652 36.0525978, 139.2663314 36.053011, 139.2661701 36.053028)",,
131393973,,,,residential,,False,False,80.556,"LINESTRING (139.2660103 36.0526586, 139.265701 36.0526877, 139.2654936 36.0527072, 139.2653869 36.0527551, 139.2653132 36.0528104, 139.2651873 36.0528811)",,
