osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,est_width,lanes
464918965,40,新小金井街道,primary,50,False,False,96.09,"LINESTRING (139.5333957 35.7814612, 139.5341381 35.7820809)",,
119046042,,,tertiary,,False,True,102.191,"LINESTRING (139.5333957 35.7814612, 139.5328384 35.7821786, 139.5327917 35.7822387)",,
723532080,40,志木街道,primary,40,False,False,10.08,"LINESTRING (139.5327917 35.7822387, 139.5328906 35.7822809)",,
119046042,,,tertiary,,False,False,102.191,"LINESTRING (139.5327917 35.7822387, 139.5328384 35.7821786, 139.5333957 35.7814612)",,
723532080,40,志木街道,primary,40,False,True,127.74,"LINESTRING (139.5327917 35.7822387, 139.5327097 35.782203, 139.5315438 35.7816957)",,
723532080,40,志木街道,primary,40,False,True,37.319,"LINESTRING (139.5367819 35.7839063, 139.5364368 35.7837212)",,
464918965,40,新小金井街道,primary,50,False,True,73.763,"LINESTRING (139.535203 35.7831633, 139.535209 35.7830879, 139.5352133 35.7830346, 139.5351763 35.7829499, 139.5347953 35.7826304)",,
723532080,40,志木街道,primary,40,False,False,127.92,"LINESTRING (139.535203 35.7831633, 139.5356402 35.7833074, 139.5358105 35.783387, 139.5364368 35.7837212)",,
723532080,40,志木街道,primary,40,False,True,92.99600000000001,"LINESTRING (139.535203 35.7831633, 139.5350563 35.7831403, 139.5346748 35.783039, 139.5342462 35.7828635)",,
723532080,40,志木街道,primary,40,False,False,39.324,"LINESTRING (139.5305085 35.7812337, 139.5308927 35.7814008)",,
723532080,40,志木街道,primary,40,False,True,33.267,"LINESTRING (139.5305085 35.7812337, 139.5301843 35.7810911)",,
119277016,,,unclassified,,False,False,48.78,"LINESTRING (139.527101 35.7833506, 139.5270446 35.783338, 139.5265724 35.7832585)",,
119277241,,,unclassified,,False,True,34.326,"LINESTRING (139.527101 35.7833506, 139.5270632 35.7833999, 139.5269393 35.7836295)",,
239273455,,,unclassified,,False,True,71.299,"LINESTRING (139.527101 35.7833506, 139.5272028 35.7833709, 139.5274329 35.783371, 139.5274755 35.7836837, 139.5274762 35.7837386)",,
423571330,,,residential,,False,True,70.845,"LINESTRING (139.527101 35.7833506, 139.5271466 35.7833155, 139.5272165 35.783093, 139.5271199 35.7827452)",,
464908876,,,unclassified,,False,True,39.323,"LINESTRING (139.5327019 35.7882127, 139.5322804 35.7881224)",,
205372201,,,unclassified,,False,True,91.08,"LINESTRING (139.5327019 35.7882127, 139.5324667 35.7885417, 139.5321493 35.788897)",,
464908876,,,unclassified,,False,False,67.448,"LINESTRING (139.5327019 35.7882127, 139.5330895 35.7882935, 139.5333215 35.7883041, 139.5334355 35.7883176)",,
119276914,,けやき通り,tertiary,,False,True,30.156,"LINESTRING (139.5261841 35.7844605, 139.5258846 35.78434)",5.5m〜13.0m,
119277241,,,unclassified,,False,False,71.726,"LINESTRING (139.5261841 35.7844605, 139.52667 35.7839499)",,
119276914,,けやき通り,tertiary,,False,False,31.442,"LINESTRING (139.5261841 35.7844605, 139.5263371 35.7845256, 139.5264942 35.7845896)",5.5m〜13.0m,
119277227,,,unclassified,,False,False,95.03899999999999,"LINESTRING (139.5305592 35.7873838, 139.5307901 35.7875655, 139.5312287 35.7878354, 139.5313781 35.7879189)",,
119277227,,,unclassified,,False,True,54.416,"LINESTRING (139.5305592 35.7873838, 139.5302669 35.7871623, 139.530142 35.7870322)",,
511486277,,,residential,,False,False,88.998,"LINESTRING (139.5305592 35.7873838, 139.5303903 35.7875572, 139.530212 35.7877204, 139.5299387 35.7880057)",,
119277367,,,unclassified,,False,False,78.999,"LINESTRING (139.5340707 35.7884377, 139.5344722 35.7878063)",,
119277199,,,unclassified,,False,False,86.05199999999999,"LINESTRING (139.5340707 35.7884377, 139.533915 35.788727, 139.5336494 35.7891314)",,
464908876,,,unclassified,,False,True,58.831999999999994,"LINESTRING (139.5340707 35.7884377, 139.5339248 35.7884121, 139.5337577 35.7883798, 139.5334355 35.7883176)",,
