osmid,highway,oneway,reversed,length,geometry,ref,name,bridge
169528315,unclassified,False,False,189.335,"LINESTRING (130.7100067 33.8131097, 130.7098085 33.8130422, 130.7095204 33.8129836, 130.7092889 33.8129736, 130.70919 33.812996, 130.7088171 33.8133529, 130.7084749 33.8135203, 130.708253 33.8135924)",,,
169528315,unclassified,False,True,189.33499999999998,"LINESTRING (130.708253 33.8135924, 130.7084749 33.8135203, 130.7088171 33.8133529, 130.70919 33.812996, 130.7092889 33.8129736, 130.7095204 33.8129836, 130.7098085 33.8130422, 130.7100067 33.8131097)",,,
169527975,unclassified,False,True,86.619,"LINESTRING (130.7110607 33.8136657, 130.711004 33.81378, 130.710806 33.814134, 130.7107059 33.8143856)",,,
169528120,tertiary,False,False,115.42099999999999,"LINESTRING (130.7110607 33.8136657, 130.7103511 33.8133126, 130.7100067 33.8131097)",,,
169528120,tertiary,False,True,142.52100000000002,"LINESTRING (130.7110607 33.8136657, 130.7114557 33.8138788, 130.7120664 33.81408, 130.7122109 33.8141213, 130.7124589 33.8141913)",,,
169528198,unclassified,False,False,202.113,"LINESTRING (130.7110607 33.8136657, 130.711131 33.813547, 130.7112271 33.8134513, 130.7116889 33.8131282, 130.7121172 33.8128636, 130.7127221 33.812508)",,,
"[169526408, 169526402, 169526398]",primary,False,False,76.341,"LINESTRING (130.7076253 33.8139852, 130.7077158 33.814151, 130.7078705 33.8144262, 130.7079553 33.8146142)",73,直方水巻線,yes
169527609,unclassified,False,True,76.087,"LINESTRING (130.7107059 33.8143856, 130.7099099 33.81421)",,,
"[169527609, 169526567]",unclassified,False,"[False, True]",131.95499999999998,"LINESTRING (130.7107059 33.8143856, 130.7112932 33.8145102, 130.7117188 33.8146289, 130.7120314 33.8147983)",,,
169527956,unclassified,False,True,35.473,"LINESTRING (130.7107059 33.8143856, 130.7106152 33.8145993, 130.7105754 33.8146856)",,,
169527975,unclassified,False,False,86.619,"LINESTRING (130.7107059 33.8143856, 130.710806 33.814134, 130.711004 33.81378, 130.7110607 33.8136657)",,,
169527034,unclassified,False,False,90.535,"LINESTRING (130.7131628 33.8144137, 130.7126631 33.8151141)",,,
169528120,tertiary,False,False,33.842,"LINESTRING (130.7131628 33.8144137, 130.7128256 33.8142948)",,,
169528120,tertiary,False,True,7.983,"LINESTRING (130.7131628 33.8144137, 130.7132438 33.8144387)",,,
169528120,tertiary,False,False,27.989,"LINESTRING (130.713678 33.8145804, 130.713396 33.8144884)",,,
169528120,tertiary,False,True,39.819,"LINESTRING (130.713678 33.8145804, 130.7140494 33.8147621)",,,
520347798,unclassified,False,False,68.667,"LINESTRING (130.713678 33.8145804, 130.7142372 33.8141736)",,,
169528099,unclassified,False,True,108.127,"LINESTRING (130.70896 33.814766, 130.709027 33.814567, 130.709162 33.814151, 130.709202 33.81406, 130.7092805 33.8138882, 130.7092519 33.8138394)",,,
169526379,primary,False,True,112.407,"LINESTRING (130.7140494 33.8147621, 130.7133821 33.8156074)",61,小倉中間線,
169528120,tertiary,False,False,39.819,"LINESTRING (130.7140494 33.8147621, 130.713678 33.8145804)",,,
169527956,unclassified,False,False,33.295,"LINESTRING (130.7104813 33.8149707, 130.710484 33.81488, 130.7105754 33.8146856)",,,
169528051,unclassified,False,True,68.70400000000001,"LINESTRING (130.7104813 33.8149707, 130.7104675 33.8150249, 130.7105268 33.8152548, 130.710593 33.8155775)",,,
"[520347809, 169528246]",unclassified,False,"[False, True]",130.816,"LINESTRING (130.7104813 33.8149707, 130.7108647 33.8151752, 130.7111006 33.8153188, 130.7110622 33.8154644, 130.710593 33.8155775)",,,
169526567,unclassified,False,False,34.076,"LINESTRING (130.7126631 33.8151141, 130.7123452 33.8149587)",,,
169526765,unclassified,False,False,34.063,"LINESTRING (130.7126631 33.8151141, 130.7129807 33.8152697)",,,
169527034,unclassified,False,True,90.535,"LINESTRING (130.7126631 33.8151141, 130.7131628 33.8144137)",,,
169527823,unclassified,False,True,84.06800000000001,"LINESTRING (130.7126631 33.8151141, 130.7124968 33.8153408, 130.7123028 33.8156068, 130.7121692 33.8157479)",,,
169526379,primary,False,False,112.407,"LINESTRING (130.7133821 33.8156074, 130.7140494 33.8147621)",61,小倉中間線,
169526379,primary,False,True,96.985,"LINESTRING (130.7133821 33.8156074, 130.7128468 33.8163577)",61,小倉中間線,
818626301,unclassified,False,True,10.64,"LINESTRING (130.7133821 33.8156074, 130.7134766 33.8156621)",,,
818626301,unclassified,False,False,10.64,"LINESTRING (130.7134766 33.8156621, 130.7133821 33.8156074)",,,
"[818626299, 520347790]",unclassified,False,"[False, True]",230.531,"LINESTRING (130.7134766 33.8156621, 130.7129455 33.8164175, 130.7132395 33.8166271, 130.7134049 33.8168311, 130.7137542 33.8173909)",,,
818626301,unclassified,False,True,102.657,"LINESTRING (130.7134766 33.8156621, 130.7138423 33.8152437, 130.7142157 33.8155058)",,,
169526490,unclassified,False,True,96.592,"LINESTRING (130.7142157 33.8155058, 130.7141844 33.8159495, 130.7141906 33.8161965, 130.7142402 33.8163688)",,,
818626301,unclassified,False,False,102.657,"LINESTRING (130.7142157 33.8155058, 130.7138423 33.8152437, 130.7134766 33.8156621)",,,
169528051,unclassified,False,False,68.704,"LINESTRING (130.710593 33.8155775, 130.7105268 33.8152548, 130.7104675 33.8150249, 130.7104813 33.8149707)",,,
"[520347809, 169528246]",unclassified,False,"[False, True]",130.816,"LINESTRING (130.710593 33.8155775, 130.7110622 33.8154644, 130.7111006 33.8153188, 130.7108647 33.8151752, 130.7104813 33.8149707)",,,
169528051,unclassified,False,True,25.192,"LINESTRING (130.710593 33.8155775, 130.7105882 33.8156565, 130.7105743 33.8158035)",,,
818626300,unclassified,False,False,60.532,"LINESTRING (130.7113561 33.8154154, 130.711045 33.8158945)",,,
169527856,unclassified,False,False,44.649,"LINESTRING (130.7105743 33.8158035, 130.7107659 33.8158423, 130.711045 33.8158945)",,,
169527876,unclassified,False,True,89.163,"LINESTRING (130.7105743 33.8158035, 130.7105613 33.815966, 130.710572 33.816333, 130.710547 33.8166041)",,,
169528051,unclassified,False,False,25.192,"LINESTRING (130.7105743 33.8158035, 130.7105882 33.8156565, 130.710593 33.8155775)",,,
169527740,unclassified,False,True,23.059,"LINESTRING (130.711045 33.8158945, 130.7112881 33.8159415)",,,
818626300,unclassified,False,True,60.532,"LINESTRING (130.711045 33.8158945, 130.7113561 33.8154154)",,,
169527856,unclassified,False,True,44.649,"LINESTRING (130.711045 33.8158945, 130.7107659 33.8158423, 130.7105743 33.8158035)",,,
169527475,unclassified,False,True,20.053,"LINESTRING (130.7119341 33.8160109, 130.7117738 33.8161325)",,,
169527823,unclassified,False,False,36.428,"LINESTRING (130.7119341 33.8160109, 130.7121692 33.8157479)",,,
