osmid,highway,est_width,oneway,reversed,length,maxspeed,name,geometry,lanes,ref
161953365,residential,3.0m〜5.5m,False,False,44.658,,,"LINESTRING (139.4499939 35.7066139, 139.4495819 35.7063917)",,
161953497,residential,3.0m〜5.5m,False,True,34.947,,,"LINESTRING (139.4499939 35.7066139, 139.4503008 35.7068054)",,
161952545,unclassified,3.0m〜5.5m,False,False,64.832,,,"LINESTRING (139.4497674 35.7077721, 139.4503651 35.7080952)",,
161954024,tertiary,5.5m〜13.0m,False,True,76.276,30,,"LINESTRING (139.4497674 35.7077721, 139.4502975 35.707238)",,
161954407,tertiary,5.5m〜13.0m,False,False,25.165,40,,"LINESTRING (139.4497674 35.7077721, 139.4495928 35.7079485)",,
161952833,residential,3.0m〜5.5m,False,False,6.884,,,"LINESTRING (139.4583917 35.7054857, 139.4583349 35.7054444)",,
161952833,residential,3.0m〜5.5m,False,True,31.081,,,"LINESTRING (139.4583917 35.7054857, 139.4586338 35.7056844)",,
253099883,residential,,False,True,110.087,20,のいとど通り,"LINESTRING (139.4549467 35.705392, 139.4541811 35.7061625)",,
151078165,residential,,False,True,121.474,,,"LINESTRING (139.4549467 35.705392, 139.4550337 35.7056406, 139.4544339 35.7063176)",,
161954183,residential,3.0m〜5.5m,False,True,7.852,,,"LINESTRING (139.4544339 35.7063176, 139.4544934 35.7063691)",,
1213539423,residential,3.0m〜5.5m,False,False,7.852,20,,"LINESTRING (139.4544339 35.7063176, 139.4544934 35.7063691)",,
1213539423,residential,3.0m〜5.5m,False,True,28.609,20,,"LINESTRING (139.4544339 35.7063176, 139.4541811 35.7061625)",,
151078165,residential,,False,False,121.474,,,"LINESTRING (139.4544339 35.7063176, 139.4550337 35.7056406, 139.4549467 35.705392)",,
151078249,residential,,False,True,116.599,,,"LINESTRING (139.4541007 35.7074704, 139.4549217 35.706661)",,
161953342,residential,3.0m〜5.5m,False,True,55.616,,,"LINESTRING (139.4541007 35.7074704, 139.454251 35.70757, 139.4545966 35.7077666)",,
161953453,residential,3.0m〜5.5m,False,False,117.412,,,"LINESTRING (139.4541007 35.7074704, 139.453374 35.708206, 139.4533155 35.7083084)",,
151078289,residential,3.0m〜5.5m,False,True,27.655,,,"LINESTRING (139.4575731 35.7076986, 139.4574239 35.7079158)",,
161952881,residential,3.0m〜5.5m,False,False,35.212,,,"LINESTRING (139.4575731 35.7076986, 139.4579011 35.7078699)",,
161952881,residential,3.0m〜5.5m,False,True,35.632,,,"LINESTRING (139.4575731 35.7076986, 139.4572395 35.7075274)",,
