osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref
13711715,Borgarbraut,residential,30,False,False,47.56,"LINESTRING (-22.7249919 65.0728195, -22.7256958 65.0725114)",,
852467281,Borgarbraut,residential,30,False,False,67.944,"LINESTRING (-22.7249919 65.0728195, -22.72486 65.072211)",,
13711715,Borgarbraut,residential,30,False,True,30.967,"LINESTRING (-22.7249919 65.0728195, -22.7250022 65.0728685, -22.7250503 65.0730969)",,
13711715,Borgarbraut,residential,30,False,True,47.56,"LINESTRING (-22.7256958 65.0725114, -22.7249919 65.0728195)",,
32573380,Hafnargata,residential,30,False,False,12.502,"LINESTRING (-22.7274984 65.0776564, -22.7277482 65.0776959)",2,
"[1171529691, 13711719]",Skólastígur,residential,30,False,False,170.021,"LINESTRING (-22.7274984 65.0776564, -22.7275835 65.077504, -22.7276426 65.0773851, -22.7277044 65.0772131, -22.7277821 65.0770628, -22.7279397 65.0768713, -22.7281377 65.0767004, -22.7282569 65.0765811, -22.728308 65.0765376, -22.7284176 65.0764703, -22.7285528 65.0764026, -22.7288285 65.0762622)",,
32573380,Hafnargata,residential,30,False,True,43.225,"LINESTRING (-22.7274984 65.0776564, -22.726941 65.0775681, -22.7266349 65.0775196)",2,
32573380,Hafnargata,residential,30,False,True,12.502,"LINESTRING (-22.7277482 65.0776959, -22.7274984 65.0776564)",2,
13711718,Súgandiseyjargata,residential,35,False,True,73.141,"LINESTRING (-22.7277482 65.0776959, -22.727657 65.0777792, -22.7275506 65.0778255, -22.7274086 65.0778458, -22.7271907 65.0778358, -22.7267471 65.0778141, -22.7265502 65.0777898, -22.7264405 65.0777354)",,
"[13711722, 13711723]","['Hafnargata', 'Silfurgata']",residential,30,False,False,238.52000000000004,"LINESTRING (-22.7277482 65.0776959, -22.7278436 65.077711, -22.728931 65.0778832, -22.7290059 65.0778943, -22.7290852 65.0778962, -22.7291627 65.0778889, -22.7292184 65.0778771, -22.7292666 65.0778604, -22.7293052 65.0778397, -22.7293321 65.077816, -22.7295587 65.0776422, -22.7300236 65.0773224, -22.7302871 65.0771392, -22.7305602 65.0769953, -22.7310983 65.0766238)",,
13711723,Silfurgata,residential,30,False,True,97.549,"LINESTRING (-22.7332239 65.0735422, -22.7341821 65.074321)",,
48317026,Árnatún,residential,30,False,True,139.0,"LINESTRING (-22.7332239 65.0735422, -22.735994 65.0730954)",,
13711723,Silfurgata,residential,30,False,False,71.64,"LINESTRING (-22.7332239 65.0735422, -22.732515 65.0732904, -22.7321001 65.0731068)",,
1171529691,Skólastígur,residential,30,False,True,89.584,"LINESTRING (-22.7332239 65.0735422, -22.7329552 65.0736913, -22.7322143 65.0742251)",,
"[74420843, 680438086]",Smiðjustígur,residential,30,False,True,72.32400000000001,"LINESTRING (-22.7240825 65.077708, -22.723805 65.0775701, -22.7237284 65.0775321, -22.7236404 65.0774917, -22.7236044 65.0774615, -22.7235896 65.0774344, -22.7235849 65.0774164, -22.723652 65.0771326)",,
989754213,Súgandiseyjargata,primary,30,False,False,112.324,"LINESTRING (-22.7240825 65.077708, -22.7242126 65.0776863, -22.7243689 65.0776806, -22.7255778 65.0777373, -22.7256044 65.0777383, -22.7261793 65.0777685, -22.7263238 65.077762, -22.7264405 65.0777354)",2,58
48317001,Austurgata,residential,30,False,False,82.668,"LINESTRING (-22.725416 65.0771429, -22.7237728 65.0771315, -22.723652 65.0771326)",,
"[423899744, 48362694]","['Hafnargata', 'Aðalgata']",primary,30,False,False,47.681,"LINESTRING (-22.725416 65.0771429, -22.7254079 65.0772058, -22.7253975 65.0772374, -22.7253955 65.0772645, -22.7254019 65.0772761, -22.7254101 65.0772909, -22.7254321 65.0773097, -22.7254625 65.0773263, -22.7255001 65.07734, -22.7257828 65.0773847, -22.7259818 65.0774162)",2,58
48362694,Aðalgata,primary,30,False,True,78.955,"LINESTRING (-22.725416 65.0771429, -22.7254391 65.0769637, -22.7254418 65.0769427, -22.7254586 65.0768127, -22.7255074 65.0764339)",2,58
4074410,Aðalgata,primary,30,False,False,141.136,"LINESTRING (-22.7301198 65.0739212, -22.7296711 65.0740859, -22.7278491 65.074755)",2,58
48317010,Borgarbraut,residential,30,False,False,79.286,"LINESTRING (-22.7301198 65.0739212, -22.729886 65.0738088, -22.729809 65.0737719, -22.7294387 65.0735942, -22.7293637 65.0735582, -22.7290035 65.0733854)",,
182913144,Aðalgata,primary,30,False,True,129.83100000000002,"LINESTRING (-22.7301198 65.0739212, -22.7302211 65.073884, -22.7307185 65.0737014, -22.7307815 65.0736782, -22.7313191 65.0734663, -22.7315134 65.0733803, -22.7317963 65.0732504, -22.7318719 65.0732144, -22.7321001 65.0731068)",2,58
4074410,Aðalgata,primary,30,False,True,170.95499999999998,"LINESTRING (-22.7256146 65.0759584, -22.7257182 65.0758411, -22.7260217 65.07564, -22.7263647 65.0754667, -22.7268529 65.0752114, -22.7274024 65.0749462, -22.7278491 65.074755)",2,58
48362694,Aðalgata,primary,30,False,False,53.164,"LINESTRING (-22.7256146 65.0759584, -22.7255501 65.0761355, -22.7255074 65.0764339)",2,58
48362695,Víkurgata,residential,30,False,False,112.461,"LINESTRING (-22.7256146 65.0759584, -22.7255113 65.075937, -22.7254567 65.0759235, -22.725411 65.0759051, -22.7253766 65.0758827, -22.7253554 65.0758576, -22.7253489 65.0758259, -22.7253633 65.0757946, -22.7253976 65.0757662, -22.7254491 65.0757429, -22.7255057 65.0757067, -22.7255483 65.0756672, -22.7255713 65.075634, -22.7255844 65.0755999, -22.7255872 65.0755654, -22.72572 65.0751512, -22.7257294 65.0750308)",,
423899744,Hafnargata,primary,30,False,True,32.691,"LINESTRING (-22.7266349 65.0775196, -22.7259818 65.0774162)",2,58
13711721,Súgandiseyjargata,primary,30,False,False,25.973000000000003,"LINESTRING (-22.7266349 65.0775196, -22.7265545 65.077645, -22.7265133 65.0776952, -22.7264405 65.0777354)",2,58
32573380,Hafnargata,residential,30,False,False,43.225,"LINESTRING (-22.7266349 65.0775196, -22.726941 65.0775681, -22.7274984 65.0776564)",2,
13711716,Frúarstígur,residential,30,False,False,56.307,"LINESTRING (-22.7255074 65.0764339, -22.7259248 65.0764461, -22.7267071 65.0764622)",,
48362694,Aðalgata,primary,30,False,False,78.955,"LINESTRING (-22.7255074 65.0764339, -22.7254586 65.0768127, -22.7254418 65.0769427, -22.7254391 65.0769637, -22.725416 65.0771429)",2,58
48362694,Aðalgata,primary,30,False,True,53.164,"LINESTRING (-22.7255074 65.0764339, -22.7255501 65.0761355, -22.7256146 65.0759584)",2,58
48317011,Nesvegur,residential,30,False,False,220.36900000000003,"LINESTRING (-22.7332131 65.0724528, -22.7334584 65.0725096, -22.7335852 65.0725325, -22.7336604 65.0725461, -22.7338462 65.0725534, -22.734217 65.0725392, -22.7373575 65.0723127, -22.7378073 65.0722777)",,
182913144,Aðalgata,primary,30,False,False,89.582,"LINESTRING (-22.7332131 65.0724528, -22.732879 65.072678, -22.732425 65.0729274, -22.7321001 65.0731068)",2,58
"[182913144, 182913145, 565170999]","['Stykkishólmsvegur', 'Aðalgata']",primary,30,False,True,230.262,"LINESTRING (-22.7332131 65.0724528, -22.7333381 65.0723488, -22.7334348 65.0722683, -22.7335658 65.0721512, -22.7336368 65.0720746, -22.7338993 65.0717913, -22.7340572 65.0716067, -22.7341665 65.0714442, -22.7345158 65.0709798, -22.7348386 65.070503)",2,58
13711723,Silfurgata,residential,30,False,True,71.64,"LINESTRING (-22.7321001 65.0731068, -22.732515 65.0732904, -22.7332239 65.0735422)",,
182913144,Aðalgata,primary,30,False,False,129.831,"LINESTRING (-22.7321001 65.0731068, -22.7318719 65.0732144, -22.7317963 65.0732504, -22.7315134 65.0733803, -22.7313191 65.0734663, -22.7307815 65.0736782, -22.7307185 65.0737014, -22.7302211 65.073884, -22.7301198 65.0739212)",2,58
182913144,Aðalgata,primary,30,False,True,89.582,"LINESTRING (-22.7321001 65.0731068, -22.732425 65.0729274, -22.732879 65.072678, -22.7332131 65.0724528)",2,58
13711718,Súgandiseyjargata,residential,35,False,False,73.14099999999999,"LINESTRING (-22.7264405 65.0777354, -22.7265502 65.0777898, -22.7267471 65.0778141, -22.7271907 65.0778358, -22.7274086 65.0778458, -22.7275506 65.0778255, -22.727657 65.0777792, -22.7277482 65.0776959)",,
13711721,Súgandiseyjargata,primary,30,False,True,25.973,"LINESTRING (-22.7264405 65.0777354, -22.7265133 65.0776952, -22.7265545 65.077645, -22.7266349 65.0775196)",2,58
989754213,Súgandiseyjargata,primary,30,False,True,112.324,"LINESTRING (-22.7264405 65.0777354, -22.7263238 65.077762, -22.7261793 65.0777685, -22.7256044 65.0777383, -22.7255778 65.0777373, -22.7243689 65.0776806, -22.7242126 65.0776863, -22.7240825 65.077708)",2,58
13711716,Frúarstígur,residential,30,False,True,60.823,"LINESTRING (-22.7272472 65.0768557, -22.7272954 65.0766877, -22.7272957 65.0766641, -22.7272904 65.0766443, -22.7272689 65.0766203, -22.7271241 65.0765248, -22.7270617 65.0764965, -22.7269891 65.0764779, -22.7268816 65.0764645, -22.7267071 65.0764622)",,
