osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,bridge,access
407434421,True,2,1,Laluan Persekutuan 1,trunk,False,20.61,"LINESTRING (101.2607039 4.2012382, 101.2608143 4.2010891)",,
259326702,False,4,1,Laluan Persekutuan 1,trunk,False,140.505,"LINESTRING (101.2607039 4.2012382, 101.2606656 4.2013102, 101.2606345 4.2013687, 101.2605111 4.2014824, 101.2600504 4.2017262, 101.2596738 4.2019318)",,
174823264,False,,A10,Jalan Stesen,secondary,False,112.812,"LINESTRING (101.2612317 4.1975812, 101.2608839 4.1976153, 101.2602203 4.1976898)",,
"[407434419, 259326700, 407434405]",True,2,1,Laluan Persekutuan 1,trunk,False,209.094,"LINESTRING (101.2612317 4.1975812, 101.2613006 4.1981008, 101.2613337 4.1983595, 101.2613377 4.1984639, 101.261331 4.1985671, 101.2613269 4.1986136, 101.2612539 4.1991204, 101.261197 4.1994444)",yes,
540403640,False,,A10,,secondary,False,7.783,"LINESTRING (101.2612317 4.1975812, 101.2612703 4.1975762, 101.2613013 4.1975722)",,no
407434419,True,2,1,Laluan Persekutuan 1,trunk,False,41.83,"LINESTRING (101.2609015 4.2005635, 101.2607872 4.200922)",,
540331140,False,,59,Jalan Tapah - Cameron Highlands,primary,True,8.585,"LINESTRING (101.2609015 4.2005635, 101.2609754 4.2005865)",,
540403729,False,,A10,Jalan Stesen,secondary,True,81.529,"LINESTRING (101.2558215 4.1982345, 101.2558877 4.1982241, 101.2565478 4.1981209)",,
540590910,False,,,Lorong Kampung Datok,residential,False,8.059,"LINESTRING (101.261197 4.1994444, 101.2612696 4.1994477)",,
407434419,True,2,1,Laluan Persekutuan 1,trunk,False,128.815,"LINESTRING (101.261197 4.1994444, 101.261117 4.199827, 101.261054 4.2000851, 101.2609015 4.2005635)",,
540590910,False,,,Lorong Kampung Datok,residential,True,8.059,"LINESTRING (101.2612696 4.1994477, 101.261197 4.1994444)",,
"[407434404, 407434421, 407434406]",True,2,1,Laluan Persekutuan 1,trunk,False,210.543,"LINESTRING (101.2612696 4.1994477, 101.26133 4.1991286, 101.2614019 4.1986166, 101.2614097 4.198475, 101.2614006 4.1983545, 101.2613804 4.1980936, 101.2613762 4.1980521, 101.2613013 4.1975722)",yes,
407434421,True,2,1,Laluan Persekutuan 1,trunk,False,10.462,"LINESTRING (101.2610522 4.2003472, 101.2610773 4.2002565)",,
407434453,True,1,,,trunk_link,False,43.558,"LINESTRING (101.2611952 4.2007043, 101.2611884 4.2006037, 101.2611267 4.2004668, 101.2610522 4.2003472)",,
