osmid,oneway,highway,junction,reversed,length,geometry,name,ref,bridge
455561921,True,secondary,roundabout,False,16.506,"LINESTRING (100.9390141 4.7696459, 100.9390391 4.7696734, 100.9390713 4.769692, 100.9391077 4.7696997, 100.9391448 4.7696959)",,,
539142143,False,secondary,,True,342.786,"LINESTRING (100.9390141 4.7696459, 100.9387968 4.7698806, 100.9387095 4.7699732, 100.9385871 4.7701031, 100.9384551 4.7702605, 100.9383436 4.7704439, 100.9383134 4.7704937, 100.9382243 4.7707316, 100.9381124 4.7709475, 100.9380539 4.7710086, 100.9380298 4.7710338, 100.9379238 4.7711154, 100.9378372 4.7711716, 100.9377803 4.7711928, 100.9377491 4.7712045, 100.937696 4.7712234, 100.9372397 4.7713077, 100.9369917 4.7713455, 100.93693 4.7713549, 100.9367287 4.7713869)",Jalan Dato' Sagor,,
77181449,False,tertiary,,False,12.267,"LINESTRING (100.937005 4.7676958, 100.9370069 4.7675855)",,,
957924005,True,secondary,,False,112.976,"LINESTRING (100.937005 4.7676958, 100.9371678 4.7677307, 100.937296 4.7677928, 100.9374204 4.7678588, 100.9376606 4.768032, 100.9378666 4.7682106)",,,
514626871,False,tertiary,,False,169.231,"LINESTRING (100.9392532 4.7745975, 100.9377261 4.774578)",Jalan Tun Razak,,
113106903,False,tertiary,,False,215.14300000000003,"LINESTRING (100.9392532 4.7745975, 100.939251 4.7741581, 100.939249 4.7737576, 100.9392419 4.7733685, 100.9392292 4.7730176, 100.9392199 4.7726631)",Jalan Bendahara,,
514626871,False,tertiary,,True,221.277,"LINESTRING (100.9392532 4.7745975, 100.9396525 4.7745928, 100.9397721 4.7745914, 100.9399213 4.7745896, 100.9401062 4.7745874, 100.9401596 4.7745868, 100.9412496 4.7745556)",Jalan Tun Razak,,
282196929,False,unclassified,,False,10.564,"LINESTRING (100.9364955 4.7714112, 100.9365193 4.7715032)",Jalan Juragan Abdul Shukor,,
539142142,False,secondary,,False,25.997,"LINESTRING (100.9364955 4.7714112, 100.9366609 4.7713977, 100.9367287 4.7713869)",Jalan Dato' Sagor,,
539160021,False,trunk,,True,21.555,"LINESTRING (100.9413788 4.7725343, 100.9412801 4.7725804, 100.9412001 4.7726105)",,1,
539160022,False,trunk,,False,88.77000000000001,"LINESTRING (100.9413788 4.7725343, 100.9417695 4.7722754, 100.9418667 4.7722177, 100.9420587 4.7721132)",,1,
514626871,False,tertiary,,True,169.231,"LINESTRING (100.9377261 4.774578, 100.9392532 4.7745975)",Jalan Tun Razak,,
282196928,False,unclassified,,False,215.29,"LINESTRING (100.9377261 4.774578, 100.9376866 4.7727028, 100.9376885 4.7726423)",Jalan Kolej Melayu,,
514883937,False,trunk,,True,45.067,"LINESTRING (100.9421668 4.7745568, 100.9421677 4.7749621)",Jalan Daeng Selili,1,
76377805,False,tertiary,,False,101.63499999999999,"LINESTRING (100.9421668 4.7745568, 100.9415875 4.7745581, 100.9412496 4.7745556)",Jalan Tun Razak,,
514883937,False,trunk,,False,108.792,"LINESTRING (100.9421668 4.7745568, 100.9421615 4.7742639, 100.9421468 4.773756, 100.9421398 4.7735788)",Jalan Daeng Selili,1,
514883951,False,trunk,,False,169.709,"LINESTRING (100.9376885 4.7726423, 100.9392199 4.7726631)",Jalan Taiping,1,
282196928,False,unclassified,,True,215.29,"LINESTRING (100.9376885 4.7726423, 100.9376866 4.7727028, 100.9377261 4.774578)",Jalan Kolej Melayu,,
539142141,False,unclassified,,True,173.20999999999998,"LINESTRING (100.9376885 4.7726423, 100.9376838 4.7725561, 100.9376341 4.7724877, 100.9375165 4.7723718, 100.9373575 4.7722441, 100.9370261 4.771959, 100.9365883 4.7715733)",Jalan Juragan Abdul Shukor,,
514626726,False,tertiary,,True,343.36,"LINESTRING (100.9450223 4.7702144, 100.9450526 4.7700491, 100.9450657 4.7700247, 100.9450836 4.7700058, 100.9451113 4.7699866, 100.9451491 4.7699792, 100.9453597 4.7699769, 100.945401 4.7699675, 100.9454382 4.7699526, 100.9455015 4.7699104, 100.9455376 4.7698582, 100.9456015 4.7697005, 100.9456172 4.7696076, 100.9456201 4.7695103, 100.9456113 4.7694818, 100.9455969 4.7694518, 100.9455546 4.7693917, 100.9454904 4.7693225, 100.9453951 4.7692672, 100.9452409 4.7691939, 100.9450523 4.7691165, 100.9449036 4.7690279, 100.9448138 4.7689512, 100.9447449 4.7688659, 100.9446932 4.7687909, 100.9444857 4.7686335, 100.944398 4.7685843, 100.9443395 4.7685695, 100.9442797 4.7685641, 100.9440995 4.7685712, 100.9440444 4.7685586, 100.9439823 4.7685081)",Jalan Bukit Kerajaan,,
514626728,False,tertiary,,True,193.253,"LINESTRING (100.9450223 4.7702144, 100.944877 4.7703045, 100.9447919 4.7703587, 100.9446986 4.7704479, 100.9446669 4.7704783, 100.944485 4.770644, 100.9443909 4.770701, 100.9442799 4.7707579, 100.9439727 4.7708775, 100.9437319 4.771003, 100.9435496 4.7711178)",Jalan Istana,A136,
514883951,False,trunk,,False,162.059,"LINESTRING (100.9392199 4.7726631, 100.9406824 4.7726604)",Jalan Taiping,1,
514883951,False,trunk,,True,169.709,"LINESTRING (100.9392199 4.7726631, 100.9376885 4.7726423)",Jalan Taiping,1,
113106903,False,tertiary,,True,215.14299999999997,"LINESTRING (100.9392199 4.7726631, 100.9392292 4.7730176, 100.9392419 4.7733685, 100.939249 4.7737576, 100.939251 4.7741581, 100.9392532 4.7745975)",Jalan Bendahara,,
514594720,False,tertiary,,True,85.152,"LINESTRING (100.9392199 4.7726631, 100.9392064 4.7722416, 100.9392026 4.772123, 100.9391953 4.7718977)",Jalan Bendahara,,
76377805,False,tertiary,,True,101.63499999999999,"LINESTRING (100.9412496 4.7745556, 100.9415875 4.7745581, 100.9421668 4.7745568)",Jalan Tun Razak,,
514626871,False,tertiary,,False,221.277,"LINESTRING (100.9412496 4.7745556, 100.9401596 4.7745868, 100.9401062 4.7745874, 100.9399213 4.7745896, 100.9397721 4.7745914, 100.9396525 4.7745928, 100.9392532 4.7745975)",Jalan Tun Razak,,
514626872,False,tertiary,,False,64.144,"LINESTRING (100.9412496 4.7745556, 100.9412421 4.7748127, 100.9412481 4.7751323)",Jalan Raja Chulan,,
539160020,False,tertiary,,True,186.426,"LINESTRING (100.9412496 4.7745556, 100.9412172 4.7742181, 100.9412151 4.7741324, 100.9412038 4.7737704, 100.9412037 4.7737367, 100.9412019 4.7731655, 100.941204 4.7729168, 100.9412011 4.7728809)",Jalan Raja Chulan,,
113106901,False,tertiary,,False,30.067,"LINESTRING (100.9412001 4.7726105, 100.9412011 4.7728809)",Jalan Raja Chulan,,
539160018,False,trunk,,True,30.622999999999998,"LINESTRING (100.9412001 4.7726105, 100.9411023 4.7726317, 100.9409271 4.772651)",,1,
539160021,False,trunk,,False,21.555,"LINESTRING (100.9412001 4.7726105, 100.9412801 4.7725804, 100.9413788 4.7725343)",,1,
282196935,False,tertiary,,False,38.994,"LINESTRING (100.9421398 4.7735788, 100.9424917 4.7735776)",Jalan Laksamana,,
514594796,False,trunk,,False,74.378,"LINESTRING (100.9421398 4.7735788, 100.9421406 4.7729099)",Jalan Daeng Selili,1,
514883937,False,trunk,,True,108.792,"LINESTRING (100.9421398 4.7735788, 100.9421468 4.773756, 100.9421615 4.7742639, 100.9421668 4.7745568)",Jalan Daeng Selili,1,
282196936,True,tertiary,,False,28.868,"LINESTRING (100.9427551 4.7721423, 100.9425766 4.7719532)",Persiaran Sungai Perak,,
514594786,False,tertiary,,False,12.101,"LINESTRING (100.9427551 4.7721423, 100.9428638 4.7721528)",Persiaran Sungai Perak,,
514594793,False,tertiary,,True,27.285,"LINESTRING (100.9427551 4.7721423, 100.9425101 4.7721668)",,,
514883937,False,trunk,,False,45.067,"LINESTRING (100.9421677 4.7749621, 100.9421668 4.7745568)",Jalan Daeng Selili,1,
514883937,False,trunk,,True,23.056,"LINESTRING (100.9421677 4.7749621, 100.9421631 4.7751694)",Jalan Daeng Selili,1,
282196937,False,unclassified,,False,101.339,"LINESTRING (100.9421677 4.7749621, 100.9423527 4.774932, 100.9425831 4.7748991, 100.9428925 4.7748486, 100.9428981 4.7746685)",Jalan Dato Maharajalela,,
514594803,False,unclassified,,False,75.908,"LINESTRING (100.9428854 4.7735866, 100.9428764 4.772904)",Jalan Dato Maharajalela,,
"[514594800, 282196935]",False,tertiary,,False,64.925,"LINESTRING (100.9428854 4.7735866, 100.9431901 4.7735921, 100.9434712 4.7735983)",Jalan Laksamana,,
282196935,False,tertiary,,True,43.637,"LINESTRING (100.9428854 4.7735866, 100.9425722 4.7735793, 100.9424917 4.7735776)",Jalan Laksamana,,
475640585,True,unclassified,,False,120.31,"LINESTRING (100.9428854 4.7735866, 100.942893 4.7742372, 100.9428981 4.7746685)",Jalan Dato Maharajalela,,
514594786,False,tertiary,,True,12.101,"LINESTRING (100.9428638 4.7721528, 100.9427551 4.7721423)",Persiaran Sungai Perak,,
514594803,False,unclassified,,True,83.541,"LINESTRING (100.9428638 4.7721528, 100.9428764 4.772904)",Jalan Dato Maharajalela,,
282196938,False,unclassified,,False,40.224,"LINESTRING (100.9421406 4.7729099, 100.9425036 4.7729102)",Jalan Temenggong,,
514594796,False,trunk,,True,74.378,"LINESTRING (100.9421406 4.7729099, 100.9421398 4.7735788)",Jalan Daeng Selili,1,
514594790,False,trunk,,False,80.11,"LINESTRING (100.9421406 4.7729099, 100.94215 4.772546, 100.9421434 4.7724152, 100.9421487 4.7721898)",Jalan Daeng Selili,1,
282196938,False,unclassified,,True,41.316,"LINESTRING (100.9428764 4.772904, 100.9425036 4.7729102)",Jalan Temenggong,,
514594803,False,unclassified,,False,83.541,"LINESTRING (100.9428764 4.772904, 100.9428638 4.7721528)",Jalan Dato Maharajalela,,
514594803,False,unclassified,,True,75.908,"LINESTRING (100.9428764 4.772904, 100.9428854 4.7735866)",Jalan Dato Maharajalela,,
514594802,True,unclassified,,False,66.517,"LINESTRING (100.9428764 4.772904, 100.9431953 4.7729208, 100.9434761 4.772912)",Jalan Temenggong,,
