osmid,lanes,ref,highway,oneway,reversed,length,geometry,bridge
233601040,2,B33,primary,False,True,456.79200000000003,"LINESTRING (101.3475251 3.3597204, 101.3458702 3.3595705, 101.343424 3.359383)",
744744372,,,unclassified,False,True,147.694,"LINESTRING (101.3475251 3.3597204, 101.3474782 3.3603669, 101.3474148 3.361044)",
744744368,,,residential,False,False,136.104,"LINESTRING (101.3432948 3.3606002, 101.343424 3.359383)",
744744369,,,residential,False,False,36.936,"LINESTRING (101.3432948 3.3606002, 101.3436258 3.3606342)",
744744368,,,residential,False,True,136.104,"LINESTRING (101.343424 3.359383, 101.3432948 3.3606002)",
233601040,2,B33,primary,False,False,456.79200000000003,"LINESTRING (101.343424 3.359383, 101.3458702 3.3595705, 101.3475251 3.3597204)",
"[744744369, 744744370, 744744371]",,,residential,False,True,423.084,"LINESTRING (101.3474148 3.361044, 101.347375 3.3610356, 101.3473357 3.3610305, 101.3459644 3.3608748, 101.3443544 3.3607092, 101.3436258 3.3606342)",yes
744744372,,,unclassified,False,False,147.694,"LINESTRING (101.3474148 3.361044, 101.3474782 3.3603669, 101.3475251 3.3597204)",
744744372,,,unclassified,False,True,274.762,"LINESTRING (101.3474148 3.361044, 101.3473011 3.3619212, 101.3472013 3.3628156, 101.3471432 3.3634997)",
744744373,,,residential,False,False,529.534,"LINESTRING (101.3471432 3.3634997, 101.3423959 3.3630314)",
744744372,,,unclassified,False,False,274.762,"LINESTRING (101.3471432 3.3634997, 101.3472013 3.3628156, 101.3473011 3.3619212, 101.3474148 3.361044)",
"[744744372, 744749421, 744749422]",,,unclassified,False,True,269.402,"LINESTRING (101.3471432 3.3634997, 101.3470606 3.3646566, 101.3469966 3.3652175, 101.3469516 3.3656005, 101.3469315 3.3657661, 101.3469242 3.3659119)",yes
744744373,,,residential,False,True,529.534,"LINESTRING (101.3423959 3.3630314, 101.3471432 3.3634997)",
"[744744372, 744749421, 744749422]",,,unclassified,False,False,269.402,"LINESTRING (101.3469242 3.3659119, 101.3469315 3.3657661, 101.3469516 3.3656005, 101.3469966 3.3652175, 101.3470606 3.3646566, 101.3471432 3.3634997)",yes
932263029,,,residential,False,True,55.382999999999996,"LINESTRING (101.3435823 3.3611114, 101.3436185 3.3610672, 101.3436359 3.3610231, 101.3436426 3.3609588, 101.343644 3.3608865, 101.3436359 3.3608557, 101.3436252 3.3608316, 101.3436185 3.3608062, 101.3436258 3.3606342)",
744744369,,,residential,False,True,36.936,"LINESTRING (101.3436258 3.3606342, 101.3432948 3.3606002)",
"[744744369, 744744370, 744744371]",,,residential,False,False,423.084,"LINESTRING (101.3436258 3.3606342, 101.3443544 3.3607092, 101.3459644 3.3608748, 101.3473357 3.3610305, 101.347375 3.3610356, 101.3474148 3.361044)",yes
932263029,,,residential,False,False,55.382999999999996,"LINESTRING (101.3436258 3.3606342, 101.3436185 3.3608062, 101.3436252 3.3608316, 101.3436359 3.3608557, 101.343644 3.3608865, 101.3436426 3.3609588, 101.3436359 3.3610231, 101.3436185 3.3610672, 101.3435823 3.3611114)",
