osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,access,junction,maxspeed,bridge
5202670,True,5,Jalan Abdullah,primary,False,12.299,"LINESTRING (102.5694836 2.0490331, 102.5693995 2.0489612)",,,,,
24238853,True,,,primary_link,False,112.26100000000001,"LINESTRING (102.5694836 2.0490331, 102.5692929 2.0490191, 102.5689481 2.0490314, 102.5688483 2.0490514, 102.5687846 2.0490876, 102.5687373 2.0491418, 102.5687079 2.0492202, 102.5687199 2.0493628)",,,,,
30120222,True,5,Jalan Maharani,primary,False,294.7289999999999,"LINESTRING (102.5687199 2.0493628, 102.5694819 2.0499164, 102.569814 2.0501577, 102.5699097 2.0502272, 102.5703458 2.0505437, 102.5704796 2.0506408, 102.5705943 2.050724, 102.5706728 2.0507847, 102.5708655 2.0509208)",,,,,
30120230,True,,Jalan Abdullah,tertiary,False,142.281,"LINESTRING (102.5659049 2.0463931, 102.5654099 2.0460858, 102.5647812 2.0457836)",,,,,
30245611,True,,Jalan Sisi,residential,False,75.393,"LINESTRING (102.5659049 2.0463931, 102.5657307 2.0466362, 102.5657095 2.0466633, 102.5655075 2.0469426)",,,,,
30120223,True,,Jalan Maharani,tertiary,False,136.789,"LINESTRING (102.5655075 2.0469426, 102.5655874 2.047003, 102.5659801 2.0472783, 102.5662466 2.0474796, 102.5664884 2.0476845)",,,,,
901072987,True,,Jalan Majidi,tertiary,False,13.843,"LINESTRING (102.5646462 2.0457231, 102.5645316 2.0456743)",,,,,
30120223,True,,Jalan Maharani,tertiary,False,41.928,"LINESTRING (102.5681708 2.0489491, 102.5684773 2.049169)",,,,,
22944120,True,,,primary_link,False,49.976000000000006,"LINESTRING (102.5681708 2.0489491, 102.5682226 2.0490645, 102.5682729 2.0491678, 102.5682951 2.0492585, 102.5683199 2.0493705)",,,,,
583432609,True,,,tertiary,False,98.487,"LINESTRING (102.5681708 2.0489491, 102.5683271 2.0490043, 102.5684387 2.0489893, 102.5687239 2.0487603, 102.5689126 2.0486088)",,,,,
24229709,True,,,tertiary,False,125.988,"LINESTRING (102.5633149 2.0459705, 102.5637429 2.0461092, 102.5638744 2.0461523, 102.5643753 2.046368)",,,,,
