osmid,oneway,highway,reversed,length,geometry,name,lanes,junction,ref,access
99864523,True,residential,False,110.92600000000002,"LINESTRING (102.2397703 6.1278456, 102.2396323 6.1278543, 102.2394381 6.1278666, 102.2390862 6.1278889, 102.2387688 6.1279053)",,,,,
905314904,True,tertiary,False,42.005,"LINESTRING (102.2397703 6.1278456, 102.2397904 6.127985, 102.2398284 6.1282189)",Jalan Doktor,,,,
99866114,True,secondary,False,104.76400000000001,"LINESTRING (102.2395063 6.1252996, 102.239145 6.1252884, 102.2386003 6.1252601, 102.2385597 6.125258)",Jalan Hospital,,,,
905314903,True,tertiary,False,39.367,"LINESTRING (102.2395063 6.1252996, 102.2395844 6.1253632, 102.2396064 6.1254226, 102.2396139 6.1254829, 102.2396139 6.1256125)",Jalan Doktor,,,,
322793444,True,secondary,False,65.696,"LINESTRING (102.2374604 6.1250819, 102.2373453 6.125143, 102.2372206 6.1251883, 102.2370851 6.1252083, 102.2368938 6.1252403)",Jalan Gajah Mati,,,,
868589590,True,secondary,False,60.567,"LINESTRING (102.2374604 6.1250819, 102.2373667 6.1253484, 102.2373265 6.1255177, 102.2373106 6.1256047)",Bulatan Tuan Padang,2,roundabout,,
"[175973361, 99866109]",True,tertiary,False,477.338,"LINESTRING (102.24252 6.1250729, 102.2425378 6.1250719, 102.2428403 6.1250538, 102.2441642 6.1249783, 102.2442003 6.1249363, 102.2442231 6.1248937, 102.2442446 6.1248416, 102.2442533 6.1247943, 102.2442559 6.1247262, 102.244241 6.1238731, 102.2442367 6.1236923, 102.2442099 6.1225548, 102.244211 6.1225, 102.2442102 6.1223961, 102.2442074 6.1223476)",Jalan Hospital,"['1', '2']",,,
175969875,True,secondary,False,9.748,"LINESTRING (102.2422097 6.1276024, 102.2422043 6.1275149)",Jalan Mahmood,2,,,
1268557871,False,secondary,True,87.014,"LINESTRING (102.2429955 6.1299973, 102.2427384 6.1292577)",Jalan Kebun Sultan,2,,D2,
99866129,True,tertiary,False,76.893,"LINESTRING (102.2429955 6.1299973, 102.2425765 6.1300602, 102.2423069 6.1300941)",Jalan Pintu Pong,,,,
175830838,True,residential,False,76.522,"LINESTRING (102.2411194 6.1302626, 102.2411102 6.1302047, 102.2410111 6.1295829)",,,,,
42708036,True,residential,False,105.309,"LINESTRING (102.2400731 6.1297476, 102.2410111 6.1295829)",,,,,
176428039,True,tertiary,False,49.162,"LINESTRING (102.2400731 6.1297476, 102.2400006 6.1294361, 102.2399517 6.1293791, 102.2399242 6.1293403)",Jalan Parit Dalam,,,,
175830838,True,residential,False,27.804,"LINESTRING (102.2410111 6.1295829, 102.2409746 6.1293355)",,,,,
99850808,True,tertiary,False,78.279,"LINESTRING (102.2374919 6.1291436, 102.2378186 6.1291071, 102.2381957 6.1290668)",Jalan Padang Garong,4,,,
127598730,True,tertiary,False,76.167,"LINESTRING (102.2374919 6.1291436, 102.2375321 6.1294773, 102.2375657 6.1298246)",Jalan Temenggong,3,,,
99850808,True,tertiary,False,86.255,"LINESTRING (102.2388594 6.1288212, 102.2391422 6.128714, 102.2395916 6.1285535)",Jalan Padang Garong,4,,,
99864524,True,residential,False,102.439,"LINESTRING (102.2388594 6.1288212, 102.2387815 6.1282366, 102.2387688 6.1279053)",Jalan Dato Pati,,,,
99864524,True,residential,False,45.747,"LINESTRING (102.2387688 6.1279053, 102.2387334 6.1274954)",Jalan Dato Pati,,,,
99850807,True,residential,False,73.394,"LINESTRING (102.2374274 6.1280061, 102.2380895 6.1279583)",Jalan Hilir Pasar,,,,
127598730,True,tertiary,False,19.619,"LINESTRING (102.2374274 6.1280061, 102.2374399 6.1281821)",Jalan Temenggong,3,,,
42708345,True,secondary,False,83.72,"LINESTRING (102.2361053 6.1283125, 102.2360517 6.1280448, 102.2359839 6.1275696)",Jalan Sultanah Zainab,,,,
751839020,True,tertiary,False,68.079,"LINESTRING (102.2362457 6.1292831, 102.2368576 6.1292146)",Jalan Tok Hakim,,,,
42708345,True,secondary,False,109.03900000000002,"LINESTRING (102.2362457 6.1292831, 102.2361896 6.1289168, 102.2361437 6.128579, 102.2361053 6.1283125)",Jalan Sultanah Zainab,,,,
175830832,True,tertiary,False,37.583,"LINESTRING (102.2398668 6.1284553, 102.2399267 6.128788)",Jalan Parit Dalam,,,,
99850808,True,tertiary,False,34.551,"LINESTRING (102.2398668 6.1284553, 102.2399827 6.1284053, 102.2401566 6.1283392)",Jalan Padang Garong,4,,,
127598722,True,tertiary,False,102.433,"LINESTRING (102.2384728 6.1296371, 102.2375657 6.1298246)",Jalan Buluh Kubu,,,,
794582533,True,unclassified,False,68.355,"LINESTRING (102.2384728 6.1296371, 102.2383886 6.1290281)",,,,,
127598722,True,tertiary,False,163.825,"LINESTRING (102.2399242 6.1293403, 102.2384728 6.1296371)",Jalan Buluh Kubu,,,,
176428046,True,secondary,False,28.26,"LINESTRING (102.2359597 6.1272404, 102.2358955 6.1269944)",,,,,
"[388401596, 175871934]",True,residential,False,161.468,"LINESTRING (102.2359597 6.1272404, 102.2362037 6.1271651, 102.2366893 6.1269939, 102.2369708 6.1268773, 102.2369944 6.1268676, 102.2372423 6.1267742, 102.2373361 6.126766)","['Jalan Che Su', 'Jalan Cina Cabang']",1,,,
868589590,True,secondary,False,6.451,"LINESTRING (102.2379295 6.125145, 102.2379181 6.1250881)",Bulatan Tuan Padang,2,roundabout,,
868589590,True,secondary,False,12.161000000000001,"LINESTRING (102.2375233 6.1249934, 102.2374834 6.1250368, 102.2374604 6.1250819)",Bulatan Tuan Padang,2,roundabout,,
99864524,True,residential,False,24.976,"LINESTRING (102.2387334 6.1274954, 102.2387215 6.1272711)",Jalan Dato Pati,,,,
127598724,True,residential,False,62.4,"LINESTRING (102.2387334 6.1274954, 102.2381703 6.1275335)",Jalan Hulu Pasar,,,,
"[887489376, 127598709]",True,secondary,False,49.309000000000005,"LINESTRING (102.2379678 6.1255868, 102.2379411 6.1252642, 102.2379295 6.125145)","['Bulatan Tuan Padang', 'Jalan Sultan Ibrahim']",2,roundabout,,
127598730,True,tertiary,False,123.83,"LINESTRING (102.2373153 6.125653, 102.2373224 6.125932, 102.2373147 6.1260692, 102.2373361 6.126766)",Jalan Temenggong,3,,,
"[127598709, 868589590]",True,secondary,False,110.12299999999999,"LINESTRING (102.2373153 6.125653, 102.2373578 6.1257509, 102.2373855 6.1258124, 102.2374317 6.1258697, 102.2375087 6.1259093, 102.2376168 6.1259326, 102.2377266 6.1259196, 102.2378262 6.1258718, 102.2379047 6.1257945, 102.2379384 6.1256815, 102.2379678 6.1255868)",Bulatan Tuan Padang,2,roundabout,,
762013553,True,tertiary,False,132.361,"LINESTRING (102.2375657 6.1298246, 102.2372263 6.1298546, 102.2363732 6.1299299)",Jalan Buluh Kubu,,,,
175830836,False,residential,False,67.851,"LINESTRING (102.2407931 6.1288453, 102.2413969 6.1287361)",,,,,
127598720,True,residential,False,86.596,"LINESTRING (102.2407931 6.1288453, 102.2405135 6.1289114, 102.2400451 6.1290732)",,,,,
127598730,True,tertiary,False,107.06899999999999,"LINESTRING (102.2374399 6.1281821, 102.2374478 6.1283228, 102.237474 6.1288086, 102.2374919 6.1291436)",Jalan Temenggong,3,,,
751839021,True,residential,False,73.184,"LINESTRING (102.2374399 6.1281821, 102.2370991 6.1282175, 102.2367805 6.1282383)",Jalan Tengku Petra Semerak,,,,
127598730,True,tertiary,False,47.707,"LINESTRING (102.2373796 6.1275797, 102.2374274 6.1280061)",Jalan Temenggong,3,,,
1236559617,True,residential,False,80.12,"LINESTRING (102.2373796 6.1275797, 102.2374161 6.1275458, 102.2379871 6.1275073, 102.2380584 6.1274342)",,,,,
127598721,False,unclassified,True,28.972,"LINESTRING (102.2363732 6.1299299, 102.2361131 6.1299616)",Jalan Tengku Chik,,,,
42708345,True,secondary,False,73.3,"LINESTRING (102.2363732 6.1299299, 102.2363214 6.1296388, 102.2362457 6.1292831)",Jalan Sultanah Zainab,,,,
127598721,False,unclassified,False,67.983,"LINESTRING (102.2355035 6.1300416, 102.2356812 6.1300164, 102.2361131 6.1299616)",Jalan Tengku Chik,,,,
175969885,True,unclassified,False,45.913000000000004,"LINESTRING (102.2355983 6.1293522, 102.2356339 6.1293485, 102.2360113 6.129309)",Jalan Tok Hakim,,,,
175830836,False,residential,True,46.706,"LINESTRING (102.2418184 6.1287079, 102.2413969 6.1287361)",,,,,
157569299,True,residential,False,38.294,"LINESTRING (102.2419161 6.1290383, 102.2418184 6.1287079)",,,,,
