osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,access
748618128,residential,False,False,165.495,"LINESTRING (115.0107738 4.7074252, 115.0096657 4.707494, 115.0095512 4.707521, 115.0092959 4.7075935)",,,,,
767124100,trunk,False,False,36.294,"LINESTRING (115.0092959 4.7075935, 115.0091777 4.7072891)",2,1-87,Jalan Pandaruan,80,yes
748618128,residential,False,True,165.495,"LINESTRING (115.0092959 4.7075935, 115.0095512 4.707521, 115.0096657 4.707494, 115.0107738 4.7074252)",,,,,
765616047,residential,False,True,213.47200000000004,"LINESTRING (115.0110814 4.7070698, 115.0107971 4.7070965, 115.0099261 4.7071345, 115.0095984 4.7071666, 115.0094528 4.7071923, 115.0091777 4.7072891)",,,,,
767124100,trunk,False,False,16.261,"LINESTRING (115.0091777 4.7072891, 115.0091213 4.7071541)",2,1-87,Jalan Pandaruan,80,yes
767124100,trunk,False,True,36.294,"LINESTRING (115.0091777 4.7072891, 115.0092959 4.7075935)",2,1-87,Jalan Pandaruan,80,yes
765616047,residential,False,False,213.47200000000004,"LINESTRING (115.0091777 4.7072891, 115.0094528 4.7071923, 115.0095984 4.7071666, 115.0099261 4.7071345, 115.0107971 4.7070965, 115.0110814 4.7070698)",,,,,
826575406,residential,False,True,40.001,"LINESTRING (115.0084931 4.707495, 115.0086639 4.7073286, 115.0087207 4.7072849, 115.0087653 4.7072616)",,,,,
826575406,residential,False,True,41.223,"LINESTRING (115.0087653 4.7072616, 115.0091213 4.7071541)",,,,,
826575406,residential,False,False,40.001000000000005,"LINESTRING (115.0087653 4.7072616, 115.0087207 4.7072849, 115.0086639 4.7073286, 115.0084931 4.707495)",,,,,
767124100,trunk,False,True,16.261,"LINESTRING (115.0091213 4.7071541, 115.0091777 4.7072891)",2,1-87,Jalan Pandaruan,80,yes
826575406,residential,False,False,41.223,"LINESTRING (115.0091213 4.7071541, 115.0087653 4.7072616)",,,,,
