osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge
750602162,,,residential,False,True,29.463,"LINESTRING (102.6528262 2.0386591, 102.6528637 2.0389214)",,
769242410,,,residential,False,True,109.30799999999998,"LINESTRING (102.6528262 2.0386591, 102.6525258 2.0386789, 102.6520242 2.0387224, 102.6520027 2.0387278, 102.6519873 2.0387485, 102.6519853 2.038778, 102.6519942 2.0388791)",,
769242410,,,residential,False,False,14.298,"LINESTRING (102.6520054 2.0390072, 102.6519942 2.0388791)",,
769242411,,,residential,False,True,95.854,"LINESTRING (102.6520054 2.0390072, 102.6528637 2.0389214)",,
769242410,,,residential,False,True,125.455,"LINESTRING (102.6520054 2.0390072, 102.6520121 2.0391788, 102.6520161 2.0392136, 102.6520309 2.0392592, 102.6520443 2.0392699, 102.6520711 2.0392712, 102.6523313 2.0392525, 102.6528986 2.0392056)",,
750602162,,,residential,False,False,31.839,"LINESTRING (102.6528986 2.0392056, 102.6528637 2.0389214)",,
750602162,,,residential,False,True,35.319,"LINESTRING (102.6528986 2.0392056, 102.6529402 2.0395205)",,
769242410,,,residential,False,False,125.45500000000001,"LINESTRING (102.6528986 2.0392056, 102.6523313 2.0392525, 102.6520711 2.0392712, 102.6520443 2.0392699, 102.6520309 2.0392592, 102.6520161 2.0392136, 102.6520121 2.0391788, 102.6520054 2.0390072)",,
750602162,,,residential,False,False,29.463,"LINESTRING (102.6528637 2.0389214, 102.6528262 2.0386591)",,
750602162,,,residential,False,True,31.839,"LINESTRING (102.6528637 2.0389214, 102.6528986 2.0392056)",,
769242411,,,residential,False,False,95.854,"LINESTRING (102.6528637 2.0389214, 102.6520054 2.0390072)",,
816786949,,,residential,False,False,58.504,"LINESTRING (102.6525539 2.0415416, 102.6530723 2.0414498)",,
750602162,,,residential,False,False,75.582,"LINESTRING (102.6525539 2.0415416, 102.6525205 2.0411831, 102.6524909 2.0408648)",,
750602162,,,residential,False,True,99.603,"LINESTRING (102.6525539 2.0415416, 102.6525794 2.0418452, 102.652629 2.0424342)",,
25205789,24,Jalan Bakri,primary,False,False,9.511,"LINESTRING (102.6559599 2.0418461, 102.6558758 2.041862)",,
25205789,24,Jalan Bakri,primary,False,True,70.496,"LINESTRING (102.6559599 2.0418461, 102.6562165 2.0417976, 102.6565846 2.0417359)",,
"[1079236765, 1057739055]",,,unclassified,False,True,82.479,"LINESTRING (102.6559599 2.0418461, 102.6559452 2.0417401, 102.6565705 2.0416288)",,
816786949,,,residential,False,True,58.504,"LINESTRING (102.6530723 2.0414498, 102.6525539 2.0415416)",,
817079511,,,residential,False,True,28.509,"LINESTRING (102.6533309 2.0395332, 102.6530791 2.0395823)",,
817079509,,,residential,False,False,118.17699999999999,"LINESTRING (102.6533309 2.0395332, 102.6532321 2.038874, 102.6532051 2.0387267, 102.6531842 2.0387118, 102.6531425 2.0387088, 102.6529652 2.0387345)",,
817079511,,,residential,False,False,76.33,"LINESTRING (102.6533309 2.0395332, 102.6539198 2.0394317, 102.6540077 2.039416)",,
817079511,,,residential,False,True,76.33,"LINESTRING (102.6540077 2.039416, 102.6539198 2.0394317, 102.6533309 2.0395332)",,
750602163,,,unclassified,False,True,82.879,"LINESTRING (102.6530791 2.0395823, 102.6531762 2.0403213)",,
817079511,,,residential,False,False,28.509,"LINESTRING (102.6530791 2.0395823, 102.6533309 2.0395332)",,
750602163,,,unclassified,False,False,95.118,"LINESTRING (102.6530791 2.0395823, 102.6530367 2.0392592, 102.6529652 2.0387345)",,
769242410,,,residential,False,True,14.298,"LINESTRING (102.6519942 2.0388791, 102.6520054 2.0390072)",,
817079516,,,unclassified,False,True,102.377,"LINESTRING (102.6519942 2.0388791, 102.651079 2.0389847)",,
769242410,,,residential,False,False,109.30799999999999,"LINESTRING (102.6519942 2.0388791, 102.6519853 2.038778, 102.6519873 2.0387485, 102.6520027 2.0387278, 102.6520242 2.0387224, 102.6525258 2.0386789, 102.6528262 2.0386591)",,
763211613,,,unclassified,False,False,108.98,"LINESTRING (102.651079 2.0389847, 102.6510251 2.0380061)",,
817079516,,,unclassified,False,False,102.377,"LINESTRING (102.651079 2.0389847, 102.6519942 2.0388791)",,
763211613,,,unclassified,False,True,419.65799999999996,"LINESTRING (102.651079 2.0389847, 102.6511344 2.0399903, 102.651188 2.0409506, 102.6512209 2.04149, 102.6512168 2.0415564, 102.6512081 2.0416133, 102.6511887 2.0416757, 102.6511625 2.0417212, 102.651131 2.0417668, 102.6510921 2.0418352, 102.6510733 2.0418821, 102.6510492 2.0419491, 102.6510492 2.0420469, 102.6510519 2.0421354, 102.6510733 2.0427157)",,
818623497,,,residential,False,False,44.677,"LINESTRING (102.6500474 2.0455383, 102.6500943 2.0458505, 102.6501024 2.0458666, 102.6501542 2.0459108)",,
651522458,,,unclassified,False,False,41.834,"LINESTRING (102.6516897 2.0443743, 102.6517584 2.0447442)",,
651522458,,,unclassified,False,True,27.708,"LINESTRING (102.6516897 2.0443743, 102.6516442 2.0441293)",,
956460947,,,residential,False,True,35.582,"LINESTRING (102.6516897 2.0443743, 102.6513751 2.0444339)",,
956460947,,,residential,False,False,35.582,"LINESTRING (102.6513751 2.0444339, 102.6516897 2.0443743)",,
750602163,,,unclassified,False,True,95.118,"LINESTRING (102.6529652 2.0387345, 102.6530367 2.0392592, 102.6530791 2.0395823)",,
817079509,,,residential,False,True,118.177,"LINESTRING (102.6529652 2.0387345, 102.6531425 2.0387088, 102.6531842 2.0387118, 102.6532051 2.0387267, 102.6532321 2.038874, 102.6533309 2.0395332)",,
