osmid,oneway,highway,reversed,length,geometry,name,bridge,lanes,junction,ref
5022430,True,primary_link,False,88.459,"LINESTRING (101.5188882 3.0720784, 101.5187788 3.072235, 101.5186976 3.0723151, 101.5185568 3.0724034, 101.5184201 3.0724423, 101.5182411 3.0724799)",,,,,
"[399673497, 399673492, 23780286]",True,primary,False,169.019,"LINESTRING (101.5188882 3.0720784, 101.5188278 3.0724381, 101.5186996 3.0729891, 101.518626 3.0732801, 101.5185551 3.0735608)",Persiaran Sultan,yes,,,
"[972787337, 460060791]",True,secondary,False,82.994,"LINESTRING (101.5182411 3.0724799, 101.5179853 3.0724039, 101.5175643 3.072271, 101.517527 3.0722595)",Persiaran Perbandaran,,,,
5022449,True,secondary,False,68.843,"LINESTRING (101.5159914 3.0724727, 101.5159319 3.0727654, 101.5159373 3.072827, 101.5159522 3.0728897, 101.515983 3.0729801, 101.5160086 3.0730215, 101.5160465 3.0730542)",Jalan Majlis,,,,
22732522,True,secondary,False,170.903,"LINESTRING (101.5159914 3.0724727, 101.5157894 3.0728618, 101.5156964 3.0730091, 101.5155033 3.0733149, 101.51518 3.0737762)",Persiaran Tasik,,,,
5022449,True,secondary,False,116.753,"LINESTRING (101.5160465 3.0730542, 101.5161076 3.0730949, 101.5161608 3.0731182, 101.5162151 3.0731268, 101.516263 3.0731246, 101.5164876 3.0730768, 101.5165536 3.0730725, 101.5166344 3.0730814, 101.5167296 3.0731148, 101.5169125 3.0732322, 101.5169784 3.0732583, 101.5170287 3.0732648)",Jalan Majlis,,,,
5022449,True,secondary,False,48.185,"LINESTRING (101.5170287 3.0732648, 101.5170922 3.0732408, 101.5171506 3.0731767, 101.5172503 3.0729162)",Jalan Majlis,,,,
27206973,True,tertiary,False,50.81100000000001,"LINESTRING (101.5170287 3.0732648, 101.5170914 3.073337, 101.517106 3.0733385, 101.5171347 3.0733444, 101.5171668 3.0733398, 101.5172319 3.073314, 101.5172842 3.0732963, 101.5173408 3.0732904, 101.5174439 3.0732837)",,,,,
23042546,True,secondary,False,454.096,"LINESTRING (101.5173552 3.0724573, 101.5173986 3.0724014, 101.5174612 3.0723672, 101.5175394 3.0723616, 101.5179635 3.0724889, 101.5182281 3.0725647, 101.5191023 3.0727461, 101.5200452 3.0729694, 101.5205518 3.0730638, 101.5209389 3.0731281, 101.5213143 3.0731946)",Persiaran Perbandaran,,,,
26818385,True,secondary,False,61.418000000000006,"LINESTRING (101.5173552 3.0724573, 101.5172846 3.0723046, 101.5171963 3.0722404, 101.5170285 3.072174, 101.5169574 3.0721111)",,,,,
460060791,True,secondary,False,128.032,"LINESTRING (101.519367 3.0727284, 101.5182411 3.0724799)",Persiaran Perbandaran,,,,
5022470,True,primary_link,False,84.25,"LINESTRING (101.519367 3.0727284, 101.5191775 3.0725817, 101.5190994 3.0724985, 101.5190403 3.0723264, 101.5190166 3.0721054)",,,,,
"[399673472, 399673475, 399673483, 399673486, 399673494]",True,primary,False,243.58800000000002,"LINESTRING (101.5190166 3.0721054, 101.5190488 3.0719545, 101.519124 3.0715555, 101.519212 3.0710888, 101.5192297 3.0710035, 101.5192898 3.0707139, 101.5194642 3.0699612)",Persiaran Sultan,yes,3,,
"[1236532255, 14367126, 14367127]",True,secondary,False,257.43399999999997,"LINESTRING (101.5207869 3.0711415, 101.5206703 3.0712057, 101.5206162 3.0713001, 101.5205194 3.0717128, 101.5204518 3.0720012, 101.5212089 3.0721866, 101.5213569 3.0722228, 101.5213646 3.0722247, 101.5217087 3.0723006, 101.5217703 3.0723142)",Jalan 14/1,,2,,
14367131,True,secondary,False,78.596,"LINESTRING (101.5207869 3.0711415, 101.5203891 3.0710606, 101.5200933 3.0710004)",Jalan 14/2,,,,
20265964,True,primary,False,100.759,"LINESTRING (101.5180646 3.0779867, 101.5171845 3.0777659)",Bulatan Setia Jasa,,,roundabout,
"[20267475, 23055380]",True,primary_link,False,135.32299999999998,"LINESTRING (101.5180646 3.0779867, 101.5179557 3.0776371, 101.5179009 3.076788)",,,,,
20265960,True,primary,False,379.116,"LINESTRING (101.5169481 3.0777887, 101.5166701 3.0775866, 101.5164065 3.0773538, 101.5158012 3.0768406, 101.5152379 3.0764207, 101.5142615 3.0756876)",Persiaran Masjid,,2,,BSA4
20265964,True,primary,False,36.367000000000004,"LINESTRING (101.5169481 3.0777887, 101.5168691 3.077818, 101.5168308 3.0778441, 101.5167564 3.0779065, 101.5166934 3.0779837)",Bulatan Setia Jasa,,,roundabout,
6104016,True,unclassified,False,238.016,"LINESTRING (101.517527 3.0722595, 101.5174851 3.0721907, 101.5174578 3.072103, 101.517476 3.0720073, 101.5175129 3.0718704, 101.5176955 3.0711936, 101.5177029 3.0711639, 101.5177679 3.0709288, 101.5178507 3.070616, 101.5179146 3.0703753, 101.517928 3.0701948)",Jalan Perbandaran,,,,
972787337,True,secondary,False,65.607,"LINESTRING (101.517527 3.0722595, 101.5172012 3.0721593, 101.5170773 3.0721212, 101.5169574 3.0721111)",Persiaran Perbandaran,,,,
26818375,True,tertiary,False,23.855,"LINESTRING (101.5178031 3.0736505, 101.5177573 3.0738601)",,,,,
27206970,True,tertiary,False,31.060000000000002,"LINESTRING (101.5174439 3.0732837, 101.5175611 3.0733546, 101.5176279 3.0734072, 101.5176731 3.0734429)",,,,,
27206972,True,tertiary,False,53.876000000000005,"LINESTRING (101.5174439 3.0732837, 101.5173079 3.0732322, 101.5172842 3.0732111, 101.517264 3.0731883, 101.5172454 3.0731512, 101.5172392 3.0730787, 101.5172503 3.0729162)",,,,,
