osmid,bridge,oneway,ref,name,highway,reversed,length,lanes,geometry,maxspeed
"[226713187, 495778238, 362466287]",yes,True,53,Jalan Rasah,trunk,False,279.38599999999997,2,"LINESTRING (101.9424424 2.7165502, 101.942581 2.7167829, 101.9427163 2.7169929, 101.9434917 2.7181014, 101.9437787 2.7185043, 101.9438394 2.7185503, 101.9439061 2.718569)",
"[495778246, 495778247]",yes,True,,,trunk_link,False,302.1499999999999,1,"LINESTRING (101.9424424 2.7165502, 101.9425197 2.7167823, 101.9426061 2.7169424, 101.9426624 2.7170469, 101.9428151 2.7172889, 101.9428636 2.7173899, 101.9428743 2.7174702, 101.9428716 2.7175426, 101.9428529 2.7176122, 101.9428099 2.7176846, 101.9427643 2.7177355, 101.9426832 2.7178014, 101.9423799 2.7180289, 101.9421609 2.718185, 101.9418919 2.7184203, 101.9416892 2.7186235)",
1119299026,,True,1,Jalan Dato' Bandar Tunggal,trunk,False,79.7,4,"LINESTRING (101.9402275 2.7199707, 101.9401339 2.7202976, 101.9400891 2.7204544, 101.9400315 2.7206602)",
1234589168,,True,1,Jalan Dato' Bandar Tunggal,trunk,False,27.488,4,"LINESTRING (101.9397269 2.7217578, 101.9396618 2.7219963)",
605525503,,True,241,Jalan Sungai Ujong,trunk,False,165.01999999999998,2,"LINESTRING (101.9397269 2.7217578, 101.9392999 2.7216532, 101.9390666 2.7215961, 101.9388793 2.7215502, 101.9386919 2.7215043, 101.9382839 2.7214044)",
42412297,,True,1,,trunk_link,False,258.232,,"LINESTRING (101.941902 2.7203274, 101.9419661 2.7200484, 101.9419724 2.7199957, 101.9419637 2.719946, 101.9419242 2.7199093, 101.9418639 2.7198835, 101.9410288 2.7196216, 101.940881 2.719609, 101.9407281 2.7196252, 101.9405951 2.7196461, 101.9404891 2.7196865, 101.9403867 2.7197648, 101.9403089 2.7198553, 101.9402275 2.7199707)",
1160893282,,True,1,Jalan Za'aba,trunk,False,87.438,3,"LINESTRING (101.941902 2.7203274, 101.9419764 2.7201725, 101.9420494 2.7200764, 101.9421021 2.7200417, 101.9421577 2.7200196, 101.9422471 2.7200051, 101.9423541 2.7200001, 101.9425273 2.7200147)",70
46037033,,True,1,Jalan Yam Tuan,trunk,False,51.238,4,"LINESTRING (101.9417539 2.7207638, 101.941902 2.7203274)",
"[42412296, 497213571]",,False,,Jalan Dato Hamzah,secondary,True,283.54400000000004,,"LINESTRING (101.9417539 2.7207638, 101.9420823 2.7208792, 101.9421441 2.7209097, 101.9421929 2.7209407, 101.9422162 2.7209555, 101.9422872 2.7210081, 101.9423963 2.7211025, 101.9425457 2.721255, 101.9427421 2.7214706, 101.9428745 2.721642, 101.9429652 2.7217837, 101.9430272 2.7218799, 101.9431287 2.7220679, 101.9432158 2.7222786, 101.9433288 2.722631)",
43499609,,True,,Jalan Dato A.S Dawood,tertiary,False,350.09200000000004,,"LINESTRING (101.9434897 2.7192197, 101.9435509 2.7192264, 101.9436228 2.7192384, 101.9436779 2.7192638, 101.9437209 2.7192986, 101.9437582 2.7193517, 101.9438079 2.7194328, 101.9438493 2.7195357, 101.9438727 2.7195991, 101.9438848 2.71965, 101.9438906 2.7196961, 101.9438727 2.7200716, 101.9438741 2.7202098, 101.9438812 2.7203113, 101.9439016 2.7204131, 101.943944 2.7205314, 101.9440271 2.7206995, 101.944087 2.7208094, 101.9442144 2.7210183, 101.9446113 2.7216015, 101.9448174 2.7218886)",
