osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,lanes,junction,bridge
573779280,False,Jalan Datuk Haji Awang Daud Bin Awang Matusin,primary,50,True,32.77,,"LINESTRING (115.4072578 4.8593007, 115.4069624 4.859286)",,,
573779281,False,Jalan Datuk Haji Awang Daud Bin Awang Matusin,primary,50,False,9.063,,"LINESTRING (115.4072578 4.8593007, 115.4073396 4.8593012)",,,
573779289,False,Jalan Punang,tertiary,70,True,30.525,1,"LINESTRING (115.4072578 4.8593007, 115.4071709 4.8595612)",,,
261993813,False,Jalan Lawas Damit,primary,,False,22.971,,"LINESTRING (115.4075205 4.8593093, 115.4075829 4.8591123)",,,
573779282,False,Jalan Datuk Haji Awang Daud Bin Awang Matusin,primary,50,True,20.063,,"LINESTRING (115.4075205 4.8593093, 115.4073396 4.8593012)",,,
"[573779283, 573779285]",False,Jalan Datuk Haji Awang Daud Bin Awang Matusin,primary,50,False,28.125999999999998,,"LINESTRING (115.4075205 4.8593093, 115.4076811 4.8593276, 115.4077725 4.8593397)",,,
263159847,False,Jalan Bunga Raya,residential,,False,86.60700000000001,,"LINESTRING (115.4068145 4.8609727, 115.4071213 4.8612746, 115.4072971 4.8614355, 115.4073769 4.8615135)",,,
264737908,True,,residential,,False,64.35499999999999,,"LINESTRING (115.4068145 4.8609727, 115.4070747 4.8607202, 115.4072187 4.8605576)",,,
573779289,False,Jalan Punang,tertiary,70,False,114.913,1,"LINESTRING (115.4068145 4.8609727, 115.4069161 4.8605895, 115.4070777 4.8599731)",,,
1131081842,False,Jalan Punang,tertiary,70,True,89.658,1,"LINESTRING (115.4068145 4.8609727, 115.4067019 4.8611264, 115.4065074 4.8613689, 115.4064316 4.8614685, 115.4063331 4.8616201)",,,
1131081842,False,Jalan Punang,tertiary,70,False,29.135,1,"LINESTRING (115.4061818 4.8618344, 115.4063331 4.8616201)",,,
265398555,False,,residential,,False,139.343,,"LINESTRING (115.4061818 4.8618344, 115.4060079 4.8617355, 115.4057737 4.861599, 115.4051274 4.8611531)",,,
1131081844,True,,tertiary,,False,248.214,,"LINESTRING (115.4061818 4.8618344, 115.406097 4.8619102, 115.4059314 4.8621903, 115.4058274 4.8623507, 115.405755 4.8624397, 115.4056133 4.862581, 115.4054145 4.8627651, 115.4051111 4.863011, 115.405081 4.8630353, 115.404612 4.8633949)",2,,
261995587,True,Pulau Salam Roundabout,primary,40,False,2.749,,"LINESTRING (115.4101885 4.8620511, 115.410213 4.8620472)",,roundabout,
261995587,True,Pulau Salam Roundabout,primary,40,False,35.256,,"LINESTRING (115.4104189 4.8619278, 115.4104551 4.8618451, 115.4104622 4.8617552, 115.4104393 4.8616679, 115.4104176 4.8616268)",,roundabout,
263159856,True,,unclassified,,False,33.259,,"LINESTRING (115.4104189 4.8619278, 115.4105943 4.8619141, 115.4107185 4.8619108)",,,
263159855,True,Jalan Datuk Haji Awang Daud Bin Awang Matusin,primary,,False,17.413,,"LINESTRING (115.4103353 4.861551, 115.4102538 4.8614171)",,,
261995587,True,Pulau Salam Roundabout,primary,40,False,35.42,,"LINESTRING (115.4103353 4.861551, 115.4102322 4.8615107, 115.410143 4.8615116, 115.4100589 4.8615411, 115.4100349 4.86156)",,roundabout,
261995587,True,Pulau Salam Roundabout,primary,40,False,29.637,,"LINESTRING (115.4099404 4.8616706, 115.4099186 4.8617568, 115.4099258 4.8618453, 115.4099613 4.8619268)",,roundabout,
263159853,True,,residential,,False,40.303,,"LINESTRING (115.4099404 4.8616706, 115.4098454 4.8616876, 115.4097688 4.8616824, 115.4097274 4.8616729, 115.4095844 4.861635)",,,
