osmid,oneway,lanes,highway,reversed,length,geometry,junction
30018599,False,2,primary,False,4.278,"LINESTRING (-14.2565464 16.5978831, -14.2565173 16.5979096)",
30018600,True,1,primary,False,59.486999999999995,"LINESTRING (-14.2565464 16.5978831, -14.2566998 16.5977815, -14.2567999 16.5977206, -14.2569005 16.5976614, -14.2570218 16.5976043)",
448919901,False,2,tertiary,True,10.949,"LINESTRING (-14.258422 16.5978637, -14.2584899 16.5979376)",
404416864,True,1,tertiary,False,34.567,"LINESTRING (-14.258422 16.5978637, -14.2583137 16.5977457, -14.2582241 16.5976723, -14.2581885 16.59765)",
448919901,False,2,tertiary,False,11.111,"LINESTRING (-14.2587358 16.5983155, -14.2586888 16.5982263)",
448919901,False,2,tertiary,True,84.234,"LINESTRING (-14.2587358 16.5983155, -14.2590321 16.5990178)",
449119705,False,,residential,False,159.207,"LINESTRING (-14.2587358 16.5983155, -14.2578483 16.5987474, -14.2574037 16.5989638)",
188693142,False,2,primary,False,8.723,"LINESTRING (-14.2563564 16.5969079, -14.2562786 16.5968835)",
175093356,True,1,primary,False,69.558,"LINESTRING (-14.2563564 16.5969079, -14.2564479 16.5969886, -14.2565404 16.5970895, -14.2566086 16.5971877, -14.2566792 16.5973144, -14.2567389 16.5974089)",
175093348,True,1,primary,False,55.872,"LINESTRING (-14.2568498 16.5970758, -14.2566291 16.5969867, -14.2563564 16.5969079)",
668652000,False,,residential,True,255.267,"LINESTRING (-14.2568498 16.5970758, -14.2569146 16.5968781, -14.2569843 16.5965182, -14.2571238 16.5956648, -14.2571989 16.5949991, -14.2572011 16.5948101)",
175093352,True,2,primary,False,29.051000000000002,"LINESTRING (-14.2572592 16.5972534, -14.2571908 16.5972097, -14.2571157 16.5971827, -14.2570071 16.5971647)",roundabout
175093352,True,2,primary,False,33.601,"LINESTRING (-14.2572646 16.5975181, -14.2573062 16.5974667, -14.2573263 16.5974205, -14.2573283 16.5973658, -14.2573035 16.5973035, -14.2572592 16.5972534)",roundabout
404416866,True,1,tertiary,False,131.05,"LINESTRING (-14.2572646 16.5975181, -14.257459 16.5975387, -14.2576506 16.5975572, -14.2578521 16.5976, -14.2580317 16.5976565, -14.2581966 16.5977407, -14.258422 16.5978637)",
