osmid,oneway,name,highway,maxspeed,junction,reversed,length,geometry,ref
221638447,False,Բաղրամյան փողոց,residential,60,,True,109.44300000000001,"LINESTRING (43.9688204 40.6177208, 43.968957 40.6183318, 43.9690625 40.6186874)",
170361147,False,Տոնականյան փողոց,residential,60,,False,105.525,"LINESTRING (43.971157 40.6195705, 43.9721722 40.6190166)",
193850607,True,Անկախության փողոց,residential,60,roundabout,False,55.789,"LINESTRING (43.971157 40.6195705, 43.9711628 40.6200722)",
193850607,True,Անկախության փողոց,residential,60,roundabout,False,65.557,"LINESTRING (43.9711628 40.6200722, 43.9703861 40.6200774)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,True,104.265,"LINESTRING (43.9711628 40.6200722, 43.9718124 40.6204481, 43.9721467 40.6206392)",
193850607,True,Անկախության փողոց,residential,60,roundabout,False,21.751,"LINESTRING (43.9703861 40.6200774, 43.9703839 40.6198818)",
127417303,False,Անկախության փողոց,residential,60,,True,179.29000000000002,"LINESTRING (43.9703861 40.6200774, 43.9703893 40.6201481, 43.9704398 40.6212578, 43.9704531 40.6216046, 43.9704563 40.6216889)",
170361147,False,Տոնականյան փողոց,residential,60,,True,193.523,"LINESTRING (43.9757131 40.6170323, 43.9738828 40.6180805)",
186536984,False,,residential,60,,True,17.94,"LINESTRING (43.9750647 40.6223067, 43.9752522 40.6223827)",
237331323,False,,residential,,,True,186.697,"LINESTRING (43.9750647 40.6223067, 43.9733945 40.6234076)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,False,113.555,"LINESTRING (43.9750647 40.6223067, 43.9739898 40.6216925)",
186536984,False,,residential,60,,False,17.94,"LINESTRING (43.9752522 40.6223827, 43.9750647 40.6223067)",
237330862,False,,residential,,,False,57.345,"LINESTRING (43.9752522 40.6223827, 43.9752571 40.621867)",
186536984,False,,residential,60,,True,72.771,"LINESTRING (43.9752522 40.6223827, 43.9754173 40.6226231, 43.9754829 40.6230032)",
144453939,True,Աբովյան փողոց,residential,,,False,111.347,"LINESTRING (43.9690658 40.6198665, 43.9694513 40.6198398, 43.9703832 40.6198237)",
221638445,False,Բաղրամյան փողոց,primary,60,,True,205.865,"LINESTRING (43.9690658 40.6198665, 43.9690995 40.6207557, 43.9691577 40.6217165)",Հ-21
221638447,False,Բաղրամյան փողոց,residential,60,,False,131.111,"LINESTRING (43.9690658 40.6198665, 43.9690634 40.6188929, 43.9690625 40.6186874)",
237330832,False,,residential,,,True,69.22,"LINESTRING (43.9725566 40.6162569, 43.9730525 40.6167527)",
221638447,False,Բաղրամյան փողոց,residential,60,,True,59.172,"LINESTRING (43.968685 40.6163453, 43.9686432 40.6168765)",
237330820,False,Սվերդլովի փողոց,residential,60,,False,134.225,"LINESTRING (43.968685 40.6163453, 43.9702738 40.6162944)",
193850604,False,Անկախության փողոց,residential,60,,False,56.827,"LINESTRING (43.9702738 40.6162944, 43.9702573 40.6157835)",
237330820,False,Սվերդլովի փողոց,residential,60,,True,134.225,"LINESTRING (43.9702738 40.6162944, 43.968685 40.6163453)",
669020674,False,Անկախության փողոց,residential,60,,True,152.683,"LINESTRING (43.9702738 40.6162944, 43.9703179 40.6176671)",
1244269907,False,,residential,,,False,27.915,"LINESTRING (43.9702738 40.6162944, 43.9706016 40.6162611)",
237331342,False,Չարենցի փողոց,residential,60,,False,93.462,"LINESTRING (43.9703179 40.6176671, 43.971425 40.6176509)",
669020674,False,Անկախության փողոց,residential,60,,False,152.683,"LINESTRING (43.9703179 40.6176671, 43.9702738 40.6162944)",
669020676,False,Չարենցի փողոց,residential,60,,True,126.537,"LINESTRING (43.9703179 40.6176671, 43.9688204 40.6177208)",
669020674,False,Անկախության փողոց,residential,60,,True,212.292,"LINESTRING (43.9703179 40.6176671, 43.9703783 40.6195148, 43.9703803 40.6195757)",
253487031,False,,residential,60,,True,7.966,"LINESTRING (43.9721063 40.6180805, 43.9720986 40.6180091)",
170361147,False,Տոնականյան փողոց,residential,60,,False,21.709,"LINESTRING (43.9736775 40.6181981, 43.9738828 40.6180805)",
170361147,False,Տոնականյան փողոց,residential,60,,True,44.759,"LINESTRING (43.9736775 40.6181981, 43.9732464 40.6184325)",
237331356,False,,residential,,,True,209.892,"LINESTRING (43.9736775 40.6181981, 43.973822 40.6183014, 43.9739708 40.6183353, 43.9742584 40.6182676, 43.9746304 40.6182826, 43.974918 40.6183127, 43.974972 40.6183585, 43.9749626 40.6186816, 43.9749524 40.6189849, 43.9749458 40.6191841)",
170361147,False,Տոնականյան փողոց,residential,60,,False,44.759,"LINESTRING (43.9732464 40.6184325, 43.9736775 40.6181981)",
170361147,False,Տոնականյան փողոց,residential,60,,True,111.529,"LINESTRING (43.9732464 40.6184325, 43.9721722 40.6190166)",
237330832,False,,residential,,,False,72.487,"LINESTRING (43.9732464 40.6184325, 43.9732132 40.6177811)",
237330874,False,,residential,,,True,43.346,"LINESTRING (43.9732697 40.6207958, 43.9729186 40.6210803)",
"[336948200, 237330874]",False,,residential,,,False,291.411,"LINESTRING (43.9732697 40.6207958, 43.9733957 40.6205383, 43.9735625 40.6202508, 43.9736099 40.6199542, 43.973543 40.619653, 43.9735578 40.6193521, 43.973721 40.6192537, 43.9740144 40.6191544, 43.9743397 40.6191007, 43.9746663 40.6191776, 43.9749458 40.6191841)",
468021859,False,,residential,,,False,85.298,"LINESTRING (43.9732697 40.6207958, 43.9734596 40.6207568, 43.9736742 40.6207242, 43.973819 40.6206998, 43.974039 40.6206774, 43.9742635 40.6206696)",
237330874,False,,residential,,,False,43.346,"LINESTRING (43.9729186 40.6210803, 43.9732697 40.6207958)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,False,81.548,"LINESTRING (43.9729186 40.6210803, 43.9721467 40.6206392)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,True,24.591,"LINESTRING (43.9729186 40.6210803, 43.9731546 40.62121)",
669020677,False,,residential,,,True,109.645,"LINESTRING (43.9704563 40.6216889, 43.9691577 40.6217165)",
127417303,False,Անկախության փողոց,residential,60,,False,179.29000000000002,"LINESTRING (43.9704563 40.6216889, 43.9704531 40.6216046, 43.9704398 40.6212578, 43.9703893 40.6201481, 43.9703861 40.6200774)",
"[246457776, 669020678]",False,Անկախության փողոց,residential,60,,True,157.151,"LINESTRING (43.9704563 40.6216889, 43.9704583 40.6221688, 43.970379 40.6222195, 43.9701923 40.6221938, 43.9697095 40.6222508, 43.9692994 40.6223871)",
237331316,False,,unclassified,,,True,91.378,"LINESTRING (43.9691577 40.6217165, 43.9680754 40.6217384)",
669020677,False,,residential,,,False,109.645,"LINESTRING (43.9691577 40.6217165, 43.9704563 40.6216889)",
221638445,False,Բաղրամյան փողոց,primary,60,,False,205.865,"LINESTRING (43.9691577 40.6217165, 43.9690995 40.6207557, 43.9690658 40.6198665)",Հ-21
221638445,False,Բաղրամյան փողոց,primary,60,,True,75.787,"LINESTRING (43.9691577 40.6217165, 43.9691724 40.6219589, 43.9692994 40.6223871)",Հ-21
237331316,False,,unclassified,,,False,91.378,"LINESTRING (43.9680754 40.6217384, 43.9691577 40.6217165)",
237330821,False,Մյասնիկյանի փողոց,residential,,,True,85.731,"LINESTRING (43.971909 40.6225033, 43.9727014 40.6229857)",
238120955,False,Հակոբյան փողոց,residential,,,False,168.178,"LINESTRING (43.971909 40.6225033, 43.9715767 40.622927, 43.9713085 40.6234726, 43.971051 40.6238635)",
238120955,False,Հակոբյան փողոց,residential,,,True,178.671,"LINESTRING (43.971909 40.6225033, 43.9720917 40.6222511, 43.9724887 40.6219091, 43.9727354 40.6216485, 43.9729058 40.62145, 43.9731546 40.62121)",
186536984,False,,residential,60,,False,72.771,"LINESTRING (43.9754829 40.6230032, 43.9754173 40.6226231, 43.9752522 40.6223827)",
237330821,False,Մյասնիկյանի փողոց,residential,,,False,74.984,"LINESTRING (43.9733945 40.6234076, 43.9727014 40.6229857)",
237331323,False,,residential,,,False,186.697,"LINESTRING (43.9733945 40.6234076, 43.9750647 40.6223067)",
237331323,False,,residential,,,True,140.359,"LINESTRING (43.9733945 40.6234076, 43.9721864 40.6242751)",
237330862,False,,residential,,,True,112.454,"LINESTRING (43.9752483 40.6208557, 43.9752571 40.621867)",
237330862,False,,residential,,,False,69.976,"LINESTRING (43.9752483 40.6208557, 43.9752453 40.6205149, 43.9751456 40.6202365)",
238766469,False,,residential,,,True,193.11800000000002,"LINESTRING (43.9752483 40.6208557, 43.9741913 40.6208557, 43.9736259 40.6208748, 43.973402 40.6209543, 43.9731546 40.62121)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,False,24.591,"LINESTRING (43.9731546 40.62121, 43.9729186 40.6210803)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,True,88.586,"LINESTRING (43.9731546 40.62121, 43.9739898 40.6216925)",
238120955,False,Հակոբյան փողոց,residential,,,False,178.671,"LINESTRING (43.9731546 40.62121, 43.9729058 40.62145, 43.9727354 40.6216485, 43.9724887 40.6219091, 43.9720917 40.6222511, 43.971909 40.6225033)",
238766469,False,,residential,,,False,193.118,"LINESTRING (43.9731546 40.62121, 43.973402 40.6209543, 43.9736259 40.6208748, 43.9741913 40.6208557, 43.9752483 40.6208557)",
238769721,False,,residential,,,False,42.957,"LINESTRING (43.971051 40.6238635, 43.9714693 40.6240836)",
238120955,False,Հակոբյան փողոց,residential,,,True,168.178,"LINESTRING (43.971051 40.6238635, 43.9713085 40.6234726, 43.9715767 40.622927, 43.971909 40.6225033)",
238766471,False,,residential,,,True,73.66,"LINESTRING (43.9765317 40.6200672, 43.9762329 40.619906, 43.9757807 40.6197334)",
238769692,False,,residential,,,True,280.225,"LINESTRING (43.9765317 40.6200672, 43.9764153 40.6202073, 43.9762115 40.620362, 43.9761471 40.6218197, 43.9752571 40.621867)",
"[237331356, 237330862]",False,,residential,,,False,118.50200000000001,"LINESTRING (43.9751456 40.6202365, 43.9750916 40.6200858, 43.9749428 40.6192727, 43.9749458 40.6191841)",
237330862,False,,residential,,,True,69.976,"LINESTRING (43.9751456 40.6202365, 43.9752453 40.6205149, 43.9752483 40.6208557)",
238766462,False,,residential,,,True,78.247,"LINESTRING (43.9751456 40.6202365, 43.9755785 40.619963, 43.9757807 40.6197334)",
238766462,False,,residential,,,False,106.547,"LINESTRING (43.9766514 40.6192219, 43.9765226 40.6192789, 43.9762222 40.6192871, 43.9760935 40.6193034, 43.9758789 40.6194337, 43.9758129 40.6196031, 43.9757807 40.6197334)",
238766462,False,,residential,,,False,78.247,"LINESTRING (43.9757807 40.6197334, 43.9755785 40.619963, 43.9751456 40.6202365)",
238766462,False,,residential,,,True,106.547,"LINESTRING (43.9757807 40.6197334, 43.9758129 40.6196031, 43.9758789 40.6194337, 43.9760935 40.6193034, 43.9762222 40.6192871, 43.9765226 40.6192789, 43.9766514 40.6192219)",
238766471,False,,residential,,,False,73.66,"LINESTRING (43.9757807 40.6197334, 43.9762329 40.619906, 43.9765317 40.6200672)",
237330862,False,,residential,,,False,112.454,"LINESTRING (43.9752571 40.621867, 43.9752483 40.6208557)",
237330862,False,,residential,,,True,57.345,"LINESTRING (43.9752571 40.621867, 43.9752522 40.6223827)",
