osmid,highway,width,oneway,reversed,length,geometry,name,ref,tunnel,bridge,junction,maxspeed,lanes
240390946,tertiary,4,False,False,237.447,"LINESTRING (46.4019125 39.2071639, 46.4020293 39.2072728, 46.4029884 39.2078661, 46.4034337 39.2081363, 46.4037824 39.2083524, 46.4040184 39.2085353)",,,,,,,
463963019,tertiary,,False,True,123.833,"LINESTRING (46.4019125 39.2071639, 46.4025468 39.2069648, 46.4029071 39.20683, 46.4031326 39.2066198)",Թումանյան փողոց,,,,,,
89531051,residential,,False,False,128.13,"LINESTRING (46.4059592 39.2108039, 46.4058423 39.2108475, 46.4057444 39.2109035, 46.4056666 39.211025, 46.4055657 39.2113522, 46.4053906 39.2118183)",,,,,,,
993820364,residential,,False,True,125.07499999999999,"LINESTRING (46.4059592 39.2108039, 46.4060941 39.2107231, 46.4062138 39.2106817, 46.4064109 39.2106178, 46.4066529 39.2105831, 46.4068575 39.2105757, 46.4070372 39.2106131, 46.4072156 39.2106676, 46.4073198 39.2106465)",,,,,,,
89531060,tertiary,,False,True,41.792,"LINESTRING (46.4077091 39.2083628, 46.4075294 39.2080137)",,,,,,,
89531090,tertiary,5,False,False,133.28,"LINESTRING (46.4077091 39.2083628, 46.4072478 39.2085353, 46.4068386 39.208607, 46.4067634 39.2086114, 46.4062238 39.2086206)",Արամ Մանուկյան փողոց,,,,,,
394671988,tertiary,,False,True,18.487,"LINESTRING (46.4049 39.2097194, 46.4050296 39.2095869)",Ռաֆայել Մինասյան փողոց,Տ-8-103,,,,,
"[89531034, 394659013]",residential,,False,False,519.417,"LINESTRING (46.4049 39.2097194, 46.4047879 39.2096765, 46.404057 39.2095268, 46.4035284 39.2094548, 46.4028447 39.2093803, 46.4028003 39.2095076, 46.4027899 39.2095828, 46.402811 39.2096531, 46.4028677 39.2096909, 46.402976 39.2097238, 46.4032643 39.2098193, 46.4033072 39.2099544, 46.4033394 39.2100313, 46.4032992 39.2102288, 46.4032187 39.2105322, 46.4030283 39.2108689, 46.4027455 39.2110388, 46.4028275 39.2111893, 46.4028302 39.2112433, 46.4027041 39.2117193, 46.4028007 39.2119375, 46.4028221 39.2119936)",Լեռնագործների 1-րդ նրբանցք,,,,,,
394671988,tertiary,,False,False,186.588,"LINESTRING (46.4049 39.2097194, 46.4045753 39.2102598, 46.404343 39.2106946, 46.4042382 39.2110631, 46.4042008 39.2112953)",Ռաֆայել Մինասյան փողոց,Տ-8-103,,,,,
89531069,residential,,False,False,82.911,"LINESTRING (46.4068309 39.2100367, 46.4072169 39.2103969, 46.407339 39.2105512, 46.4073198 39.2106465)",Դավիթ-Բեկի փողոց,,,,,,
