osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,junction
323869148,residential,False,False,42.3,"LINESTRING (-7.5926042 40.4935455, -7.5925276 40.4935221, -7.592203 40.4933222)",,,,
691612829,secondary,False,False,54.477,"LINESTRING (-7.5926042 40.4935455, -7.5926159 40.4936263, -7.5926253 40.4936914, -7.5927633 40.4940181)",,,,
691612829,secondary,False,True,138.337,"LINESTRING (-7.5926042 40.4935455, -7.5928523 40.492333, -7.5928499 40.4923161)",,,,
255472372,residential,True,False,45.747,"LINESTRING (-7.5899006 40.4965962, -7.5902437 40.4969143)",1,,,
459583911,residential,False,True,60.855999999999995,"LINESTRING (-7.5899006 40.4965962, -7.5904234 40.4962527, -7.5904452 40.4962384)",,,,
37142524,residential,False,False,49.787,"LINESTRING (-7.5902437 40.4969143, -7.5897995 40.4972082)",,,,
255472371,residential,False,False,37.189,"LINESTRING (-7.5902437 40.4969143, -7.5905395 40.4971618)",,,,
323869076,residential,False,False,117.357,"LINESTRING (-7.5900281 40.4937815, -7.5895825 40.4938033, -7.5895128 40.4938481, -7.5890085 40.4943685)",,,,
459583910,tertiary,False,False,53.620000000000005,"LINESTRING (-7.5900281 40.4937815, -7.5899736 40.4935235, -7.5898956 40.4933107)",,CM 1112,Avenida General Humberto Delgado,
459583910,tertiary,False,True,105.095,"LINESTRING (-7.5900281 40.4937815, -7.5899862 40.4939103, -7.5895786 40.4946613)",,CM 1112,Avenida General Humberto Delgado,
323869078,residential,False,True,58.172,"LINESTRING (-7.5895786 40.4946613, -7.5890085 40.4943685)",,,,
255472374,residential,True,False,179.315,"LINESTRING (-7.5895786 40.4946613, -7.5904761 40.4952918, -7.590661 40.4954217, -7.5910155 40.4956479, -7.5910956 40.4956989, -7.5911567 40.4957379)",1,,Rua Mestre Abel Manta,
459583910,tertiary,False,False,105.095,"LINESTRING (-7.5895786 40.4946613, -7.5899862 40.4939103, -7.5900281 40.4937815)",,CM 1112,Avenida General Humberto Delgado,
"[255472373, 459583910]",tertiary,False,True,67.342,"LINESTRING (-7.5895786 40.4946613, -7.5892748 40.4951862, -7.5892909 40.4952159)",,CM 1112,Avenida General Humberto Delgado,
197689792,tertiary,False,True,208.902,"LINESTRING (-7.5911567 40.4957379, -7.5912093 40.4956912, -7.5913047 40.4955788, -7.5919589 40.4948084, -7.5919937 40.4947674, -7.5921749 40.494554, -7.5923899 40.4944409, -7.5925826 40.4943395, -7.5926828 40.4942985)",,,,
459583912,tertiary,False,False,27.428,"LINESTRING (-7.5911567 40.4957379, -7.5910163 40.495863, -7.5909347 40.4959169)",,,,
160259252,residential,False,True,231.627,"LINESTRING (-7.5898956 40.4933107, -7.5898843 40.493017, -7.5899219 40.4926949, -7.5900452 40.4922665, -7.5901667 40.4921802, -7.5905989 40.492028, -7.5911542 40.4918864, -7.5911699 40.4918824, -7.5912715 40.4918592)",,,,
160259256,tertiary,False,True,205.151,"LINESTRING (-7.5898956 40.4933107, -7.5895361 40.4926685, -7.5894959 40.4925967, -7.5892972 40.4924739, -7.589114 40.4924623, -7.588785 40.4924414, -7.5885774 40.4923588, -7.5884811 40.4922274, -7.58838 40.4920931)",,CM 1112,Avenida General Humberto Delgado,
459583910,tertiary,False,True,53.620000000000005,"LINESTRING (-7.5898956 40.4933107, -7.5899736 40.4935235, -7.5900281 40.4937815)",,CM 1112,Avenida General Humberto Delgado,
160259256,tertiary,False,False,4.817,"LINESTRING (-7.5883517 40.4920555, -7.58838 40.4920931)",,CM 1112,Avenida General Humberto Delgado,
37200176,residential,False,True,164.235,"LINESTRING (-7.5883517 40.4920555, -7.587412 40.4926001, -7.5866674 40.4927185)",,,,
"[160259256, 37199966]",tertiary,False,True,73.981,"LINESTRING (-7.5883517 40.4920555, -7.5880148 40.4915402, -7.5879121 40.4914958)",,CM 1112,Avenida General Humberto Delgado,
37200179,secondary,False,True,60.682,"LINESTRING (-7.5931561 40.4947087, -7.5929283 40.4945112, -7.5926828 40.4942985)",,,,
142157847,tertiary,False,False,80.15100000000001,"LINESTRING (-7.5931561 40.4947087, -7.5932856 40.4947754, -7.5935967 40.4948284, -7.5940678 40.4947994)",,,,
197689791,secondary,False,False,93.20000000000002,"LINESTRING (-7.5931561 40.4947087, -7.5931691 40.4948623, -7.5930709 40.4950567, -7.5927536 40.4952886, -7.5926893 40.4953419, -7.5926459 40.4954025)",,,,
142157849,residential,False,False,65.53999999999999,"LINESTRING (-7.5933267 40.4932085, -7.5937802 40.4931268, -7.5940809 40.4930727)",,,,
323869141,residential,False,False,256.028,"LINESTRING (-7.5933267 40.4932085, -7.5932947 40.4930896, -7.5933376 40.4929081, -7.5933671 40.4927041, -7.5933617 40.4925001, -7.5933886 40.4924267, -7.5935146 40.4922819, -7.5936005 40.4921513, -7.5936246 40.4920453, -7.593587 40.4917617, -7.59352 40.491723, -7.5930801 40.4916026, -7.5928161 40.4919246)",,,,
142157846,residential,False,False,81.934,"LINESTRING (-7.5947447 40.4901858, -7.5950532 40.4908843)",,,,
323869150,residential,False,False,38.340999999999994,"LINESTRING (-7.5947447 40.4901858, -7.5945421 40.4901653, -7.5943155 40.4900868)",,,,
142157847,tertiary,False,True,186.84,"LINESTRING (-7.5940809 40.4930727, -7.5943478 40.4931436, -7.5945301 40.4932251, -7.594616 40.4933108, -7.5946911 40.493421, -7.5946977 40.4934425, -7.5950129 40.4944653)",,,,
142157849,residential,False,True,65.53999999999999,"LINESTRING (-7.5940809 40.4930727, -7.5937802 40.4931268, -7.5933267 40.4932085)",,,,
142157852,tertiary,False,True,31.705000000000002,"LINESTRING (-7.5940809 40.4930727, -7.5940956 40.4929763, -7.5941493 40.4927927)",,,Rua Casimiro Andrade,
142157846,residential,False,True,81.934,"LINESTRING (-7.5950532 40.4908843, -7.5947447 40.4901858)",,,,
146477827,residential,False,False,92.338,"LINESTRING (-7.5950532 40.4908843, -7.5951647 40.4909153, -7.5953508 40.4908936, -7.5956083 40.4907977, -7.5960439 40.4906138)",,,,
323897144,residential,False,True,71.858,"LINESTRING (-7.5950532 40.4908843, -7.5948978 40.4911791, -7.5947932 40.4913076, -7.594635 40.4914381)",,,,
