osmid,lanes,name,highway,junction,oneway,reversed,length,geometry,maxspeed,width,ref
22696524,2,Avenida Marginal,primary,roundabout,True,False,2.157,"LINESTRING (-9.4175573 38.7013196, -9.4175329 38.7013233)",,,
23824626,,Avenida Rei Humberto II de Itália,residential,,True,False,109.84800000000001,"LINESTRING (-9.4210921 38.6943493, -9.4210372 38.6942617, -9.4210261 38.6942437, -9.4209356 38.694079, -9.4207259 38.693771, -9.4206683 38.693675, -9.4206411 38.6935967, -9.4206439 38.6935301, -9.4206411 38.6934415)",,,
495845262,1,,tertiary,roundabout,True,False,12.39,"LINESTRING (-9.4210921 38.6943493, -9.4210723 38.6943455, -9.4210519 38.6943445, -9.4210317 38.6943464, -9.4210122 38.694351, -9.420994 38.6943583, -9.4209778 38.6943679, -9.4209641 38.6943797)",,,
23824629,2,Avenida Marginal,tertiary,,False,False,7.04,"LINESTRING (-9.4204588 38.7001345, -9.4204919 38.7000767)",50,,
116714904,2,Avenida Marginal,tertiary,,True,False,27.758,"LINESTRING (-9.4204588 38.7001345, -9.4203453 38.7002098, -9.4202136 38.7002948)",,,
30008453,1,,tertiary,roundabout,True,False,8.158,"LINESTRING (-9.421005 38.6945141, -9.421018 38.6945183, -9.4210315 38.6945212, -9.4210453 38.6945228, -9.4210713 38.6945223, -9.4210964 38.6945171)",,,
114012465,2,Avenida 25 de Abril,primary,,False,True,152.038,"LINESTRING (-9.422152 38.701333, -9.4223763 38.7013741, -9.4225253 38.7013929, -9.422606 38.7014031, -9.4229649 38.7014177, -9.4233167 38.7014101, -9.423605 38.7013779, -9.4238815 38.7013197)",,,
147322650,2,Avenida 25 de Abril,primary,,True,False,75.67,"LINESTRING (-9.422152 38.701333, -9.4215383 38.7011277, -9.4213512 38.7010637)",,,
593800982,3,Avenida 25 de Abril,primary,,True,False,70.667,"LINESTRING (-9.4213512 38.7010637, -9.4212805 38.7010318, -9.4209148 38.7008285, -9.4208299 38.700782, -9.4206828 38.7007011)",,,
"[24005155, 24005175]",3,"['Avenida Marginal', 'Avenida 25 de Abril']",primary,,True,False,81.116,"LINESTRING (-9.4206828 38.7007011, -9.420545 38.7006536, -9.4204205 38.7006229, -9.4203263 38.7006134, -9.4202622 38.7006147, -9.4201646 38.7006393, -9.4200071 38.700714, -9.4198278 38.7007956)",,,
24005183,1,Avenida Marginal,tertiary,,True,False,42.027,"LINESTRING (-9.4206828 38.7007011, -9.4205712 38.7005766, -9.4205112 38.7004937, -9.4204785 38.7004349, -9.4204445 38.7003737)",,,
160536625,4,Avenida Marginal,primary,,True,False,89.25200000000001,"LINESTRING (-9.4198278 38.7007956, -9.4196818 38.7008789, -9.4195099 38.7009572, -9.4194858 38.7009672, -9.4193031 38.7010322, -9.4191564 38.7010703, -9.418997 38.7011011, -9.418898 38.7011193)",,3,
