osmid,lanes,ref,highway,junction,oneway,reversed,length,geometry,bridge,name
127882833,2,EM 304-3,secondary,roundabout,True,False,10.486,"LINESTRING (-7.9506297 41.1403382, -7.9505898 41.1403454, -7.9505537 41.1403622, -7.9505321 41.1403891)",,
127882867,,,unclassified,,False,True,334.47299999999996,"LINESTRING (-7.9506297 41.1403382, -7.9505823 41.1402493, -7.9503734 41.1396404, -7.9503794 41.1394192, -7.9504551 41.1391912, -7.9506096 41.1390247, -7.9508397 41.1388924, -7.9511179 41.1388204, -7.951948 41.1387214, -7.9523567 41.1386119, -7.9526122 41.1384959)",,
127882833,2,EM 304-3,secondary,roundabout,True,False,13.96,"LINESTRING (-7.9505321 41.1403891, -7.9505225 41.1404197, -7.9505305 41.1404508, -7.9505541 41.1404765, -7.9505901 41.1404919)",,
127883218,,EM 304-3,secondary,,False,False,137.393,"LINESTRING (-7.9505321 41.1403891, -7.9504071 41.1403162, -7.9503079 41.1399776, -7.9501455 41.1396682, -7.9500397 41.1395012, -7.9497954 41.1393289)",,
127882833,2,EM 304-3,secondary,roundabout,True,False,7.019,"LINESTRING (-7.9505901 41.1404919, -7.9506306 41.1405001, -7.9506714 41.140493)",,
909681872,,,unclassified,,False,False,116.45299999999999,"LINESTRING (-7.9505901 41.1404919, -7.9504622 41.1405711, -7.9502502 41.1406542, -7.9501212 41.1406337, -7.9498855 41.1405449, -7.949661 41.1404917, -7.9494204 41.1404908, -7.9493077 41.1405069)",,
127882833,2,EM 304-3,secondary,roundabout,True,False,24.669,"LINESTRING (-7.9506714 41.140493, -7.9507064 41.1404762, -7.950729 41.1404503, -7.9507375 41.1404187, -7.9507313 41.1403874, -7.9507058 41.1403617, -7.9506717 41.1403433, -7.9506297 41.1403382)",,
127883372,,EM 304-3,secondary,,False,False,181.73899999999998,"LINESTRING (-7.9506714 41.140493, -7.9507525 41.1406804, -7.9511444 41.1411268, -7.9511903 41.1412529, -7.9511496 41.1413909, -7.9510236 41.1415239, -7.9507613 41.1416366, -7.9504822 41.1417509)",,
127883485,2,,unclassified,,False,True,25.788,"LINESTRING (-7.9458488 41.1409379, -7.9460813 41.1408686, -7.9461391 41.1408659)",,
909688266,,,unclassified,,False,False,11.088,"LINESTRING (-7.9481665 41.141716, -7.9480662 41.1417811)",,
127883485,2,,unclassified,,False,False,240.19899999999998,"LINESTRING (-7.9481665 41.141716, -7.9480241 41.1414907, -7.94784 41.1410656, -7.9473701 41.1407299, -7.9472005 41.1406807, -7.9470309 41.1406898, -7.9466603 41.1408412, -7.9461391 41.1408659)",,
"[909681872, 909681873, 909688266]",,,unclassified,,False,True,171.268,"LINESTRING (-7.9481665 41.141716, -7.9482363 41.1416707, -7.9482787 41.1416367, -7.9483536 41.1415767, -7.9484766 41.141478, -7.9486393 41.1411196, -7.9489107 41.1407289, -7.9490347 41.1406038, -7.949212 41.1405206, -7.9493077 41.1405069)",yes,
127883372,,EM 304-3,secondary,,False,False,11.231,"LINESTRING (-7.9501016 41.1420571, -7.9500882 41.1421576)",,
127883372,,EM 304-3,secondary,,False,True,49.019,"LINESTRING (-7.9501016 41.1420571, -7.9501521 41.1419427, -7.9502355 41.1418567, -7.9504822 41.1417509)",,
1157437806,,,residential,,False,False,115.80600000000001,"LINESTRING (-7.9501016 41.1420571, -7.9500354 41.1420379, -7.9499814 41.142006, -7.9499085 41.1419582, -7.949845 41.141937, -7.9497933 41.1419335, -7.9497204 41.1419476, -7.9496734 41.1419795, -7.9496429 41.1420202, -7.9496217 41.142091, -7.9495657 41.1426379)",,
127883372,,EM 304-3,secondary,,False,False,53.281000000000006,"LINESTRING (-7.9507112 41.1449599, -7.950629 41.1453059, -7.950623 41.1454335)",,
127883372,,EM 304-3,secondary,,False,True,262.754,"LINESTRING (-7.9507112 41.1449599, -7.9507392 41.1447919, -7.9507226 41.1446513, -7.9506873 41.1445178, -7.9503997 41.1439491, -7.9503496 41.1438106, -7.9502213 41.1432554, -7.9500855 41.1429699, -7.9500297 41.1428136, -7.9500165 41.1426783)",,
127883372,,EM 304-3,secondary,,False,True,53.281000000000006,"LINESTRING (-7.950623 41.1454335, -7.950629 41.1453059, -7.9507112 41.1449599)",,
127883372,,EM 304-3,secondary,,False,False,49.019,"LINESTRING (-7.9504822 41.1417509, -7.9502355 41.1418567, -7.9501521 41.1419427, -7.9501016 41.1420571)",,
127883372,,EM 304-3,secondary,,False,True,181.739,"LINESTRING (-7.9504822 41.1417509, -7.9507613 41.1416366, -7.9510236 41.1415239, -7.9511496 41.1413909, -7.9511903 41.1412529, -7.9511444 41.1411268, -7.9507525 41.1406804, -7.9506714 41.140493)",,
796968046,2,,tertiary,,False,False,155.01,"LINESTRING (-7.9504822 41.1417509, -7.9505721 41.1418547, -7.9506291 41.1418924, -7.9506931 41.141907, -7.9507838 41.1418986, -7.9513638 41.1416224, -7.9520123 41.1413151)",,Rua 1º de Maio
796968046,2,,tertiary,,False,False,222.75900000000001,"LINESTRING (-7.9520123 41.1413151, -7.9520547 41.1412615, -7.9520797 41.1411622, -7.9520484 41.1410735, -7.9518541 41.1407793, -7.9518498 41.1406789, -7.951896 41.1405698, -7.9528913 41.1398305, -7.9530536 41.1397406)",,Rua 1º de Maio
796968046,2,,tertiary,,False,True,155.01,"LINESTRING (-7.9520123 41.1413151, -7.9513638 41.1416224, -7.9507838 41.1418986, -7.9506931 41.141907, -7.9506291 41.1418924, -7.9505721 41.1418547, -7.9504822 41.1417509)",,Rua 1º de Maio
796976337,,,residential,,True,False,205.533,"LINESTRING (-7.9520123 41.1413151, -7.9520502 41.1413577, -7.9520569 41.141424, -7.9520072 41.1414726, -7.9516264 41.141598, -7.9514849 41.1416746, -7.9513093 41.1418315, -7.9511605 41.1419964, -7.9510973 41.1420469, -7.9506109 41.1422763, -7.9504704 41.1423457, -7.950355 41.1425173)",,Avenida Padre António Barbosa Moreira
796968046,2,,tertiary,,False,False,67.429,"LINESTRING (-7.9530536 41.1397406, -7.9532071 41.1396862, -7.9533901 41.1396368, -7.9538277 41.1395947)",,Rua 1º de Maio
796968046,2,,tertiary,,False,True,222.75900000000001,"LINESTRING (-7.9530536 41.1397406, -7.9528913 41.1398305, -7.951896 41.1405698, -7.9518498 41.1406789, -7.9518541 41.1407793, -7.9520484 41.1410735, -7.9520797 41.1411622, -7.9520547 41.1412615, -7.9520123 41.1413151)",,Rua 1º de Maio
796968053,,,residential,,False,False,167.34,"LINESTRING (-7.9530536 41.1397406, -7.9530691 41.1396751, -7.9532656 41.1394904, -7.9533599 41.1393918, -7.9533682 41.1392768, -7.953364 41.1391555, -7.9532476 41.1390614, -7.9531065 41.1390171, -7.9529797 41.1390156, -7.952857 41.1391048, -7.9526196 41.1392939, -7.9525006 41.1393672)",,Rua da Escola
796968046,2,,tertiary,,False,False,63.46,"LINESTRING (-7.9548171 41.1396361, -7.9553264 41.1397071, -7.9555662 41.1397032)",,Rua 1º de Maio
796968046,2,,tertiary,,False,True,83.55799999999999,"LINESTRING (-7.9548171 41.1396361, -7.9545652 41.1395883, -7.9543133 41.1395838, -7.9541058 41.1395829, -7.9538277 41.1395947)",,Rua 1º de Maio
909681871,,,residential,,False,False,209.638,"LINESTRING (-7.9548171 41.1396361, -7.9547613 41.1391166, -7.9544798 41.1390212, -7.9544259 41.1390018, -7.9542554 41.1389406, -7.9541565 41.1388919, -7.9540076 41.1388962, -7.9539656 41.138896, -7.9538393 41.139244, -7.9538277 41.1395947)",,
796968053,,,residential,,False,True,167.34,"LINESTRING (-7.9525006 41.1393672, -7.9526196 41.1392939, -7.952857 41.1391048, -7.9529797 41.1390156, -7.9531065 41.1390171, -7.9532476 41.1390614, -7.953364 41.1391555, -7.9533682 41.1392768, -7.9533599 41.1393918, -7.9532656 41.1394904, -7.9530691 41.1396751, -7.9530536 41.1397406)",,Rua da Escola
796968054,,,residential,,True,False,119.38399999999999,"LINESTRING (-7.9525006 41.1393672, -7.9523429 41.1392465, -7.9522926 41.1391435, -7.9523062 41.1390325, -7.9523977 41.1389364, -7.9525639 41.1388639, -7.9526427 41.1388023, -7.952696 41.1387214, -7.9527052 41.1386183, -7.9526122 41.1384959)",,Rua da Escola
127882867,,,unclassified,,False,False,334.473,"LINESTRING (-7.9526122 41.1384959, -7.9523567 41.1386119, -7.951948 41.1387214, -7.9511179 41.1388204, -7.9508397 41.1388924, -7.9506096 41.1390247, -7.9504551 41.1391912, -7.9503794 41.1394192, -7.9503734 41.1396404, -7.9505823 41.1402493, -7.9506297 41.1403382)",,
127883372,,EM 304-3,secondary,,False,True,58.21,"LINESTRING (-7.9500165 41.1426783, -7.9500882 41.1421576)",,
1157437807,,,residential,,False,False,38.015,"LINESTRING (-7.9500165 41.1426783, -7.9495657 41.1426379)",,
