osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction
37546591,,,residential,False,False,406.20099999999996,"LINESTRING (-16.8411814 32.6792005, -16.8411344 32.679214, -16.841121 32.679275, -16.8411195 32.6793128, -16.8411317 32.6793382, -16.8411733 32.6793676, -16.8412243 32.6793901, -16.8413664 32.6794285, -16.8415234 32.6794782, -16.8416575 32.679529, -16.8417835 32.679582, -16.8419874 32.6797062, -16.842066 32.6797533, -16.8421376 32.6797954, -16.8422757 32.6798428, -16.8424138 32.6798676, -16.842501 32.6798823, -16.8425654 32.6799015, -16.8426324 32.67995, -16.842678 32.6800313, -16.8427303 32.6801939, -16.8427505 32.6802706, -16.8427371 32.6803474, -16.8427062 32.6803982, -16.8426217 32.6805099, -16.8424085 32.6807458, -16.8423052 32.680905, -16.8422972 32.6809614, -16.8423305 32.6810256, -16.842387 32.6810472, -16.8424568 32.681063, -16.8428551 32.6811816, -16.8429489 32.6812572, -16.8429717 32.6812978, -16.8429892 32.6813543, -16.8430014 32.6814487, -16.8429957 32.6815266)",,,
315925825,ER 110,Rotunda da Camacha,secondary,True,False,19.308,"LINESTRING (-16.8476714 32.6770796, -16.8476312 32.6770592, -16.8475858 32.6770493, -16.8475389 32.6770505, -16.847477 32.6770686)",2,,roundabout
433052818,ER 110,Estrada Regional 110,secondary,False,True,183.739,"LINESTRING (-16.8476714 32.6770796, -16.847789 32.676927, -16.8478788 32.6768672, -16.8480559 32.6767588, -16.8482342 32.6766651, -16.8483925 32.6766076, -16.848473 32.6765715, -16.8485923 32.6764947, -16.84876 32.6763795, -16.8489356 32.6762215, -16.8491207 32.6760059)",2,,
76587238,,,unclassified,False,True,106.40300000000002,"LINESTRING (-16.8455991 32.6782118, -16.8456002 32.6782523, -16.8456016 32.678302, -16.8455919 32.6783445, -16.845552 32.6785187, -16.8455339 32.6785757, -16.8454285 32.6788404, -16.8454097 32.678892, -16.8453511 32.6790309, -16.8453084 32.6791311)",,,
167401854,,Caminho do Hotel,residential,False,False,97.566,"LINESTRING (-16.8455991 32.6782118, -16.8456928 32.6781405, -16.8457706 32.6780649, -16.8458846 32.6779441, -16.8459544 32.6778448, -16.8459973 32.6777658, -16.8459839 32.6776653, -16.8459211 32.6774585)",,,
315925870,,,unclassified,False,False,108.374,"LINESTRING (-16.8455991 32.6782118, -16.8456016 32.6781462, -16.8455973 32.6781189, -16.8455882 32.6780615, -16.8455644 32.6780135, -16.8455574 32.6779994, -16.8455212 32.677943, -16.8454089 32.6777852, -16.8450987 32.6773492)",,,
37546591,,,residential,False,True,406.201,"LINESTRING (-16.8429957 32.6815266, -16.8430014 32.6814487, -16.8429892 32.6813543, -16.8429717 32.6812978, -16.8429489 32.6812572, -16.8428551 32.6811816, -16.8424568 32.681063, -16.842387 32.6810472, -16.8423305 32.6810256, -16.8422972 32.6809614, -16.8423052 32.680905, -16.8424085 32.6807458, -16.8426217 32.6805099, -16.8427062 32.6803982, -16.8427371 32.6803474, -16.8427505 32.6802706, -16.8427303 32.6801939, -16.842678 32.6800313, -16.8426324 32.67995, -16.8425654 32.6799015, -16.842501 32.6798823, -16.8424138 32.6798676, -16.8422757 32.6798428, -16.8421376 32.6797954, -16.842066 32.6797533, -16.8419874 32.6797062, -16.8417835 32.679582, -16.8416575 32.679529, -16.8415234 32.6794782, -16.8413664 32.6794285, -16.8412243 32.6793901, -16.8411733 32.6793676, -16.8411317 32.6793382, -16.8411195 32.6793128, -16.841121 32.679275, -16.8411344 32.679214, -16.8411814 32.6792005)",,,
43705144,,,unclassified,False,False,174.30399999999997,"LINESTRING (-16.841848 32.6763735, -16.8416709 32.6762364, -16.841553 32.6760949, -16.8414272 32.6759707, -16.8412942 32.6757794, -16.8410718 32.675702, -16.8409194 32.6756247, -16.8408009 32.67547, -16.8408106 32.6751992)",,,
"[442675156, 726941207]",,,unclassified,False,True,452.973,"LINESTRING (-16.841848 32.6763735, -16.8421671 32.6767024, -16.8422891 32.6768559, -16.8425268 32.6770574, -16.8430509 32.6772646, -16.8434653 32.6774057, -16.8436235 32.6775039, -16.8436812 32.6776156, -16.8436919 32.6777026, -16.8436933 32.6777454, -16.8437228 32.6777782, -16.8437563 32.6777804, -16.8437804 32.6777725, -16.8438166 32.67775, -16.8438247 32.6777093, -16.8438488 32.6774892, -16.8438314 32.6773865, -16.8437348 32.6772442, -16.8435122 32.677102, -16.8433526 32.6769993, -16.8433258 32.676927, -16.8433432 32.6768401, -16.8434411 32.6767317, -16.8435672 32.6766324, -16.8436879 32.6765805, -16.8438193 32.6765579, -16.8440071 32.6765161)",,,
"[325226697, 325226699, 325226700, 325226701, 442675157]",,,unclassified,False,False,359.95000000000005,"LINESTRING (-16.841848 32.6763735, -16.8421502 32.6773118, -16.8418113 32.6773516, -16.8415179 32.6773101, -16.8414176 32.6772887, -16.841248 32.6772807, -16.8410908 32.6773321, -16.8408168 32.6775153, -16.8406755 32.6775833, -16.840386 32.677528, -16.8396097 32.6773667)",,,
87207474,ER 110,Estrada Regional 110,secondary,False,True,484.3650000000001,"LINESTRING (-16.8441667 32.6806713, -16.8437951 32.6805483, -16.8436772 32.6804817, -16.8435887 32.6803982, -16.8435337 32.6803462, -16.8434791 32.6802711, -16.8434076 32.680134, -16.8433151 32.679862, -16.8432486 32.679578, -16.8432494 32.6795358, -16.8432346 32.67945, -16.843233 32.6794225, -16.8432279 32.6793314, -16.8432453 32.6792107, -16.8432557 32.6791908, -16.8433043 32.6790978, -16.8433532 32.6790487, -16.8433955 32.6790063, -16.8435337 32.6789115, -16.8435656 32.678896, -16.8439128 32.6787268, -16.844113 32.6786293, -16.844282 32.6785368, -16.8443142 32.6785091, -16.844345 32.6784826, -16.8443866 32.678434, -16.8444292 32.6783537, -16.8444635 32.678274, -16.8444966 32.678197, -16.8445532 32.6780238, -16.8445744 32.6779588, -16.8446199 32.6778337, -16.8446347 32.6777929, -16.8446864 32.6776992, -16.8446977 32.6776788, -16.8447581 32.6775976, -16.8448775 32.6774937, -16.8449633 32.6774249, -16.8450987 32.6773492)",2,,
169135604,,,residential,False,True,246.939,"LINESTRING (-16.8441667 32.6806713, -16.8441412 32.6807385, -16.8441492 32.6808102, -16.844172 32.6808508, -16.8442163 32.6808745, -16.8442673 32.6808892, -16.8444228 32.6809152, -16.8445542 32.680949, -16.8446441 32.6809863, -16.8447125 32.6810348, -16.8447447 32.6810913, -16.844742 32.6811737, -16.8447152 32.6812278, -16.8446629 32.6813294, -16.8446092 32.6814389, -16.8445864 32.6815371, -16.8445891 32.681694, -16.8445931 32.6817718, -16.8445958 32.681825, -16.8446119 32.6818882, -16.8446334 32.6819424, -16.8447734 32.6822324, -16.8448146 32.6823176, -16.8449028 32.6824895)",,,
625745152,ER 110,Estrada Regional 110,secondary,False,False,215.13299999999998,"LINESTRING (-16.8441667 32.6806713, -16.8442107 32.6806839, -16.8443316 32.6807187, -16.8445824 32.6808023, -16.8447219 32.6808644, -16.8447956 32.6809276, -16.8448466 32.6809761, -16.8449123 32.6810935, -16.8449552 32.6812053, -16.8450437 32.6813689, -16.8451215 32.6814717, -16.8452074 32.6815721, -16.8453522 32.6817008, -16.8455708 32.6818498, -16.8457599 32.6819503)",2,,
167401854,,Caminho do Hotel,residential,False,True,97.566,"LINESTRING (-16.8459211 32.6774585, -16.8459839 32.6776653, -16.8459973 32.6777658, -16.8459544 32.6778448, -16.8458846 32.6779441, -16.8457706 32.6780649, -16.8456928 32.6781405, -16.8455991 32.6782118)",,,
177011763,ER 110,Rotunda da Camacha,secondary,True,False,25.093999999999998,"LINESTRING (-16.847477 32.6770686, -16.8474604 32.677082, -16.847433 32.6771076, -16.8474141 32.677138, -16.8474046 32.6771715, -16.8474053 32.6772058, -16.847416 32.677239, -16.8474362 32.6772689)",2,,roundabout
726941206,,Caminho Fonte Concelos,unclassified,False,False,204.642,"LINESTRING (-16.844025 32.675168, -16.843833 32.675837, -16.843765 32.67592, -16.84339 32.676115, -16.843395 32.67618, -16.8440071 32.6765161)",,,
28947992,ER 110,Estrada Regional 110,secondary,False,True,24.502,"LINESTRING (-16.8450987 32.6773492, -16.8451389 32.6773243, -16.8453093 32.6772183)",2,,
87207474,ER 110,Estrada Regional 110,secondary,False,False,484.36500000000007,"LINESTRING (-16.8450987 32.6773492, -16.8449633 32.6774249, -16.8448775 32.6774937, -16.8447581 32.6775976, -16.8446977 32.6776788, -16.8446864 32.6776992, -16.8446347 32.6777929, -16.8446199 32.6778337, -16.8445744 32.6779588, -16.8445532 32.6780238, -16.8444966 32.678197, -16.8444635 32.678274, -16.8444292 32.6783537, -16.8443866 32.678434, -16.844345 32.6784826, -16.8443142 32.6785091, -16.844282 32.6785368, -16.844113 32.6786293, -16.8439128 32.6787268, -16.8435656 32.678896, -16.8435337 32.6789115, -16.8433955 32.6790063, -16.8433532 32.6790487, -16.8433043 32.6790978, -16.8432557 32.6791908, -16.8432453 32.6792107, -16.8432279 32.6793314, -16.843233 32.6794225, -16.8432346 32.67945, -16.8432494 32.6795358, -16.8432486 32.679578, -16.8433151 32.679862, -16.8434076 32.680134, -16.8434791 32.6802711, -16.8435337 32.6803462, -16.8435887 32.6803982, -16.8436772 32.6804817, -16.8437951 32.6805483, -16.8441667 32.6806713)",2,,
315925870,,,unclassified,False,True,108.37400000000001,"LINESTRING (-16.8450987 32.6773492, -16.8454089 32.6777852, -16.8455212 32.677943, -16.8455574 32.6779994, -16.8455644 32.6780135, -16.8455882 32.6780615, -16.8455973 32.6781189, -16.8456016 32.6781462, -16.8455991 32.6782118)",,,
28653319,,Caminho Fonte Concelos,unclassified,False,False,158.55399999999997,"LINESTRING (-16.8453093 32.6772183, -16.8451913 32.6769959, -16.84508 32.6768367, -16.8449821 32.6767272, -16.8448667 32.6766527, -16.8447125 32.6766121, -16.8445261 32.6765974, -16.8443356 32.6765703, -16.8441251 32.6765308, -16.8440071 32.6765161)",,,
28947992,ER 110,Estrada Regional 110,secondary,False,False,24.502,"LINESTRING (-16.8453093 32.6772183, -16.8451389 32.6773243, -16.8450987 32.6773492)",2,,
28947992,ER 110,Estrada Regional 110,secondary,False,True,248.95300000000003,"LINESTRING (-16.8453093 32.6772183, -16.8453911 32.6771697, -16.8455373 32.6770986, -16.8456365 32.6770614, -16.8457277 32.6770365, -16.8457975 32.6770286, -16.8459329 32.6770343, -16.8460509 32.6770636, -16.846122 32.6770964, -16.8462347 32.6771822, -16.8464305 32.6773842, -16.8465082 32.677461, -16.8465605 32.6775106, -16.8466517 32.6775761, -16.8467107 32.6776032, -16.8467845 32.6776258, -16.8468985 32.6776427, -16.8470232 32.6776348, -16.8471144 32.6775987, -16.8471734 32.6775581, -16.8472405 32.6774824, -16.8474362 32.6772689)",2,,
1091621853,ER 102,Rua da Igreja,residential,False,True,17.778,"LINESTRING (-16.8461468 32.6810043, -16.8463323 32.6809699)",,,
78582644,,Rua Maria Ascenção,residential,False,False,118.51200000000001,"LINESTRING (-16.8461468 32.6810043, -16.8460523 32.6808954, -16.8459396 32.6807746, -16.8458816 32.6806727, -16.8458391 32.6805544, -16.8458122 32.6804759, -16.8457858 32.6803831, -16.8457489 32.6802346, -16.8457382 32.6801209, -16.8457295 32.6800233)",,,
