osmid,highway,junction,oneway,reversed,length,geometry,ref,lanes,maxspeed,name,bridge,access,tunnel
122186610,primary,roundabout,True,False,26.799,"LINESTRING (-9.2661651 39.0917323, -9.2661844 39.0917907, -9.2662245 39.0918423, -9.266282 39.0918827, -9.2663521 39.0919086)",,,,,,,
175640080,tertiary,,True,False,36.395,"LINESTRING (-9.2661651 39.0917323, -9.2660764 39.0918227, -9.2659809 39.091899, -9.2658727 39.0919658)",,,,,,,
"[233484153, 26232658]",primary,,False,False,18.175,"LINESTRING (-9.2628936 39.0963227, -9.262905 39.0963205, -9.2630945 39.0962737)",EN 9,,,,,,
233484152,primary,,True,False,49.805,"LINESTRING (-9.2628936 39.0963227, -9.2624094 39.0963746, -9.2623219 39.096384)",,1,50,,,,
26232661,primary,roundabout,True,False,6.329000000000001,"LINESTRING (-9.2623219 39.096384, -9.2623036 39.0963714, -9.2622816 39.0963631, -9.2622576 39.0963596)",,1,50,,,,
26232667,residential,,True,False,10.206,"LINESTRING (-9.2622576 39.0963596, -9.2621716 39.0962966)",,1,50,,,,
26232661,primary,roundabout,True,False,9.929000000000002,"LINESTRING (-9.2622576 39.0963596, -9.262229 39.096362, -9.2622028 39.0963712, -9.2621816 39.0963863, -9.2621676 39.0964058)",,1,50,,,,
26232663,primary,,False,True,167.082,"LINESTRING (-9.2602823 39.0968443, -9.2609953 39.0969917, -9.2611881 39.0970128, -9.2614523 39.0969529, -9.2620242 39.0966029)",EN 9,,,,,,
233484149,primary,,True,False,21.455,"LINESTRING (-9.2602823 39.0968443, -9.2601292 39.0967908, -9.2600556 39.0967651)",,,,,,,
26232666,residential,,False,False,118.09300000000002,"LINESTRING (-9.2629072 39.0946321, -9.2630458 39.0941816, -9.2631362 39.0937233, -9.263126 39.0935883)",,,,Rua Gonçalo de Lagos,,,
26232666,residential,,False,True,162.864,"LINESTRING (-9.2629072 39.0946321, -9.2623388 39.095697, -9.2621662 39.0959219, -9.2621437 39.095969)",,,,Rua Gonçalo de Lagos,,,
36932415,residential,,False,False,125.28200000000001,"LINESTRING (-9.2629072 39.0946321, -9.2627176 39.0945668, -9.2626686 39.0944033, -9.262667 39.0941321, -9.2626131 39.0938547, -9.2625396 39.093771, -9.2623829 39.0936924)",,,,Rua de Santo António,,,
"[233484153, 26232658]",primary,,False,True,18.175,"LINESTRING (-9.2630945 39.0962737, -9.262905 39.0963205, -9.2628936 39.0963227)",EN 9,,,,,,
734423472,primary,,True,False,23.42,"LINESTRING (-9.2598679 39.0969151, -9.2599553 39.0971145)",,1,50,,,,
233484146,primary,roundabout,True,False,15.870000000000001,"LINESTRING (-9.2598679 39.0969151, -9.2599034 39.0969378, -9.2599466 39.0969499, -9.2599926 39.0969502, -9.260036 39.0969384)",,,,,,,
"[36932424, 26232674, 26232675]",tertiary,,False,"[False, True]",76.322,"LINESTRING (-9.2597665 39.0965899, -9.2597081 39.0964503, -9.2597078 39.0963759, -9.2597103 39.0963271, -9.2597443 39.0960984, -9.2597245 39.0960215, -9.259686 39.095918)",,1,50,,yes,,
382769139,tertiary,,True,False,27.402,"LINESTRING (-9.2597665 39.0965899, -9.2598174 39.0967636, -9.2598369 39.0968302)",,1,50,,,,
136211668,tertiary,,False,True,73.509,"LINESTRING (-9.2563486 39.0935654, -9.2561887 39.0934885, -9.2556461 39.0931919)",,1,50,Rua Heitor Bernardes Botado,,,
264582081,tertiary,,True,False,27.708,"LINESTRING (-9.2563486 39.0935654, -9.2564787 39.0936466, -9.2565029 39.09367, -9.2565753 39.0937398)",,,50,,,,
264582078,tertiary,,True,False,9.583,"LINESTRING (-9.2569576 39.0939018, -9.256899 39.0938286)",,2,40,,,,
264582076,tertiary,,False,False,72.705,"LINESTRING (-9.2569576 39.0939018, -9.2573656 39.0942076, -9.2575635 39.0943561)",,1,50,,,,
36932371,tertiary,roundabout,True,False,11.027,"LINESTRING (-9.2580197 39.0946987, -9.2580638 39.0946569, -9.2580736 39.0946124)",,,,,,,
36932424,tertiary,,False,False,223.349,"LINESTRING (-9.2580197 39.0946987, -9.2580295 39.0948155, -9.2583906 39.0955276, -9.2584927 39.0956265, -9.2586103 39.0956984, -9.2588322 39.0957706, -9.2590845 39.095801, -9.2593297 39.0958023, -9.2595112 39.0958273, -9.2596423 39.0958814, -9.259686 39.095918)",,,,,,,
36932393,residential,,False,False,88.212,"LINESTRING (-9.2578869 39.0888302, -9.2569876 39.0892072)",,,50,Rua José Augusto Lopes Junior,,,
565767305,residential,,True,False,25.317,"LINESTRING (-9.2578869 39.0888302, -9.2577528 39.0886277)",,,,Rua Santos Bernardes,,,
36932370,tertiary,roundabout,True,False,11.452,"LINESTRING (-9.257392 39.0914197, -9.2573713 39.0914326, -9.2573573 39.0914501, -9.2573516 39.0914702, -9.2573549 39.0914906, -9.2573667 39.0915091)",,,,,,,
36932370,tertiary,roundabout,True,False,14.064000000000002,"LINESTRING (-9.257509 39.0914731, -9.2575044 39.0914523, -9.2574909 39.091434, -9.2574702 39.0914204, -9.2574448 39.091413, -9.2574176 39.0914127, -9.257392 39.0914197)",,,,,,,
"[565767306, 36932405]","['residential', 'living_street']",,True,False,144.252,"LINESTRING (-9.257509 39.0914731, -9.2581732 39.0911893, -9.2582712 39.0911756, -9.2589182 39.0911289, -9.25889 39.0910036)",,1,20,Avenida 5 de Outubro,,,
36932370,tertiary,roundabout,True,False,11.956,"LINESTRING (-9.257415 39.091533, -9.2574381 39.0915339, -9.2574605 39.0915295, -9.2574803 39.0915203, -9.2574958 39.091507, -9.2575056 39.0914908, -9.257509 39.0914731)",,,,,,,
36932371,tertiary,roundabout,True,False,11.789,"LINESTRING (-9.257884 39.0944919, -9.2578382 39.0945249, -9.2578202 39.0945807)",,,,,,,
264582072,tertiary,,True,False,31.766,"LINESTRING (-9.257884 39.0944919, -9.2577531 39.0944563, -9.2575635 39.0943561)",,,,,,,
264582075,residential,,True,False,15.394,"LINESTRING (-9.2580138 39.0945155, -9.257969 39.0943815)",,,,,,,
36932371,tertiary,roundabout,True,False,10.405,"LINESTRING (-9.2580138 39.0945155, -9.257951 39.0944881, -9.2579026 39.0944908)",,,,,,,
