osmid,highway,oneway,reversed,length,geometry,maxspeed,junction,name,width,lanes
103204992,residential,False,False,106.25200000000001,"LINESTRING (-7.4562692 39.9161588, -7.4564071 39.916295, -7.4565304 39.9165604, -7.4568987 39.9169746)",,,,,
198805991,residential,False,False,47.132,"LINESTRING (-7.4562692 39.9161588, -7.456545 39.9160469, -7.4566167 39.9159604, -7.4565751 39.9158848)",50,,,,
198805991,residential,False,True,50.93,"LINESTRING (-7.4562692 39.9161588, -7.4561639 39.9162565, -7.4558966 39.9165167)",50,,,,
103216471,residential,False,True,15.277,"LINESTRING (-7.4565751 39.9158848, -7.4564308 39.9158034)",,,,,
198805991,residential,False,False,27.283,"LINESTRING (-7.4565751 39.9158848, -7.4568646 39.9157804)",50,,,,
198805991,residential,False,True,47.132,"LINESTRING (-7.4565751 39.9158848, -7.4566167 39.9159604, -7.456545 39.9160469, -7.4562692 39.9161588)",50,,,,
102962630,residential,True,False,58.400999999999996,"LINESTRING (-7.4603133 39.9140871, -7.4608591 39.9140652, -7.4609973 39.9140662)",50,,,,
103047742,residential,False,True,14.923,"LINESTRING (-7.4603133 39.9140871, -7.460311 39.9140321, -7.4602736 39.9139583)",,,,,
33697600,residential,True,False,8.262,"LINESTRING (-7.4619808 39.91407, -7.4620276 39.9140798, -7.4620758 39.9140768)",50,roundabout,,,
33697600,residential,True,False,8.702,"LINESTRING (-7.4621785 39.913957, -7.4621694 39.9139319, -7.4621525 39.9139092, -7.4621291 39.9138903)",50,roundabout,,,
33697677,residential,True,False,16.335,"LINESTRING (-7.463839 39.9143292, -7.463868 39.9143584, -7.4639069 39.9143799, -7.4639522 39.9143918, -7.464 39.9143932)",50,roundabout,,,
33697662,residential,True,False,65.384,"LINESTRING (-7.4638756 39.914173, -7.4631986 39.9140946, -7.4631183 39.914082)",50,,,,
33697677,residential,True,False,19.005,"LINESTRING (-7.4638756 39.914173, -7.4638401 39.914206, -7.4638211 39.9142461, -7.4638207 39.9142888, -7.463839 39.9143292)",50,roundabout,,,
33697677,residential,True,False,20.077,"LINESTRING (-7.464 39.9143932, -7.4640456 39.9143842, -7.4640859 39.9143656, -7.4641177 39.9143389, -7.4641383 39.9143064, -7.4641459 39.9142708)",50,roundabout,,,
198805974,residential,False,True,77.301,"LINESTRING (-7.464 39.9143932, -7.4642207 39.914472, -7.4647773 39.9147482)",50,,,,
33697677,residential,True,False,17.375,"LINESTRING (-7.4641459 39.9142708, -7.464139 39.9142321, -7.4641169 39.9141969, -7.4640818 39.9141686, -7.464037 39.91415)",50,roundabout,,,
103067620,residential,True,False,71.137,"LINESTRING (-7.4641459 39.9142708, -7.4642497 39.9142213, -7.4645206 39.9142233, -7.4649613 39.9142349)",50,,Avenida 12 de Novembro,,
33697677,residential,True,False,14.620000000000001,"LINESTRING (-7.464037 39.91415, -7.4639951 39.9141432, -7.4639523 39.9141449, -7.4639115 39.9141551, -7.4638756 39.914173)",50,roundabout,,,
33697730,residential,True,False,23.079,"LINESTRING (-7.4660006 39.9141786, -7.4657943 39.9141743, -7.4657301 39.9141729)",50,,Avenida 12 de Novembro,,
230127094,residential,True,False,18.448,"LINESTRING (-7.4660006 39.9141786, -7.465886 39.9141039, -7.4658565 39.9140587)",,,,,
103103611,residential,False,True,259.056,"LINESTRING (-7.4647773 39.9147482, -7.4632116 39.9167446)",,,,,
198805974,residential,False,True,84.282,"LINESTRING (-7.4647773 39.9147482, -7.4655829 39.9151872)",50,,,,
198805974,residential,False,False,77.301,"LINESTRING (-7.4647773 39.9147482, -7.4642207 39.914472, -7.464 39.9143932)",50,,,,
791154659,residential,True,False,9.028,"LINESTRING (-7.4618943 39.9136308, -7.4618079 39.9136777)",,,,,
"[103067632, 33697655]",residential,False,"[False, True]",121.165,"LINESTRING (-7.4618943 39.9136308, -7.4619962 39.9135747, -7.4624296 39.9132983, -7.463001 39.9129479)",,,,,
61297400,residential,True,False,36.9,"LINESTRING (-7.4565664 39.911245, -7.4569795 39.9113436)",50,,,4,
61297408,residential,False,True,164.108,"LINESTRING (-7.4565664 39.911245, -7.45609 39.9126749)",50,,Rua João de Deus,5,
102962629,residential,True,False,27.858,"LINESTRING (-7.4618079 39.9136777, -7.4619049 39.9138493, -7.461927 39.9139105)",50,,,4,
103047744,residential,True,False,5.171,"LINESTRING (-7.4583362 39.9153555, -7.4583967 39.9153524)",50,roundabout,,,
198805991,residential,False,True,83.865,"LINESTRING (-7.4583362 39.9153555, -7.4581708 39.9154243, -7.4575484 39.9158039)",50,,,,
33697600,residential,True,False,19.39,"LINESTRING (-7.4621291 39.9138903, -7.4620897 39.9138729, -7.4620451 39.913866, -7.4620001 39.9138705, -7.4619592 39.9138859, -7.461927 39.9139105)",50,roundabout,,,
791154658,residential,True,False,35.124,"LINESTRING (-7.4621291 39.9138903, -7.4619439 39.9136871, -7.4618943 39.9136308)",50,,,,
33697600,residential,True,False,5.0280000000000005,"LINESTRING (-7.461927 39.9139105, -7.4619124 39.9139302, -7.4619035 39.9139517)",50,roundabout,,,
33697496,residential,False,True,86.512,"LINESTRING (-7.4582566 39.915274, -7.4580241 39.915268, -7.4573524 39.9152573, -7.4572425 39.9152575)",,,,,
