osmid,oneway,ref,name,highway,reversed,length,geometry,junction,bridge,access
121783041,False,ER 108,Avenida de São João,primary,False,87.128,"LINESTRING (-8.2441359 41.0879449, -8.2434185 41.0873778)",,,
121783041,False,ER 108,Avenida de São João,primary,True,20.372,"LINESTRING (-8.2441359 41.0879449, -8.2442262 41.088115)",,,
1240990521,False,,,residential,False,225.20899999999997,"LINESTRING (-8.2441359 41.0879449, -8.2445172 41.0880539, -8.2445681 41.0880692, -8.2446216 41.0880692, -8.2447209 41.0880097, -8.2448151 41.0879733, -8.2448864 41.0879618, -8.2449678 41.0879675, -8.2450417 41.0879867, -8.2450799 41.0880136, -8.2450926 41.0880654, -8.2450951 41.0881575, -8.2450137 41.0883532, -8.245034 41.0884146, -8.2450646 41.0885221, -8.2451181 41.0888138, -8.2451664 41.0888675, -8.2452581 41.0889385, -8.2453498 41.0890249, -8.2453879 41.0890978, -8.245358 41.0891699)",,,
121783041,False,ER 108,Avenida de São João,primary,True,23.556,"LINESTRING (-8.2429529 41.0848324, -8.2427945 41.0850074)",,,
121783041,False,ER 108,Avenida de São João,primary,False,149.463,"LINESTRING (-8.2429529 41.0848324, -8.2430172 41.0846467, -8.2432443 41.084049, -8.2433781 41.083697, -8.2434381 41.083539)",,,
137734587,False,,,residential,True,193.81,"LINESTRING (-8.2429529 41.0848324, -8.2435819 41.0848814, -8.2436563 41.0848875, -8.2437126 41.0848895, -8.2437642 41.0848845, -8.2437991 41.0848799, -8.2438454 41.0848713, -8.24396 41.0848481, -8.2441136 41.0848147, -8.2443188 41.0847581, -8.2443449 41.0847561, -8.2443785 41.0847611, -8.2444127 41.0847697, -8.2444998 41.0847945, -8.2445267 41.0847996, -8.2445542 41.084797, -8.2445837 41.0847859, -8.2446205 41.0847622, -8.2446661 41.0847303, -8.244821 41.0845832, -8.244851 41.084561, -8.2448858 41.0845433, -8.244926 41.0845306, -8.244979 41.0845225, -8.24503 41.0845165, -8.2450753 41.0845129)",,,
37103073,False,ER 108,,primary,False,104.117,"LINESTRING (-8.2485728 41.0839902, -8.248523 41.0841193, -8.2485132 41.0848032, -8.2484834 41.084919)",,,
37103073,False,ER 108,,primary,True,38.135,"LINESTRING (-8.2485728 41.0839902, -8.2486257 41.0839121, -8.2486958 41.0838191, -8.2488057 41.0836961)",,,
1213939811,False,EM 108-1,,tertiary,True,38.747,"LINESTRING (-8.2485728 41.0839902, -8.2485346 41.0839187, -8.2485325 41.0837084, -8.2485476 41.0836484)",,,
37103073,False,ER 108,,primary,False,80.245,"LINESTRING (-8.2484834 41.084919, -8.2483756 41.0850433, -8.2479336 41.0854462, -8.2478932 41.0854863)",,,
